ticker,entry_date,exit_date,entry_price,exit_price,return_pct,duration,size,pnl,strategy,duration_days,pnl_pct,date,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,"Entry_SAR(H,L,0.02,0.2)","Exit_SAR(H,L,0.02,0.2)","Entry_RSI(C,14)","Exit_RSI(C,14)",Entry_Date,Exit_Date,win_rate,total_return
AEVA,2025-04-10 04:00:00,2025-04-21 04:00:00,7.51,6.295,-16.17842876165113,11.0,13302,-16161.929999999998,,,,,,,,,,,,,,,,,,,,,0.0,-32.36
AEVA,2025-04-10 04:00:00,2025-04-21 04:00:00,7.51,6.295,-16.17842876165113,,13302,-16161.929999999998,ParabolicSAR,11.0,-16.17842876165113,2025-04-10 04:00:00,13302.0,382.0,388.0,7.51,6.295,-16161.929999999998,-0.1617842876165113,2025-04-10 04:00:00,2025-04-21 04:00:00,11 days,5.8,8.12,70.70335377167865,51.84239508327817,2025-04-10 04:00:00,2025-04-21 04:00:00,0.0,-32.36
