condition,correlation,length,ones_count,zeros_count,win_rate,return_pct,return_abs,hash,optimal_exposition,correlation_optimal,win_rate_optimal,profit_factor,pf_4,pf_6,pf_8,pf_10,pf_12,pf_14,pf_16,pf_18,pf_20,pf_22,pf_24,pf_26,pf_28,pf_30
atr_5 >= atr_30_sft_1,0.051542617,98878,33003,65875,14.82,-1618.6207677213533,-504.39921842779586,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.020971620455384254,28.77,0.9500753160194026,0.9500753160194026,1.0194818899906017,1.0715984592402592,1.1163848180166631,1.1513734718012822,1.1802068498153344,1.2041747871800927,1.2199642177643548,1.233798270453742,1.2390816031374017,1.2460469336689757,1.2618388533033846,1.2789574067288612,1.2937711749668397
atr_30 <= atr_14_sft_1,0.050986752,98878,33900,64978,14.75,-1893.0044393168646,-493.9075052853368,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.004687316250056028,27.73,0.9419936784410391,0.9419936784410391,0.9978317502505254,1.0394410115733443,1.0707520690733665,1.0959076467033642,1.1157342051658679,1.1326999721179094,1.1515052990248917,1.1674806859836564,1.1828199193815687,1.2031922885533293,1.2229059089745353,1.2434523686092431,1.2613919363896477
atr_5 >= atr_30_sft_2,0.050264724,98878,33008,65870,14.76,-1530.7550867950486,-493.3992804587615,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.020472327247262,28.74,0.9526185301956684,0.9526185301956684,1.023948078018137,1.0753627340345058,1.1231485519490416,1.158234752191792,1.1859063659935998,1.2101017201117505,1.2253380535106273,1.239536625350428,1.2446511885238405,1.2519279784808,1.2676533256421674,1.2852623786305286,1.2985494809734517
atr_5 >= atr_30_sft_3,0.049674314,98878,33024,65854,14.73,-1625.7489285758638,-499.67908136213373,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.019730255007743835,28.69,0.9497177613288247,0.9497177613288247,1.0205843307437794,1.0697049482611698,1.1191965149913816,1.151579659513281,1.1792833587908338,1.203860046765514,1.2187827592523788,1.2330769373824102,1.239212965022126,1.2459743741244065,1.2622462265432803,1.2785351867518253,1.292857135856888
atr_14 >= atr_20_sft_3,0.049486317,98878,33840,65038,14.68,-1392.9791370950988,-495.96920831952593,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.022290179505944252,28.82,0.9577102742885649,0.9577102742885649,1.0292192652328962,1.0788856099410553,1.126815513740237,1.1560285606949705,1.1898371595072885,1.2157132819150909,1.2322879848169461,1.244636958437879,1.2516178522159414,1.2611460945670145,1.2787386902497648,1.2962603075539816,1.3108995271300865
atr_10 >= atr_20_sft_3,0.04919238,98878,34099,64779,14.65,-1802.2368632569269,-515.5240414291329,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02072000876069069,28.72,0.9459214211890694,0.9459214211890694,1.0148634728467698,1.0642871858293461,1.1114632905932436,1.1404968606654415,1.170605346578265,1.1901572622060899,1.2027832893186539,1.2140868312560644,1.220093138181552,1.228559286719488,1.246757184199294,1.263526679372638,1.2780740705371276
day_of_week <= 3,0.048413776,98878,75512,23366,13.31,-6996.909363681796,-1416.61170109464,522079c47c243405088a542d2dea350bc4edfb2eb6dd1a2bfdd8f78fda16c0a3,30,0.052164774388074875,28.74,0.8939161905165732,0.8939161905165732,0.9540463411011212,0.9962483625705179,1.0300192101696497,1.0595429012210382,1.0849892427892032,1.1038346278746811,1.1198862265593557,1.1367131623939497,1.151474950019619,1.1661485651779138,1.1811692351541678,1.1944330957734126,1.2085053057014656
atr_30 <= atr_5_sft_1,0.045598224,98878,33207,65671,14.53,-1688.2943660593592,-486.06666547770874,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.018348775804042816,28.6,0.9471573495017809,0.9471573495017809,1.0161133486327787,1.0689219607889386,1.1107685153585138,1.1426878843175312,1.1733184700128387,1.1901898559668433,1.2068557858998545,1.2186368213181205,1.2252299435593326,1.2375123993347734,1.2562841946604602,1.271598457878173,1.2830479900748721
atr_5 >= atr_20,0.04518522,98878,34472,64406,14.46,-1859.555796693574,-551.0373396785217,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02255200780928135,28.82,0.9442214237577624,0.9442214237577624,1.01696670114666,1.0667844206420458,1.1072609651550978,1.1408734897533055,1.1690672310487562,1.1926502438940176,1.2064263867875622,1.2185826605484487,1.225873426298696,1.2395278358459425,1.2566106199354976,1.271557305223123,1.2852699032433608
day_of_week <= 1,0.044216804,98878,25996,72882,14.86,-1172.8506938211003,-444.15546098382765,522079c47c243405088a542d2dea350bc4edfb2eb6dd1a2bfdd8f78fda16c0a3,30,0.02977912314236164,29.67,0.9549493522566086,0.9549493522566086,1.0152557320958635,1.058279885349484,1.0928951140940448,1.1265622814612015,1.1598182780336583,1.1850635489317598,1.2072075694942856,1.2299329169031463,1.2514930151585322,1.273327560435809,1.2961746485393455,1.3157148595395338,1.3367880062396287
atr_10 >= atr_14_sft_1,0.043345492,98878,35262,63616,14.34,-1776.6897081253128,-565.7959343706898,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.021356454119086266,28.72,0.9474743509498063,0.9474743509498063,1.0184271398932583,1.0613201053040944,1.0956795628381377,1.123465135487502,1.1507768454591196,1.172929839156291,1.1844653721217866,1.1980728241974228,1.209185388226222,1.2193252589006018,1.236489441596554,1.2529565091317016,1.269064820764501
atr_30 <= atr_10_sft_2,0.043060053,98878,33789,65089,14.39,-2457.9027543465345,-517.891866191916,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.009491613134741783,28.03,0.9238109605945929,0.9238109605945929,0.9853185465474,1.0333061110652924,1.0653056274861084,1.0934911583981706,1.1176909622715498,1.1346599683165706,1.1494531911160055,1.1690727467710478,1.1855344349143746,1.2043311013949975,1.2219356079851165,1.2374601739578632,1.2591655082161113
adx_30 >= 21,0.04269467,98878,36738,62140,14.25,-4142.332751420173,-686.9246545775532,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.00414053862914443,27.69,0.8816446770522292,0.8816446770522292,0.9389746702624171,0.9848657978857256,1.0179941340110783,1.048850259496934,1.0831630760938966,1.1132467987290797,1.1349347094940452,1.156702945508849,1.1807344509814763,1.2025664043095243,1.22421047538983,1.2410153784587232,1.2564971118334458
atr_5 >= atr_20_sft_1,0.042626336,98878,34579,64299,14.34,-1873.5762633342165,-548.9944907125828,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.022090669721364975,28.79,0.9437625200520471,0.9437625200520471,1.0134494774533451,1.061123558875075,1.0973292851444103,1.1322481527949022,1.1612934511221153,1.1867824051601699,1.1978997678336147,1.2106339654605616,1.2207225468721825,1.2337894222213017,1.2517155870484291,1.2657146848143712,1.2790388283189027
adx_30 >= 19,0.042488147,98878,44019,54859,13.98,-4355.887115330398,-779.5515092360074,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.004469741601496935,27.67,0.8923762105921917,0.8923762105921917,0.9497958291470092,0.9933582040359213,1.0292589432669126,1.059386048830225,1.0881976375004643,1.1127220078794373,1.1340312045497176,1.1523436135667118,1.1675788423921034,1.1834634473524315,1.2004539453184138,1.2135547607152022,1.229471195638425
atr_20 <= atr_10_sft_1,0.042034525,98878,35406,63472,14.27,-2341.5729208709527,-555.1356209180012,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.012708988040685654,28.2,0.9299361768294597,0.9299361768294597,0.9833840313154975,1.0244985561173139,1.0572616295025408,1.0856851894434654,1.1082755904430683,1.1267331011295836,1.144524496232006,1.1588225193248383,1.1732646352982186,1.1957492248087602,1.2136291655662035,1.2288592178899727,1.2452730196742274
stdev_5 >= stdev_30_sft_3,0.041811805,98878,7607,91271,17.19,-304.769833244296,-156.1507814133438,a092dbfa6dbefd1d342d1a211503f33f5c7745cd5359e4d4115f2b75459bc7b9,30,0.019073134288191795,30.39,0.9652743177616532,0.9652743177616532,1.0094356733168874,1.059264116576328,1.096606340224554,1.1013400584247823,1.0954857638015674,1.0968927794885288,1.091602058645644,1.095324379620007,1.1064896412573741,1.1145885229125088,1.122538630761071,1.155663657250971,1.1843684475430794
adx_30 >= 22,0.041711025,98878,33524,65354,14.34,-4022.178747220626,-633.7908512305075,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.0009269355214200914,27.5,0.875860331117123,0.875860331117123,0.9301101892184387,0.9743098830097074,1.0081287760212432,1.0408555649654596,1.0714190850811542,1.0998365310056804,1.1257047395846675,1.151624301036783,1.174199713132415,1.1965915722375493,1.2161645559160832,1.235894747424479,1.2543083563011643
adx_30 >= 20,0.041682735,98878,40304,58574,14.08,-4480.145717904633,-743.3973434414074,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.003624912817031145,27.64,0.8815189792312116,0.8815189792312116,0.9438392759714609,0.9893451813648054,1.0253352309383288,1.0560965024441151,1.0891343713189656,1.1175995885955239,1.1399707823635272,1.1609310974903395,1.179634157180144,1.1964432883321543,1.2135963270390326,1.2290666466480393,1.2456175932530933
atr_5 >= atr_20_sft_2,0.041659962,98878,34587,64291,14.29,-1906.0265581733765,-549.883760668934,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02374345436692238,28.89,0.9425716981296101,0.9425716981296101,1.0148232193038667,1.0596429868757746,1.1015445617939188,1.1370016630558706,1.1662405846053034,1.1899156950948455,1.202953245163243,1.217662521625648,1.227187393595174,1.2392368200322694,1.2581418839060705,1.2726247454286284,1.2892751519861316
adx_30 >= 23,0.04155159,98878,30497,68381,14.47,-3484.5503592616506,-570.0450479278952,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,-0.0017117245588451624,27.33,0.8836532351115712,0.8836532351115712,0.9377382226814811,0.9762577506476636,1.0073456279095045,1.0396739866255191,1.0686014656229537,1.0942082140037266,1.1200569164275165,1.1440176073222137,1.167532315110121,1.1878746579372055,1.2125804035373318,1.2350888949055834,1.2578848988401359
adx_30 >= 24,0.040611945,98878,27772,71106,14.56,-3115.5669414563663,-518.6742868402071,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,-0.001916601206175983,27.31,0.8874896279938935,0.8874896279938935,0.9418021964265547,0.9759559907935784,1.0068119258750103,1.0406684196548996,1.0722318315239918,1.0992447077451104,1.120407434637126,1.141879107518094,1.1634134020901539,1.1829526121003535,1.2099019578662844,1.2367269786256971,1.2616501319166842
atr_30 <= atr_5_sft_2,0.040001612,98878,33325,65553,14.27,-1908.0879246056866,-496.8769793819738,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.015245749615132809,28.4,0.9394330039725933,0.9394330039725933,1.004629586053231,1.0587523133574752,1.09131380455562,1.1232631613092243,1.148786786859261,1.1665776250390385,1.182932150830097,1.1935526799656104,1.2061993935666488,1.2235572586907222,1.2441546079376078,1.2574432245122813,1.2738312028033512
atr_30 <= atr_20_sft_1,0.0399123,98878,34908,63970,14.2,-2411.2229353728303,-558.090805206979,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,-0.006092680152505636,27.08,0.9257205995937223,0.9257205995937223,0.9769863918711014,1.014722233244012,1.043770698268238,1.0688021513967367,1.0939593144422897,1.11101313212484,1.1307884177907572,1.1536815729169498,1.1750872536506827,1.1964091297171604,1.2180834416180923,1.234682142306849,1.2483176261865092
adx_30 >= 18,0.039779287,98878,47959,50919,13.77,-4819.197039999089,-850.730253296475,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.007286768406629562,27.78,0.8889794582987587,0.8889794582987587,0.9498188370823237,0.9905683580141336,1.024460457334177,1.0523952234502385,1.0780408044261724,1.099184319822874,1.1177948957919543,1.135681419433381,1.1531738039040353,1.170910388144489,1.1875252613274236,1.2008914468142498,1.2145738757621263
atr_5 >= atr_20_sft_3,0.03917689,98878,34584,64294,14.18,-2066.058283246268,-569.7217607366183,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02140689641237259,28.75,0.9376906729295028,0.9376906729295028,1.0096281102943765,1.0522251897864507,1.0954009208064366,1.1294552593621099,1.1569449701277805,1.1822904348672567,1.1952860070041007,1.2106391875034122,1.2194167556242381,1.2322753021981014,1.2498804283558873,1.2646649308307512,1.2792662519788671
bb_upper_2_30 <= High_sft_1,0.03909827,98878,9666,89212,16.34,308.19060424189956,-83.91261133140506,47a9751fea8d725fb5374946cd8b96bffe57ef928945364f4fe01eefa8efaa0d,30,0.007873463444411755,28.51,1.0290151194146022,1.0290151194146022,1.1160079008978658,1.1864246795480788,1.2113841633210276,1.2362122230522765,1.2659805728116378,1.2863860592676606,1.292062340551142,1.2943111648571453,1.3070017632104123,1.3056384056586898,1.3305116795563348,1.3639394473490913,1.364799737416496
atr_10 >= atr_14_sft_2,0.039070502,98878,35026,63852,14.16,-1878.1786698711003,-555.4075757175669,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.023510143160820007,28.86,0.9439588407370084,0.9439588407370084,1.0137199586018792,1.0602297954301867,1.0977103755958464,1.1254875544795422,1.1527495968258068,1.1792321996013442,1.1938673612348416,1.2095153455856509,1.222304400207168,1.235041328492719,1.2534196212366417,1.2663133461428857,1.2821725884709891
bb_upper_2_30 <= High,0.03892046,98878,11665,87213,15.93,-144.69555439527903,-124.57300134647085,47a9751fea8d725fb5374946cd8b96bffe57ef928945364f4fe01eefa8efaa0d,30,0.012544641271233559,28.98,0.9891302958004011,0.9891302958004011,1.0863014898999375,1.153376817515023,1.2065478150013258,1.236572043590864,1.267174610048236,1.2867082888965962,1.3075807754448632,1.305573345079699,1.31917224944505,1.3254105541217922,1.3433625700297096,1.3865542193816187,1.3975650440315635
adx_20 >= 22,0.03782081,98878,44893,53985,13.79,-4563.389931545052,-824.5677911111561,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.0024192756973206997,27.56,0.888708661714094,0.888708661714094,0.9453547188352522,0.9837321058959894,1.0156209909780043,1.0421106452013909,1.0656204688284683,1.085690818195583,1.1031069398570144,1.118306452739285,1.1341318929646673,1.1478444481802197,1.1615409803168606,1.1731902450653864,1.1891144103000926
adx_20 >= 24,0.037786953,98878,38131,60747,13.99,-3768.096459681212,-688.9157078497374,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.00023153584334068,27.46,0.8942579426025594,0.8942579426025594,0.949354627801038,0.9888829295798808,1.0207010154922744,1.0462618211141472,1.0706872998304229,1.0920443231089458,1.110914485194931,1.1243447417624413,1.1394751708283226,1.1526023153225837,1.1652440877857508,1.1768001411405857,1.1892986217411754
adx_20 >= 23,0.03766205,98878,41336,57542,13.88,-4170.400624956863,-750.702343678895,4118d96628e9d7109ca1b25b71d8f7665de5864ad974c7631ea4a76d380fc96f,30,0.0009356618975289166,27.49,0.8909176284170681,0.8909176284170681,0.949453831411924,0.9894912295731005,1.0196458732995224,1.0457320077968355,1.0678771796481346,1.0880578954085462,1.1077991724125613,1.1236009336566979,1.1386974830766587,1.1515613948568755,1.1654184071115932,1.1765771302827066,1.1886805664215434
willr_5 <= -3,0.037578594,98878,89216,9662,12.83,-10366.527584336745,-1699.3189944202677,c087f74a8ef9fdefe2bfbfe4c42e7c177e68996d73089fae9a8de15f5638210d,30,0.01684769243001938,27.69,0.8623987171929545,0.8623987171929545,0.9161012698048976,0.9530140301542833,0.9757756180687367,0.9990030046360333,1.0180504195569116,1.031685931664747,1.042337929926377,1.0556738893467663,1.070472730265002,1.0836737601687476,1.0969648024789003,1.1066463741914463,1.1168467562444597
stdev_5 >= stdev_30_sft_2,0.03757662,98878,7155,91723,16.86,-587.3076197102055,-168.23794031153375,a092dbfa6dbefd1d342d1a211503f33f5c7745cd5359e4d4115f2b75459bc7b9,30,0.01586081087589264,29.98,0.9284398915526052,0.9284398915526052,0.9577777645748501,1.0201616433200598,1.0734017022496734,1.0752470093044357,1.0711284601612825,1.0824086446410897,1.0771799459430085,1.0749994077790468,1.0769829663018784,1.0730834750752565,1.0745643335241513,1.1043136030241776,1.1275726384925109
