condition,correlation,length,ones_count,zeros_count,win_rate,return_pct,return_abs,hash,optimal_exposition,correlation_optimal,win_rate_optimal,profit_factor,pf_4,pf_6,pf_8,pf_10,pf_12,pf_14,pf_16,pf_18,pf_20,pf_22,pf_24,pf_26,pf_28,pf_30
atr_14 >= atr_30,0.06237958,98878,33455,65423,15.3,-1353.0790390148177,-472.9389311948762,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.012516297399997711,28.23,0.9592676716263492,0.9592676716263492,1.021231214732514,1.068250991171959,1.1034146145993646,1.1272398144720182,1.1486872308211293,1.1641363743932067,1.1748600420601576,1.1901322993940913,1.2056310075156569,1.2188563244247732,1.24053875813658,1.257279933342874,1.2770123041912702
atr_14 >= atr_30_sft_2,0.062028125,98878,33382,65496,15.28,-1205.692925919313,-458.2606223298935,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.016119061037898064,28.45,0.9636439449162763,0.9636439449162763,1.030295543250315,1.0761930657223657,1.1170664686428493,1.151005447951986,1.1749304813869215,1.190915214482453,1.2071957819582915,1.2198220792530752,1.2345780416723857,1.248603008455146,1.2683663479430798,1.2855522232104541,1.306400083119318
atr_14 >= atr_30_sft_1,0.06196632,98878,33435,65443,15.28,-1373.594265969703,-475.88305527526245,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.01464943028986454,28.36,0.9587807444531798,0.9587807444531798,1.0248198307101561,1.0732378249341132,1.108048678594776,1.1388019309308526,1.1614861668578147,1.1773038970597625,1.189098176231534,1.2033004878494689,1.2166900217679235,1.2305987292155809,1.2488804828968392,1.265352620613374,1.287364797267651
day_of_week <= 2,0.061941173,98878,50137,48741,14.43,-4233.6102851462865,-988.619526974544,522079c47c243405088a542d2dea350bc4edfb2eb6dd1a2bfdd8f78fda16c0a3,30,0.05344389006495476,29.8,0.91295102084447,0.91295102084447,0.9699598199691674,1.0104499108869556,1.0431341419182083,1.0734551837451312,1.1003910298904565,1.1189857476446168,1.1343846325199498,1.1514264220430832,1.1676889973390874,1.1836934566982802,1.2002101669317842,1.2141809926898042,1.229015831603018
atr_14 >= atr_20,0.061933655,98878,34187,64691,15.23,-1514.4222672860196,-479.10935752649675,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.021414916962385178,28.76,0.955494481617962,0.955494481617962,1.017685282554035,1.0657511628621343,1.1018205234154497,1.127230077156355,1.154841105171426,1.1709259164740287,1.1835468875253656,1.1958010589144812,1.2089385203965846,1.222382490162667,1.2408358183383201,1.2553560392532925,1.2683385720258358
atr_10 >= atr_30,0.0606327,98878,33180,65698,15.23,-1394.2391745199857,-463.72960753029474,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.021012064069509506,28.76,0.9578249433578504,0.9578249433578504,1.0242105093338494,1.0715944344778665,1.1102429822672948,1.140387034541511,1.1644078221046166,1.1786591293227546,1.1911478044706396,1.203075496735038,1.2154100965091341,1.2291718690819455,1.2498837674323882,1.2633089790232215,1.276353838697948
atr_14 >= atr_30_sft_3,0.060352933,98878,33251,65627,15.21,-1262.5775352890778,-452.5444963985501,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.017955394461750984,28.57,0.9618055698674982,0.9618055698674982,1.0284875873361559,1.0757443915389322,1.119597033027984,1.1525651587595176,1.1761724277834058,1.193467412480522,1.2082827401954839,1.2181901030372246,1.2296256350203825,1.242803535893925,1.2608244273041829,1.2770082448887103,1.295482685944812
atr_10 >= atr_20,0.06018585,98878,34318,64560,15.14,-1442.5722470230394,-491.8045799474203,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02306428551673889,28.86,0.9574992533906325,0.9574992533906325,1.0276831984592898,1.074890607547189,1.111591425937018,1.135452066228312,1.1606833972071533,1.1789827537268587,1.1922260594671559,1.2046744168134604,1.2135564874894638,1.2239782680563938,1.2450314206341064,1.2602601566674574,1.2745692376430162
atr_20 >= atr_30,0.059911847,98878,33853,65025,15.16,-1587.4352418225317,-512.8330463683596,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.0048273480497300625,27.74,0.9523241540750516,0.9523241540750516,1.0191886215297385,1.0620585797944857,1.0916314439047354,1.1163422008171535,1.1442043458644113,1.1626288945328311,1.1737889934117058,1.1847182844784983,1.1978290969483087,1.216000503028204,1.2402056642090609,1.258614964360374,1.2729876085802223
atr_10 >= atr_30_sft_1,0.05944498,98878,33228,65650,15.17,-1339.4429787838308,-458.4552564733749,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.020036615431308746,28.7,0.9594815965767746,0.9594815965767746,1.0292312142435656,1.0780221158859102,1.11901407367925,1.1489690577172245,1.1761957273662866,1.190906971265928,1.2029313886804338,1.2141406929357537,1.2240786824873509,1.2361816425216325,1.2560242511837305,1.2688363096556674,1.2808351467822328
atr_10 >= atr_30_sft_2,0.05932524,98878,33181,65697,15.17,-1262.3525550277263,-456.82220356307516,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.01912679523229599,28.65,0.9616920746432008,0.9616920746432008,1.0296944594239201,1.0778437943781174,1.1198643182182368,1.1536500641083045,1.180221132401577,1.1975717527769696,1.2103462282154986,1.2223298014232116,1.231782212066077,1.2445057803350643,1.2626746981898063,1.2763065644707647,1.287410415713417
atr_20 >= atr_30_sft_1,0.058460206,98878,33757,65121,15.1,-1543.9056868016196,-509.7772706731339,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.006663460284471512,27.86,0.9536185527197182,0.9536185527197182,1.0231417812361852,1.071931222925753,1.1078604406244752,1.1362011522968531,1.1610820820069436,1.1849226131880424,1.1947679404463347,1.207217801594462,1.2153338482458433,1.2294725932766735,1.2484867267957158,1.2689315035613031,1.2900009605908451
atr_20 >= atr_30_sft_2,0.0583149,98878,33514,65364,15.1,-1406.2077501808526,-483.14465949432633,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.008527642115950584,27.98,0.9574167307117155,0.9574167307117155,1.0324624175277832,1.079440793931996,1.1224150141197884,1.1543063614350875,1.177847055424624,1.1977056073523,1.2119726207849637,1.2233277781174383,1.2337930505350012,1.2471077489489009,1.2662623903317165,1.285475377740544,1.3050019866272917
atr_10 >= atr_30_sft_3,0.058193706,98878,33062,65816,15.13,-1322.136422042764,-449.70783681699686,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.021385429427027702,28.79,0.959757123612793,0.959757123612793,1.0274159951970987,1.0772644261790003,1.1198465713412336,1.1527121313354007,1.1816154396379046,1.1999860615642002,1.2122821581388112,1.2244766298193719,1.2338823081214176,1.245826834681467,1.2639004989971163,1.2788753533957078,1.2905613869804655
atr_20 >= atr_30_sft_3,0.057433903,98878,33159,65719,15.08,-1164.241468262655,-461.6532048294757,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.012266993522644043,28.22,0.964427684661323,0.964427684661323,1.037105163824494,1.0848110609784831,1.132250108562047,1.1614656411589892,1.1910787635341509,1.2106160397109889,1.2251572940210071,1.237042316325369,1.2482808952094586,1.2595551743110054,1.2801505414105847,1.2996334371373832,1.3181414879278275
atr_10 >= atr_20_sft_1,0.056011554,98878,34401,64477,14.95,-1498.49737433673,-498.6536721662851,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02063504233956337,28.71,0.9557622472751875,0.9557622472751875,1.024732687071505,1.0773563726432942,1.1175658181805177,1.1462958912692751,1.1717414363423093,1.188258623618453,1.1990593706681765,1.2131755466847856,1.2203463663958476,1.2291780619623913,1.249029540053757,1.264368288596886,1.275743298041323
atr_14 >= atr_20_sft_1,0.055645052,98878,34291,64587,14.94,-1463.9930689472321,-486.81148194854904,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.019040547311306,28.61,0.9566220701495886,0.9566220701495886,1.0273770036559133,1.0806185840407305,1.1167396379732848,1.1489763930281225,1.1739232134421724,1.193360415281196,1.2041744218676624,1.217159690292453,1.226762222350459,1.233705935058834,1.253394655288827,1.268649051955631,1.2867033203452247
atr_10 >= atr_14,0.053243954,98878,35265,63613,14.78,-1369.4497121699824,-525.8183149996839,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.025149520486593246,28.95,0.9602479450589524,0.9602479450589524,1.0341225687537097,1.0799487182231633,1.1134815752330534,1.1381994871338552,1.1619636720174762,1.1780900306111879,1.1861744538615178,1.1989458929301016,1.2112200083887408,1.228722079555106,1.2489482103702783,1.2636000917584258,1.2778228637304163
atr_30 <= atr_10_sft_1,0.053139254,98878,33444,65434,14.87,-1701.439154461841,-472.91252294537117,6c56a6e37fe7066fac040219b9e7cfe2398571a456467cde7a8327153ebc94da,30,0.013667898252606392,28.3,0.9476500685850529,0.9476500685850529,1.0089747028296587,1.0587573843034266,1.0952373691542827,1.1251343230376678,1.147550196247,1.161561649890526,1.1773483588026081,1.1872927890543135,1.2034983244954114,1.2223344627672093,1.2414753173855138,1.2540745426075155,1.2729917562074848
atr_14 >= atr_20_sft_2,0.052563973,98878,34020,64858,14.81,-1502.0211084620678,-505.7187062092198,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.018139993771910667,28.56,0.954807147578204,0.954807147578204,1.0247637660763922,1.078715734763181,1.1246158490214944,1.1560855751327614,1.188948654621502,1.2117667796972589,1.2241785049711071,1.2367008079878932,1.243014630864644,1.2477611125807206,1.2653778583279467,1.2836583095778595,1.2980818741436604
atr_5 >= atr_30,0.052110936,98878,33005,65873,14.85,-1562.69650024586,-485.85145224654843,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.021377485245466232,28.79,0.9518498943185003,0.9518498943185003,1.0241051507443102,1.075750381202857,1.1218785411831003,1.1572333877869758,1.1869593509187915,1.2092318561451565,1.2228970726937134,1.2368734777759336,1.2414382899926808,1.2474595872249052,1.2651113171988773,1.2805835103601406,1.2952345917561336
atr_10 >= atr_20_sft_2,0.05181875,98878,34240,64638,14.77,-1614.1927920008893,-521.2549804293085,532171b4b026df3b7d23c8264137467a8cc80a53ca41565a8c760a4fc7c55907,30,0.02138114720582962,28.76,0.9518235457729587,0.9518235457729587,1.0222174856597614,1.0765406567696847,1.119297134145173,1.149952680522046,1.176643874679569,1.2006697243279063,1.2132229546239162,1.2245555908765169,1.2345529932283579,1.2416694681349039,1.2590373511255708,1.2748283169306571,1.2887995741285994
