ticker,last_price,change_percent,volume,signal
MRM,2.76,130.0,116.63M,Top Gainers
PAPL,4.9,73.76,75.02M,Top Gainers
HTFL,28.75,51.32,7.01M,Top Gainers
ORIS,0.14,50.39,830.33M,Top Gainers
ALEC,2.15,47.26,8.82M,Top Gainers
SGBX,0.4,38.85,430.44M,Top Gainers
MENS,45.33,32.47,219.85K,Top Gainers
LASR,26.15,27.75,2.72M,Top Gainers
NEGG,79.79,34.24,1.75M,Top Gainers
WLDN,113.65,27.54,1.10M,Top Gainers
CELC,45.88,3.71,1.32M,Top Gainers
SPRU,1.55,32.48,75.11M,Top Gainers
ZKH,3.0,0.33,7.88M,Top Gainers
AMX,19.05,0.42,1.66M,Top Gainers
AKRO,50.46,0.02,1.06M,Top Gainers
LNW,78.86,1.27,3.36M,Top Gainers
AEBI,11.12,7.03,528.89K,Top Gainers
DKI,5.48,37.0,1.94M,Top Gainers
ATO,164.29,0.96,1.40M,Top Gainers
CORZ,14.41,0.42,16.57M,Top Gainers
