"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"NKTR"	"NEKTAR THERAPEUTICS"	"+0,08%"	"+0,05"	"60,55(c)"	"14:21:15"	"776.800"	""
"GSAT"	"GLOBALSTAR INC."	"+4,62%"	"+1,86"	"42,13(c)"	"14:21:05"	"1.380k"	""
"TCBX"	"THIRD COAST BANCSHARES INC."	"+1,68%"	"+0,62"	"37,42(c)"	"14:21:07"	"64.107"	""
"IPX"	"IPERIONX LTD."	"+3,00%"	"+1,61"	"55,19(c)"	"14:21:07"	"112.014"	""
"MGNI"	"MAGNITE INC."	"+0,89%"	"+0,18"	"20,30(c)"	"14:21:07"	"2.564k"	""
"INBX"	"INHIBRX BIOSCIENCES INC."	"+1,65%"	"+0,58"	"35,65(c)"	"14:21:09"	"112.287"	""
"TONX"	"TON STRATEGY COMPANY"	"-2,97%"	"-0,21"	"6,87(c)"	"14:21:09"	"422.750"	""
"BNC"	"CEA INDUSTRIES INC."	"+6,97%"	"+0,53"	"8,13(c)"	"14:21:11"	"3.070k"	""
"ACFN"	"ACORN ENERGY INC."	"+3,46%"	"+0,98"	"29,28(c)"	"14:21:11"	"15.002"	""
"SUPX"	"SUPER X AI TECHNOLOGY"	"+8,16%"	"+5,66"	"75,00(c)"	"14:21:11"	"451.542"	""
"QNTM"	"QUANTUM BIOPHARMA"	"+1,93%"	"+0,35"	"18,45(c)"	"14:21:15"	"182.715"	""
"AEHR"	"AEHR TEST SYSTEMS"	"-3,81%"	"-1,23"	"31,02(c)"	"14:21:15"	"1.561k"	""
"NEON"	"NEONODE INC."	"+2,16%"	"+0,08"	"3,78(c)"	"14:21:15"	"578.886"	""
"DOMO"	"DOMO INC."	"-1,17%"	"-0,18"	"15,22(c)"	"14:21:17"	"421.793"	""
"PGY"	"PAGAYA TECHNOLOGIES"	"-5,37%"	"-1,67"	"29,40(c)"	"14:20:58"	"7.436k"	""
"SEDG"	"SOLAREDGE TECHNOLOGIES INC."	"-4,53%"	"-1,72"	"36,24(c)"	"14:21:17"	"4.059k"	""
"VSAT"	"VIASAT INC."	"+3,82%"	"+1,18"	"32,06(c)"	"14:21:17"	"2.649k"	""
"VHC"	"VIRNETX HOLDING CORP"	"-2,42%"	"-0,41"	"16,50(c)"	"14:21:33"	"10.525"	""
"OPRX"	"OPTIMIZERX CORP."	"+6,53%"	"+1,15"	"18,75(c)"	"14:21:27"	"312.659"	""
"FEIM"	"FREQUENCY ELECTRONICS INC."	"-2,19%"	"-0,78"	"34,91(c)"	"14:21:25"	"247.655"	""
"PPIH"	"PERMA-PIPE INTERNATIONAL HLD."	"-0,04%"	"-0,01"	"22,44(c)"	"14:21:25"	"136.135"	""
"JOUT"	"JOHNSON OUTDOORS INC."	"+0,92%"	"+0,38"	"41,76(c)"	"14:21:19"	"42.276"	""
"URGN"	"UROGEN PHARMA"	"+1,93%"	"+0,33"	"17,40(c)"	"14:21:25"	"1.015k"	""
"EXTR"	"EXTREME NETWORKS INC."	"-0,73%"	"-0,15"	"20,29(c)"	"14:21:23"	"1.407k"	""

