"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"ACFN"	"ACORN ENERGY INC."	"+3,46%"	"+0,98"	"29,28(c)"	"08:34:24"	"15.002"	""
"ALNT"	"ALLIENT INC."	"-0,46%"	"-0,20"	"43,73(c)"	"08:34:46"	"76.593"	""
"SILC"	"SILICOM LTD"	"+1,04%"	"+0,18"	"17,42(c)"	"08:34:30"	"84.395"	""
"SEDG"	"SOLAREDGE TECHNOLOGIES INC."	"-4,53%"	"-1,72"	"36,24(c)"	"08:34:30"	"4.059k"	""
"NKTR"	"NEKTAR THERAPEUTICS"	"+0,08%"	"+0,05"	"60,55(c)"	"08:34:28"	"776.800"	""
"NEON"	"NEONODE INC."	"+2,16%"	"+0,08"	"3,78(c)"	"08:34:28"	"578.886"	""
"AEHR"	"AEHR TEST SYSTEMS"	"-3,81%"	"-1,23"	"31,02(c)"	"08:34:28"	"1.561k"	""
"IREN"	"IREN LTD."	"+7,32%"	"+3,44"	"50,46(c)"	"08:34:28"	"40,8M"	""
"SUPX"	"SUPER X AI TECHNOLOGY"	"+8,16%"	"+5,66"	"75,00(c)"	"08:34:24"	"451.542"	""
"TSAT"	"TELESAT CORP."	"+7,53%"	"+2,09"	"29,85(c)"	"08:34:46"	"264.595"	""
"BNC"	"CEA INDUSTRIES INC."	"+6,97%"	"+0,53"	"8,13(c)"	"08:34:24"	"3.070k"	""
"INBX"	"INHIBRX BIOSCIENCES INC."	"+1,65%"	"+0,58"	"35,65(c)"	"08:34:22"	"112.287"	""
"SOFI"	"SOFI TECHNOLOGIES INC."	"-2,81%"	"-0,73"	"25,24(c)"	"08:34:20"	"78,8M"	""
"PVLA"	"PALVELLA THERAPEUTICS INC."	"+5,03%"	"+3,15"	"65,78(c)"	"08:34:20"	"151.230"	""
"MGNI"	"MAGNITE INC."	"+0,89%"	"+0,18"	"20,30(c)"	"08:34:20"	"2.564k"	""
"IPX"	"IPERIONX LTD."	"+3,00%"	"+1,61"	"55,19(c)"	"08:34:20"	"112.014"	""
"TCBX"	"THIRD COAST BANCSHARES INC."	"+1,68%"	"+0,62"	"37,42(c)"	"08:34:20"	"64.107"	""
"SMMT"	"SUMMIT THERAPEUTICS INC."	"+2,68%"	"+0,56"	"21,43(c)"	"08:34:42"	"2.240k"	""
"EYE"	"NATIONAL VISION HLD."	"-1,33%"	"-0,39"	"28,87(c)"	"08:34:32"	"1.283k"	""
"TNXP"	"TONIX PHARMACEUTICALS HOLDING"	"-2,91%"	"-0,72"	"24,00(c)"	"08:34:34"	"1.174k"	"Viruela del mono"
"GOGO"	"GOGO INC."	"+1,39%"	"+0,12"	"8,73(c)"	"08:34:36"	"1.362k"	""
"GEOS"	"GEOSPACE TECHNOLOGIES"	"-1,36%"	"-0,27"	"19,61(c)"	"08:34:36"	"191.010"	""
"TRS"	"TRIMAS CORP."	"+0,61%"	"+0,23"	"37,71(c)"	"08:34:32"	"308.732"	""
"KNSA"	"KINIKSA PHARMACEUTICALS"	"+2,72%"	"+1,02"	"38,49(c)"	"08:34:36"	"608.922"	""
"PPIH"	"PERMA-PIPE INTERNATIONAL HLD."	"-0,04%"	"-0,01"	"22,44(c)"	"08:34:38"	"136.135"	""
"FEIM"	"FREQUENCY ELECTRONICS INC."	"-2,19%"	"-0,78"	"34,91(c)"	"08:34:40"	"247.655"	""
"ATRO"	"ASTRONICS CORP."	"+1,48%"	"+0,69"	"47,23(c)"	"08:34:40"	"593.079"	""
"OUST"	"OUSTER INC."	"+5,14%"	"+1,46"	"29,86(c)"	"08:34:46"	"3.024k"	""
"PGY"	"PAGAYA TECHNOLOGIES"	"-5,37%"	"-1,67"	"29,40(c)"	"08:34:11"	"7.436k"	""
"METC"	"RAMACO RESOURCES INC."	"+7,70%"	"+2,70"	"37,75(c)"	"08:34:42"	"3.509k"	""
"ENLT"	"ENLIGHT RENEWABLE ENERGY"	"-0,48%"	"-0,15"	"31,31(c)"	"08:34:44"	"67.704"	""
"BWMN"	"BOWMAN CONSULTING GROUP"	"-0,69%"	"-0,29"	"41,46(c)"	"08:34:44"	"64.749"	""
"JOUT"	"JOHNSON OUTDOORS INC."	"+0,92%"	"+0,38"	"41,76(c)"	"08:34:32"	"42.276"	""
"PPTA"	"PERPETUA RESOURCES"	"+3,95%"	"+0,83"	"21,84(c)"	"08:34:44"	"2.447k"	""

