"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"NKTR"	"NEKTAR THERAPEUTICS"	"+0,08%"	"+0,05"	"60,55(c)"	"08:39:05"	"776.800"	""
"FGNX"	"FG NEXUS INC."	"-2,33%"	"-0,14"	"5,86(c)"	"08:38:55"	"509.806"	""
"TCBX"	"THIRD COAST BANCSHARES INC."	"+1,68%"	"+0,62"	"37,42(c)"	"08:38:57"	"64.107"	""
"IPX"	"IPERIONX LTD."	"+3,00%"	"+1,61"	"55,19(c)"	"08:38:57"	"112.014"	""
"MGNI"	"MAGNITE INC."	"+0,89%"	"+0,18"	"20,30(c)"	"08:38:57"	"2.564k"	""
"PVLA"	"PALVELLA THERAPEUTICS INC."	"+5,03%"	"+3,15"	"65,78(c)"	"08:38:57"	"151.230"	""
"INBX"	"INHIBRX BIOSCIENCES INC."	"+1,65%"	"+0,58"	"35,65(c)"	"08:38:59"	"112.287"	""
"TONX"	"TON STRATEGY COMPANY"	"-2,97%"	"-0,21"	"6,87(c)"	"08:38:59"	"422.750"	""
"ASMB"	"ASSEMBLY BIOSCIENCES INC."	"-1,60%"	"-0,38"	"23,32(c)"	"08:38:59"	"66.702"	""
"BNC"	"CEA INDUSTRIES INC."	"+6,97%"	"+0,53"	"8,13(c)"	"08:39:01"	"3.070k"	""
"ACFN"	"ACORN ENERGY INC."	"+3,46%"	"+0,98"	"29,28(c)"	"08:39:01"	"15.002"	""
"SUPX"	"SUPER X AI TECHNOLOGY"	"+8,16%"	"+5,66"	"75,00(c)"	"08:39:01"	"451.542"	""
"USAR"	"USA RARE EARTH INC."	"+14,31%"	"+3,25"	"25,96(c)"	"08:39:03"	"41,5M"	""
"QNTM"	"QUANTUM BIOPHARMA"	"+1,93%"	"+0,35"	"18,45(c)"	"08:39:03"	"182.715"	""
"IREN"	"IREN LTD."	"+7,32%"	"+3,44"	"50,46(c)"	"08:39:03"	"40,8M"	""
"NEON"	"NEONODE INC."	"+2,16%"	"+0,08"	"3,78(c)"	"08:39:05"	"578.886"	""
"SEDG"	"SOLAREDGE TECHNOLOGIES INC."	"-4,53%"	"-1,72"	"36,24(c)"	"08:39:05"	"4.059k"	""
"GRPN"	"GROUPON INC."	"+2,04%"	"+0,46"	"22,96(c)"	"08:39:07"	"1.431k"	""
"VSAT"	"VIASAT INC."	"+3,82%"	"+1,18"	"32,06(c)"	"08:39:07"	"2.649k"	""
"OUST"	"OUSTER INC."	"+5,14%"	"+1,46"	"29,86(c)"	"08:39:23"	"3.024k"	""
"VHC"	"VIRNETX HOLDING CORP"	"-2,42%"	"-0,41"	"16,50(c)"	"08:39:21"	"10.525"	""
"NNE"	"NANO NUCLEAR ENERGY INC."	"+6,72%"	"+2,80"	"44,49(c)"	"08:39:21"	"4.749k"	""
"LQDA"	"LIQUIDIA CORP."	"+2,42%"	"+0,53"	"22,43(c)"	"08:39:17"	"1.676k"	""
"JOUT"	"JOHNSON OUTDOORS INC."	"+0,92%"	"+0,38"	"41,76(c)"	"08:39:09"	"42.276"	""
"FEIM"	"FREQUENCY ELECTRONICS INC."	"-2,19%"	"-0,78"	"34,91(c)"	"08:39:15"	"247.655"	""
"URGN"	"UROGEN PHARMA"	"+1,93%"	"+0,33"	"17,40(c)"	"08:39:13"	"1.015k"	""
"LASR"	"NLIGHT INC."	"-0,80%"	"-0,25"	"30,85(c)"	"08:39:13"	"706.837"	""
"GEOS"	"GEOSPACE TECHNOLOGIES"	"-1,36%"	"-0,27"	"19,61(c)"	"08:39:11"	"191.010"	""
"EXTR"	"EXTREME NETWORKS INC."	"-0,73%"	"-0,15"	"20,29(c)"	"08:39:11"	"1.407k"	""
"EYE"	"NATIONAL VISION HLD."	"-1,33%"	"-0,39"	"28,87(c)"	"08:39:09"	"1.283k"	""

