"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"SCPH"	"SCPHARMACEUTICALS INC."	"+0,18%"	"+0,01"	"5,67(c)"	"14:27:21"	"3.811k"	""
"ABCL"	"ABCELLERA BIOLOGICS INC."	"-1,34%"	"-0,08"	"5,90(c)"	"14:27:21"	"9.112k"	""
"IMRX"	"IMMUNEERING CORP."	"-7,35%"	"-0,48"	"6,05(c)"	"14:27:22"	"3.545k"	""
"BGLC"	"BIONEXUS GENE LAB CORP"	"-1,31%"	"-0,07"	"5,29(c)"	"14:27:22"	"17.621"	"-44'97  (la anterior vela demasiado grande)"
"AMPG"	"AMPLITECH GROUP INC."	"-3,36%"	"-0,15"	"4,32(c)"	"14:27:22"	"1.126k"	""
"SKYT"	"SKYWATER TECHNOLOGY INC."	"-8,15%"	"-1,63"	"18,37(c)"	"14:27:21"	"2.433k"	""
"RGTI"	"RIGETTI COMPUTING INC."	"+13,16%"	"+4,66"	"40,06(c)"	"14:27:22"	"156M"	""
"RGTIW"	"RIGETTI COMPUTING"	"+18,79%"	"+4,50"	"28,45(c)"	"14:27:21"	"818.587"	""
"ELWS"	"EARLYWORKS CO."	"+0,00%"	"+0,00"	"2,68(c)"	"14:27:22"	"27.786"	"-24'61"
"QNTM"	"QUANTUM BIOPHARMA"	"+1,93%"	"+0,35"	"18,45(c)"	"14:27:21"	"182.715"	""
"MGRM"	"MONOGRAM TECHNOLOGIES INC."	"+3,04%"	"+0,18"	"6,11(c)"	"14:27:21"	"178.251"	""
"KPLT"	"KATAPULT HOLDINGS INC."	"+10,57%"	"+1,27"	"13,29(c)"	"14:27:21"	"118.883"	""
"SLDP"	"SOLID POWER INC."	"+11,34%"	"+0,44"	"4,32(c)"	"14:27:21"	"17,7M"	""
"ONDS"	"ONDAS HOLDINGS INC."	"+7,60%"	"+0,70"	"9,91(c)"	"14:27:22"	"72,9M"	""
"NEON"	"NEONODE INC."	"+2,16%"	"+0,08"	"3,78(c)"	"14:27:22"	"578.886"	""
"NKTR"	"NEKTAR THERAPEUTICS"	"+0,08%"	"+0,05"	"60,55(c)"	"14:27:21"	"776.800"	""
"SEDG"	"SOLAREDGE TECHNOLOGIES INC."	"-4,53%"	"-1,72"	"36,24(c)"	"14:27:22"	"4.059k"	""
"SPCB"	"SUPERCOM"	"-2,47%"	"-0,29"	"11,46(c)"	"14:27:22"	"81.998"	""
"RFIL"	"RF INDUSTRIES LTD."	"-6,79%"	"-0,55"	"7,55(c)"	"14:27:21"	"131.728"	""
"VSAT"	"VIASAT INC."	"+3,82%"	"+1,18"	"32,06(c)"	"14:27:22"	"2.649k"	""
"DPRO"	"DRAGANFLY INC."	"+1,58%"	"+0,16"	"10,29(c)"	"14:27:22"	"12,3M"	""
"ELTX"	"ELICIO THERAPEUTICS INC."	"-0,27%"	"-0,03"	"11,04(c)"	"14:27:22"	"180.616"	""
"TDUP"	"THREDUP INC."	"+3,17%"	"+0,29"	"9,43(c)"	"14:27:22"	"1.599k"	""
"CNTB"	"CONNECT BIOPHARMA HLD."	"+7,19%"	"+0,10"	"1,49(c)"	"14:27:22"	"37.875"	""
"DTST"	"DATA STORAGE CORP."	"-0,46%"	"-0,02"	"4,33(c)"	"14:27:22"	"35.108"	""
"CYRX"	"CRYOPORT INC."	"+3,42%"	"+0,32"	"9,68(c)"	"14:27:22"	"473.590"	""
"DXR"	"DAXOR CORP."	"-0,71%"	"-0,10"	"13,90(c)"	"14:27:21"	"2.495"	""
"ABVE"	"ABOVE FOOD INGREDIENTS INC."	"+14,01%"	"+0,36"	"2,93(c)"	"14:27:22"	"6.443k"	"-48'82"
"MOB"	"MOBILICOM LTD."	"+10,09%"	"+0,92"	"10,04(c)"	"14:27:21"	"730.566"	""
"SUIG"	"SUI GROUP HOLDINGS"	"+3,94%"	"+0,17"	"4,49(c)"	"14:27:22"	"2.052k"	""
"TAOX"	"TAO SYNERGIES INC."	"-9,59%"	"-0,68"	"6,41(c)"	"14:27:21"	"247.014"	""
"TRON"	"TRON INC."	"+11,11%"	"+0,29"	"2,90(c)"	"14:27:22"	"11M"	""
"FGNX"	"FG NEXUS INC."	"-2,33%"	"-0,14"	"5,86(c)"	"14:27:21"	"509.806"	""
"INVZ"	"INNOVIZ TECHNOLOGIES"	"+8,96%"	"+0,19"	"2,31(c)"	"14:27:22"	"21,3M"	""
"MGNI"	"MAGNITE INC."	"+0,89%"	"+0,18"	"20,30(c)"	"14:27:21"	"2.564k"	""
"PROK"	"PROKIDNEY"	"-1,44%"	"-0,04"	"2,74(c)"	"14:27:22"	"2.046k"	"-53,15"
"INBX"	"INHIBRX BIOSCIENCES INC."	"+1,65%"	"+0,58"	"35,65(c)"	"14:27:21"	"112.287"	""
"TONX"	"TON STRATEGY COMPANY"	"-2,97%"	"-0,21"	"6,87(c)"	"14:27:21"	"422.750"	""
"ABVC"	"ABVC BIOPHARMA INC."	"-0,66%"	"-0,02"	"3,00(c)"	"14:27:21"	"33.053"	""
"NB"	"NIOCORP DEVELOPMENTS"	"+17,46%"	"+1,18"	"7,94(c)"	"14:27:22"	"16,5M"	"+37'48"
"DGXX"	"DIGI POWER X INC."	"+0,76%"	"+0,02"	"2,64(c)"	"14:27:21"	"2.067k"	""
"SRTA"	"STRATA CRITICAL MEDICAL INC."	"+3,44%"	"+0,18"	"5,41(c)"	"14:27:22"	"503.504"	""
"BNC"	"CEA INDUSTRIES INC."	"+6,97%"	"+0,53"	"8,13(c)"	"14:27:21"	"3.070k"	""
"ABAT"	"AMERICAN BATTERY TECHNOLOGY CO."	"-2,59%"	"-0,13"	"4,88(c)"	"14:27:21"	"18,2M"	""
"ACFN"	"ACORN ENERGY INC."	"+3,46%"	"+0,98"	"29,28(c)"	"14:27:22"	"15.002"	""
"SUPX"	"SUPER X AI TECHNOLOGY"	"+8,16%"	"+5,66"	"75,00(c)"	"14:27:21"	"451.542"	""
"TPCS"	"TECHPRECISION CORP."	"+6,12%"	"+0,32"	"5,55(c)"	"14:27:21"	"71.194"	""
"VVOS"	"VIVOS THERAPEUTICS INC."	"-0,31%"	"-0,01"	"3,19(c)"	"14:27:22"	"121.599"	""
"INKT"	"MINK THERAPEUTICS INC."	"-2,85%"	"-0,44"	"15,02(c)"	"14:27:22"	"31.421"	""
"HYFT"	"MINDWALK HOLDINGS"	"-4,52%"	"-0,08"	"1,69(c)"	"14:27:22"	"628.425"	""

