"Ticker"	"Nombre"	"%Var"	"Var"	"Último"	"Inserción"	"Volumen"	"Comentar"
"NKTR"	"NEKTAR THERAPEUTICS"	"+0,08%"	"+0,05"	"60,55(c)"	"14:22:36"	"776.800"	""
"GSAT"	"GLOBALSTAR INC."	"+4,62%"	"+1,86"	"42,13(c)"	"14:22:26"	"1.380k"	""
"FGNX"	"FG NEXUS INC."	"-2,33%"	"-0,14"	"5,86(c)"	"14:22:28"	"509.806"	""
"TCBX"	"THIRD COAST BANCSHARES INC."	"+1,68%"	"+0,62"	"37,42(c)"	"14:22:28"	"64.107"	""
"IPX"	"IPERIONX LTD."	"+3,00%"	"+1,61"	"55,19(c)"	"14:22:28"	"112.014"	""
"MGNI"	"MAGNITE INC."	"+0,89%"	"+0,18"	"20,30(c)"	"14:22:28"	"2.564k"	""
"HUT"	"HUT 8 CORP."	"+2,72%"	"+1,06"	"40,10(c)"	"14:22:30"	"7.171k"	""
"INBX"	"INHIBRX BIOSCIENCES INC."	"+1,65%"	"+0,58"	"35,65(c)"	"14:22:30"	"112.287"	""
"TONX"	"TON STRATEGY COMPANY"	"-2,97%"	"-0,21"	"6,87(c)"	"14:22:30"	"422.750"	""
"ASMB"	"ASSEMBLY BIOSCIENCES INC."	"-1,60%"	"-0,38"	"23,32(c)"	"14:22:30"	"66.702"	""
"BNC"	"CEA INDUSTRIES INC."	"+6,97%"	"+0,53"	"8,13(c)"	"14:22:32"	"3.070k"	""
"ACFN"	"ACORN ENERGY INC."	"+3,46%"	"+0,98"	"29,28(c)"	"14:22:32"	"15.002"	""
"SUPX"	"SUPER X AI TECHNOLOGY"	"+8,16%"	"+5,66"	"75,00(c)"	"14:22:32"	"451.542"	""
"USAR"	"USA RARE EARTH INC."	"+14,31%"	"+3,25"	"25,96(c)"	"14:22:34"	"41,5M"	""
"AEHR"	"AEHR TEST SYSTEMS"	"-3,81%"	"-1,23"	"31,02(c)"	"14:22:36"	"1.561k"	""
"NEON"	"NEONODE INC."	"+2,16%"	"+0,08"	"3,78(c)"	"14:22:36"	"578.886"	""
"SEDG"	"SOLAREDGE TECHNOLOGIES INC."	"-4,53%"	"-1,72"	"36,24(c)"	"14:22:38"	"4.059k"	""
"VSAT"	"VIASAT INC."	"+3,82%"	"+1,18"	"32,06(c)"	"14:22:38"	"2.649k"	""
"PGY"	"PAGAYA TECHNOLOGIES"	"-5,37%"	"-1,67"	"29,40(c)"	"14:22:19"	"7.436k"	""
"LENZ"	"LENZ THERAPEUTICS INC."	"+0,87%"	"+0,42"	"48,74(c)"	"14:22:54"	"327.665"	""
"MFI"	"MF INTERNATIONAL"	"-1,32%"	"-0,51"	"38,16(c)"	"14:22:54"	"30.884"	""
"OUST"	"OUSTER INC."	"+5,14%"	"+1,46"	"29,86(c)"	"14:22:54"	"3.024k"	""
"NNE"	"NANO NUCLEAR ENERGY INC."	"+6,72%"	"+2,80"	"44,49(c)"	"14:22:52"	"4.749k"	""
"VOR"	"VOR BIOPHARMA INC."	"+2,13%"	"+0,78"	"37,46(c)"	"14:22:52"	"390.986"	""
"METC"	"RAMACO RESOURCES INC."	"+7,70%"	"+2,70"	"37,75(c)"	"14:22:50"	"3.509k"	""
"OPRX"	"OPTIMIZERX CORP."	"+6,53%"	"+1,15"	"18,75(c)"	"14:22:48"	"312.659"	""
"FEIM"	"FREQUENCY ELECTRONICS INC."	"-2,19%"	"-0,78"	"34,91(c)"	"14:22:48"	"247.655"	""
"URGN"	"UROGEN PHARMA"	"+1,93%"	"+0,33"	"17,40(c)"	"14:22:46"	"1.015k"	""
"EXTR"	"EXTREME NETWORKS INC."	"-0,73%"	"-0,15"	"20,29(c)"	"14:22:44"	"1.407k"	""

