ticker,n_velas,T_date,T_volume,T_volume_ma,volume_ratio,T_close,T1_open,T1_high,T1_low,T1_close,T1_pct_change,T1_high_pct,T2_open,T2_close,T2_pct_change,T3_open,T3_close,T3_pct_change
CLNE,9,2025-05-12,7528342.0000,2337458.0000,3.2207,1.9200,1.9200,2.1300,1.9200,2.0800,8.3333,10.9375,2.0500,1.9400,-5.3659,1.9200,1.9600,2.0833
PSEC,9,2025-05-12,7609890.0000,2843342.6250,2.6764,3.6900,3.6900,3.7700,3.6600,3.6700,-0.5420,2.1680,3.6900,3.6500,-1.0840,3.6300,3.6400,0.2755
FTRE,9,2025-05-12,8560874.0000,2786383.1875,3.0724,5.1900,5.2600,5.4712,4.5400,5.0000,-4.9430,4.0152,4.9000,4.7800,-2.4490,4.6900,4.7500,1.2793
CTMX,9,2025-05-12,114154461.0000,9996969.2500,11.4189,2.1300,2.1700,2.5500,1.8602,2.5000,15.2074,17.5115,2.3700,2.3800,0.4219,2.5000,2.0000,-20.0000
PSNY,9,2025-05-12,9954096.0000,2970785.7500,3.3507,1.0900,1.0800,1.0900,0.9991,1.0400,-3.7037,0.9259,1.0500,1.1500,9.5238,1.1200,1.0800,-3.5714
RAY,9,2025-05-12,8168467.0000,1899491.9375,4.3003,1.4600,1.5900,1.7900,1.5600,1.7500,10.0629,12.5786,1.7800,1.7100,-3.9326,1.7100,1.6600,-2.9240
GRYP,9,2025-05-12,270770751.0000,18672269.6250,14.5012,1.4200,1.6000,1.6200,1.2500,1.2800,-20.0000,1.2500,1.0100,0.7511,-25.6337,0.7810,1.0700,37.0038
BTCS,9,2025-05-12,7525741.0000,1095386.6875,6.8704,2.0900,2.0800,2.1100,1.8701,1.9900,-4.3269,1.4423,2.2100,2.1000,-4.9774,2.0700,2.0000,-3.3816
INDI,9,2025-05-12,7156341.0000,2403031.5625,2.9780,2.6400,2.4400,2.7000,2.3901,2.6800,9.8361,10.6557,2.6500,2.7400,3.3962,2.7500,2.7800,1.0909
TAOP,9,2025-05-12,584994163.0000,39213472.1250,14.9182,0.2950,0.3358,0.3460,0.2200,0.2750,-18.1060,3.0375,0.2560,0.2040,-20.3125,0.1934,0.2831,46.3806
HUMA,8,2025-05-13,15251959.0000,3596456.1176,4.2408,1.7300,1.7700,2.0450,1.7000,1.8700,5.6497,15.5367,1.9000,1.8900,-0.5263,1.9100,2.2400,17.2775
MVST,8,2025-05-13,53627387.0000,9523796.8235,5.6309,3.1100,3.0950,3.3300,2.9100,3.0800,-0.4847,7.5929,2.9400,3.3000,12.2449,3.3500,3.3800,0.8955
ABCL,8,2025-05-13,17015917.0000,4706351.5294,3.6155,2.1000,2.1000,2.2100,2.0050,2.0500,-2.3810,5.2381,2.0400,2.0200,-0.9804,2.0300,2.0300,0.0000
MVIS,8,2025-05-13,11242489.0000,3197102.1765,3.5165,1.0700,1.0600,1.1100,1.0500,1.1000,3.7736,4.7170,1.0800,1.0700,-0.9259,1.0600,1.1200,5.6604
VFF,8,2025-05-13,7297170.0000,1111093.3529,6.5676,0.9600,1.0100,1.0500,0.9991,1.0000,-0.9901,3.9604,1.0100,0.9321,-7.7129,0.9400,1.0500,11.7021
INVZ,7,2025-05-14,15071534.0000,3455432.3125,4.3617,0.9500,0.9500,0.9849,0.8876,0.9848,3.6632,3.6737,1.0000,0.9856,-1.4400,0.9500,1.0000,5.2632
RR,7,2025-05-14,15771145.0000,6426178.3125,2.4542,2.4100,2.2000,2.2400,2.0800,2.1900,-0.4545,1.8182,2.2300,2.5800,15.6951,2.3200,2.3200,0.0000
IXHL,7,2025-05-14,1525152320.0000,99163511.4375,15.3802,0.7000,0.7445,1.0600,0.2404,0.2685,-63.9355,42.3774,0.3399,0.2600,-23.5069,0.2258,0.1999,-11.4703
ABSI,7,2025-05-14,10466315.0000,2758715.4375,3.7939,2.9100,2.9100,2.9900,2.8310,2.9600,1.7182,2.7491,2.9700,2.8800,-3.0303,2.8100,2.7700,-1.4235
SHLS,6,2025-05-15,24722901.0000,9902786.2000,2.4966,4.5800,4.9200,5.0350,4.7200,4.8550,-1.3211,2.3374,4.7400,4.7200,-0.4219,4.8000,4.7850,-0.3125
LAB,6,2025-05-15,5810975.0000,1350519.9333,4.3028,1.0500,1.0400,1.1150,1.0400,1.0800,3.8462,7.2115,1.0600,1.0500,-0.9434,1.0300,1.0500,1.9417
BTM,6,2025-05-15,9685327.0000,860998.2000,11.2490,2.0900,2.1800,2.8700,2.1400,2.6800,22.9358,31.6514,2.6500,3.0000,13.2075,3.0000,2.9400,-2.0000
CLIK,6,2025-05-15,485748271.0000,36280181.4000,13.3888,0.7098,0.5900,0.6200,0.4430,0.4787,-18.8644,5.0847,0.4451,0.5200,16.8277,0.5190,0.7000,34.8748
LAZR,6,2025-05-15,4999563.0000,1959869.0667,2.5510,3.9600,4.0050,4.8200,3.9100,4.7200,17.8527,20.3496,4.4900,4.5400,1.1136,4.5700,4.1700,-8.7527
GTI,6,2025-05-15,285108205.0000,25433726.8000,11.2098,0.1470,0.1487,0.1487,0.1192,0.1310,-11.9032,0.0000,0.1186,0.1526,28.6678,0.1500,0.1668,11.2000
BMGL,6,2025-05-15,15274779.0000,1858602.4000,8.2184,2.6300,2.9000,3.6200,2.1000,2.3700,-18.2759,24.8276,2.3700,2.1300,-10.1266,2.2000,1.9900,-9.5455
RENB,6,2025-05-15,12942647.0000,1677770.6667,7.7142,0.3327,0.3210,0.3565,0.3110,0.3220,0.3115,11.0592,0.3012,0.3158,4.8473,0.3100,0.2902,-6.3871
ABP,6,2025-05-15,362297464.0000,26255868.0667,13.7987,0.2651,0.2543,0.2700,0.2207,0.2300,-9.5556,6.1738,0.2800,0.2720,-2.8571,0.2700,0.2549,-5.5926
NFE,6,2025-05-15,92121102.0000,11220075.7333,8.2104,2.5100,2.6000,2.6600,2.2600,2.6600,2.3077,2.3077,2.6550,3.2900,23.9171,3.4000,3.0600,-10.0000
PTLE,5,2025-05-16,5705955.0000,1000433.0000,5.7035,1.3800,1.4300,1.4700,1.3800,1.4100,-1.3986,2.7972,1.4100,1.4300,1.4184,1.4500,1.3700,-5.5172
URGN,5,2025-05-16,9676034.0000,1425860.0000,6.7861,7.3100,7.1800,8.1900,7.0000,7.9700,11.0028,14.0669,8.0000,7.5400,-5.7500,3.6900,4.1700,13.0081
OCGN,5,2025-05-16,8339460.0000,3471998.9333,2.4019,0.7584,0.7418,0.7758,0.7300,0.7698,3.7746,4.5834,0.7447,0.8100,8.7686,0.8200,0.8300,1.2195
BLDP,5,2025-05-16,18037934.0000,7233804.9333,2.4936,1.4200,1.4000,1.4700,1.3850,1.4200,1.4286,5.0000,1.4400,1.3900,-3.4722,1.3800,1.3100,-5.0725
VSTE,5,2025-05-16,157929276.0000,16139945.1333,9.7850,0.1564,0.1746,0.1859,0.1550,0.1788,2.4055,6.4719,0.1751,0.1860,6.2250,0.1878,0.1680,-10.5431
FAAS,4,2025-05-19,623896233.0000,44509927.8000,14.0170,0.3553,0.3009,0.3900,0.3001,0.3753,24.7258,29.6112,0.3906,0.4090,4.7107,0.4282,0.5162,20.5511
MRSN,4,2025-05-19,10171738.0000,2970234.2000,3.4246,0.3850,0.3834,0.3900,0.3573,0.3900,1.7214,1.7214,0.3749,0.3533,-5.7615,0.3465,0.3900,12.5541
PRME,4,2025-05-19,9655747.0000,2026184.8000,4.7655,1.3350,1.3300,1.3400,1.1100,1.1750,-11.6541,0.7519,1.1500,1.1650,1.3043,1.1500,1.2300,6.9565
MULN,4,2025-05-19,557427932.0000,53145731.6000,10.4887,0.3400,0.2882,0.2991,0.1910,0.1995,-30.7772,3.7821,0.1856,0.1698,-8.5129,0.1720,0.1660,-3.4884
APLT,4,2025-05-19,12523735.0000,2920596.1333,4.2881,0.4559,0.4604,0.4684,0.4221,0.4355,-5.4083,1.7376,0.4303,0.3779,-12.1776,0.3986,0.4100,2.8600
WOOF,3,2025-05-20,7602044.0000,3208922.0000,2.3690,3.8600,3.7700,3.8400,3.6100,3.6500,-3.1830,1.8568,3.5900,3.6900,2.7855,3.5800,3.6300,1.3966
QSI,3,2025-05-20,25872958.0000,7057991.0714,3.6658,1.6800,1.7950,1.8000,1.4500,1.4750,-17.8273,0.2786,1.5600,1.7400,11.5385,1.7550,1.9400,10.5413
