ticker,n_velas,T_date,T_volume,T_volume_ma,volume_ratio,T_close,T1_open,T1_high,T1_low,T1_close,T1_pct_change,T1_high_pct,T2_open,T2_close,T2_pct_change,T3_open,T3_close,T3_pct_change
XTIA,3,2025-05-20,2059493.0000,449219.2857,4.5846,1.5000,1.5200,1.7600,1.4100,1.6100,5.9211,15.7895,1.7600,1.8600,5.6818,1.8500,1.8300,-1.0811
ATAI,3,2025-05-20,7225148.0000,1920747.5714,3.7616,2.0500,1.9800,2.0793,1.8850,1.9100,-3.5354,5.0152,1.9100,2.0200,5.7592,1.9800,2.0600,4.0404
SANA,3,2025-05-20,10250545.0000,3709997.7857,2.7630,2.0900,2.0750,2.0750,1.9000,1.9600,-5.5422,0.0000,1.9100,2.0000,4.7120,1.9400,1.9900,2.5773
EYEN,3,2025-05-20,49961376.0000,4010865.6429,12.4565,1.6700,1.5900,1.6700,1.3600,1.4000,-11.9497,5.0314,1.4300,2.0300,41.9580,1.9100,1.7700,-7.3298
BLMZ,3,2025-05-20,763108369.0000,74898462.7857,10.1886,0.1522,0.1410,0.1500,0.1217,0.1299,-7.8723,6.3830,0.1200,0.1340,11.6667,0.2500,0.2100,-16.0000
CIFR,2,2025-05-21,57678708.0000,21483776.6923,2.6848,3.5050,3.6500,3.7000,3.5000,3.5700,-2.1918,1.3699,3.4200,3.4700,1.4620,3.0600,2.9800,-2.6144
BDSX,2,2025-05-21,357533180.0000,36822737.8462,9.7096,0.3951,0.3578,0.3995,0.3425,0.3559,-0.5310,11.6546,0.3640,0.3426,-5.8791,0.5270,0.4743,-10.0000
LTRY,2,2025-05-21,163530664.0000,13034233.2308,12.5462,1.7800,1.6190,1.7300,1.3300,1.6000,-1.1736,6.8561,1.9950,1.7600,-11.7794,0.9100,0.8900,-2.1978
IQ,2,2025-05-21,63461105.0000,19093089.1538,3.3238,1.7100,1.6900,1.7000,1.6600,1.6900,0.0000,0.5917,1.6700,1.6700,0.0000,1.9100,1.9600,2.6178
GCTK,17,2025-04-30,54092799.0000,4529870.0526,11.9414,0.1732,0.1750,0.1900,0.1650,0.1753,0.1714,8.5714,0.1650,0.1687,2.2424,0.1624,0.1844,13.5468
NVNI,17,2025-04-30,363026814.0000,24719372.7368,14.6859,0.4499,0.7067,0.7623,0.3500,0.4050,-42.6914,7.8676,0.3630,0.3363,-7.3554,0.3986,0.5145,29.0768
KIDZ,16,2025-05-01,262873244.0000,16199564.7222,16.2272,5.3600,8.1550,10.6500,6.0700,7.1800,-11.9559,30.5947,7.6200,6.3100,-17.1916,6.2000,6.5000,4.8387
FRGT,15,2025-05-02,40991316.7500,2588397.6053,15.8366,8.3200,6.7600,7.0400,5.7200,5.8000,-14.2012,4.1420,6.3600,5.5200,-13.2075,5.6400,5.3200,-5.6738
ARDX,15,2025-05-02,20522378.0000,6047691.9474,3.3934,4.1300,4.1200,4.1800,3.6200,3.7350,-9.3447,1.4563,3.8900,3.9500,1.5424,3.9500,3.7000,-6.3291
NITO,14,2025-05-05,601214610.0000,39052026.7222,15.3952,0.6800,0.5049,0.5319,0.3427,0.3898,-22.7966,5.3476,0.3869,0.3605,-6.8235,0.3448,0.3800,10.2088
IBRX,14,2025-05-05,31017876.0000,7266998.9444,4.2683,2.1000,2.1000,2.2699,1.9600,2.0100,-4.2857,8.0905,2.0050,1.8900,-5.7357,1.9800,2.0900,5.5556
EVGO,13,2025-05-06,21459772.0000,3470030.6471,6.1843,3.6700,3.7260,4.1650,3.6400,3.6700,-1.5030,11.7821,3.7100,3.8300,3.2345,3.8450,3.6600,-4.8114
OPK,13,2025-05-06,9840930.0000,3135798.5294,3.1383,1.2800,1.2700,1.2800,1.2400,1.2500,-1.5748,0.7874,1.2600,1.2600,0.0000,1.2600,1.2400,-1.5873
MYGN,12,2025-05-07,12642104.0000,2776658.7647,4.5530,4.2700,4.2900,4.3100,3.9800,4.0300,-6.0606,0.4662,4.0900,3.8900,-4.8900,4.0000,4.2500,6.2500
CLOV,12,2025-05-07,12949060.0000,5059906.4118,2.5592,3.7700,3.8200,3.8900,3.7100,3.7500,-1.8325,1.8325,3.8000,3.5100,-7.6316,3.6000,3.4700,-3.6111
HNST,11,2025-05-08,6555250.0000,2136738.7059,3.0679,4.3800,4.6600,5.1900,4.6600,4.8400,3.8627,11.3734,5.3200,5.0700,-4.6992,5.1700,5.1300,-0.7737
FLNC,11,2025-05-08,15080814.0000,4813970.5882,3.1327,4.8200,4.7490,4.9300,4.4975,4.5800,-3.5586,3.8113,5.0500,5.6900,12.6733,6.0350,5.7800,-4.2254
APPS,11,2025-05-08,6313352.0000,2716189.5294,2.3243,4.1300,4.1000,4.3800,4.0900,4.1600,1.4634,6.8293,4.5000,4.3700,-2.8889,4.4000,4.4200,0.4545
AKBA,11,2025-05-08,10590644.0000,3576528.7647,2.9612,2.6200,2.6200,2.7700,2.5400,2.5500,-2.6718,5.7252,2.5950,2.4300,-6.3584,2.4500,2.4800,1.2245
NXTT,10,2025-05-09,217838757.0000,13659055.3750,15.9483,2.3600,4.0200,4.8000,2.4500,3.2700,-18.6567,19.4030,3.0200,2.8100,-6.9536,2.8100,1.8600,-33.8078
DNUT,10,2025-05-09,31902286.0000,6858902.1250,4.6512,2.7300,2.8200,3.1800,2.8000,3.0900,9.5745,12.7660,3.1250,3.2100,2.7200,3.2000,3.0700,-4.0625
BTBT,10,2025-05-09,19667208.0000,10769339.8750,1.8262,2.0800,2.1400,2.2100,2.1100,2.1500,0.4673,3.2710,2.2300,2.2400,0.4484,2.2700,2.1400,-5.7269
DCGO,10,2025-05-09,9533156.0000,1166847.1875,8.1700,1.4000,1.4300,1.4600,1.3500,1.4450,1.0490,2.0979,1.4500,1.5000,3.4483,1.5000,1.4000,-6.6667
NVVE,10,2025-05-09,263633188.0000,16942920.7500,15.5601,2.7800,2.0500,2.4800,1.4000,1.5800,-22.9268,20.9756,1.6100,1.4500,-9.9379,1.3200,1.1000,-16.6667
IOVA,10,2025-05-09,112356789.0000,16556749.5625,6.7862,1.7500,1.8500,2.0350,1.7900,1.9300,4.3243,10.0000,1.9800,1.7900,-9.5960,1.8000,1.7050,-5.2778
VERV,28,2025-04-14,31924331.0000,3283082.0000,9.7239,4.1200,4.9100,5.8100,4.8800,4.9700,1.2220,18.3299,4.9000,4.5100,-7.9592,4.5600,4.5900,0.6579
CRML,28,2025-04-14,11616858.0000,1494131.5500,7.7750,2.5500,2.6750,2.6750,2.0600,2.1500,-19.6262,0.0000,2.1300,2.2500,5.6338,2.3000,2.4900,8.2609
RZLV,27,2025-04-15,15049089.0000,3316013.9000,4.5383,1.3900,1.3200,1.3500,1.2800,1.3300,0.7576,2.2727,1.3400,1.4000,4.4776,1.3600,1.3500,-0.7353
IOTR,26,2025-04-16,6370856.0000,2181422.6000,2.9205,1.8500,1.2800,1.3300,1.0900,1.1500,-10.1563,3.9063,0.9500,0.8880,-6.5263,0.8900,0.9283,4.3034
CGC,26,2025-04-16,15348801.0000,5506531.6500,2.7874,1.1800,1.2000,1.3000,1.1200,1.1900,-0.8333,8.3333,1.1800,1.0800,-8.4746,1.0900,1.1800,8.2569
ALEC,23,2025-04-22,2733143.0000,746756.9000,3.6600,1.1100,1.1600,1.2400,1.1200,1.1600,0.0000,6.8966,1.1700,1.1800,0.8547,1.1800,1.1400,-3.3898
OPEN,22,2025-04-23,138576780.0000,45670965.7500,3.0342,0.8411,0.8615,0.8650,0.7266,0.7765,-9.8665,0.4063,0.7735,0.7637,-1.2670,0.7687,0.7766,1.0277
JYD,22,2025-04-23,418375452.0000,32765161.6500,12.7689,0.2654,0.2087,0.2276,0.1936,0.2250,7.8103,9.0561,0.2444,0.2623,7.3241,0.2606,0.2649,1.6500
TMC,21,2025-04-24,65605673.0000,12356844.8500,5.3093,3.6900,3.5000,3.5150,2.9150,3.0500,-12.8571,0.4286,3.2800,3.3100,0.9146,3.6000,3.2800,-8.8889
PET,21,2025-04-24,151411319.0000,10095108.5000,14.9985,0.1525,0.1294,0.1425,0.1176,0.1300,0.4637,10.1236,0.1270,0.1647,29.6850,0.1600,0.1455,-9.0625
TSHA,38,2025-03-31,12479435.0000,2192101.0500,5.6929,1.3900,1.4200,1.4200,1.2100,1.2650,-10.9155,0.0000,1.2600,1.3200,4.7619,1.2500,1.2600,0.8000
RPAY,36,2025-04-02,5149406.0000,980287.8000,5.2530,5.7700,5.4900,5.5350,5.2500,5.3300,-2.9144,0.8197,5.1000,5.1100,0.1961,4.9100,5.1600,5.0916
SLS,32,2025-04-08,2179668.0000,970146.0500,2.2467,1.0400,1.0300,1.1400,1.0100,1.1200,8.7379,10.6796,1.1200,1.1100,-0.8929,1.1200,1.1300,0.8929
BTOG,32,2025-04-08,340820381.0000,32207565.6000,10.5820,0.1481,0.1596,0.1824,0.1335,0.1510,-5.3885,14.2794,0.1582,0.1500,-5.1833,0.1503,0.1420,-5.5223
SABR,31,2025-04-09,25246160.0000,8408924.9000,3.0023,2.4900,2.3600,2.3650,2.1200,2.2700,-3.8136,0.2119,2.2600,2.3100,2.2124,2.3800,2.1200,-10.9244
PACB,31,2025-04-09,28549594.0000,9245516.9000,3.0879,1.4500,1.4500,1.4670,1.3200,1.3800,-4.8276,1.1724,1.3700,1.3600,-0.7299,1.3800,1.3200,-4.3478
ESPR,30,2025-04-10,15177340.0000,5173440.5000,2.9337,0.9600,0.9800,1.0200,0.9500,1.0200,4.0816,4.0816,1.0400,0.9991,-3.9327,0.9822,0.9957,1.3745
CAN,45,2025-03-20,40278417.0000,14900000.2000,2.7032,0.9915,0.9657,1.0100,0.9400,0.9586,-0.7352,4.5873,1.0100,1.0700,5.9406,1.0700,1.0800,0.9346
IRWD,44,2025-03-21,14622338.0000,3112694.9000,4.6976,1.4100,1.4600,1.5000,1.3700,1.4900,2.0548,2.7397,1.5000,1.5000,0.0000,1.5200,1.4600,-3.9474
MLGO,43,2025-03-24,304722008.0000,21379953.3500,14.2527,13.9900,11.3500,19.6899,9.0000,11.9300,5.1101,73.4793,12.7600,11.8600,-7.0533,11.2800,15.9400,41.3121
PSTV,55,2025-03-06,359585031.0000,18410815.5500,19.5312,1.4400,2.0150,2.3099,1.2700,1.5700,-22.0844,14.6352,1.4200,1.2700,-10.5634,1.3000,1.4300,10.0000
XERS,55,2025-03-06,9650889.0000,2207421.2000,4.3720,4.1300,4.1200,4.4000,4.0500,4.2400,2.9126,6.7961,4.1200,4.5900,11.4078,4.5700,4.3900,-3.9387
ONDS,52,2025-03-11,104014692.0000,7929894.9500,13.1168,0.7235,0.6898,0.7065,0.5700,0.6970,1.0438,2.4210,0.6700,0.6767,1.0000,0.6619,0.7384,11.5576
TLRY,75,2025-02-05,114368673.0000,46538447.4500,2.4575,1.0700,1.0700,1.1300,1.0300,1.0600,-0.9346,5.6075,1.0400,1.0000,-3.8462,1.0100,0.9805,-2.9208
GOSS,75,2025-02-05,3079998.0000,927849.8500,3.3195,1.1500,1.1800,1.1900,1.0550,1.1100,-5.9322,0.8475,1.0800,1.0600,-1.8519,1.0500,1.1700,11.4286
ULCC,73,2025-02-07,5873184.0000,2455368.4500,2.3920,9.3400,9.6100,10.2600,9.0150,10.0600,4.6826,6.7638,10.0600,9.7300,-3.2803,9.5300,9.2500,-2.9381
LCID,69,2025-02-13,144898268.0000,75074876.1500,1.9301,3.2600,3.2950,3.4200,3.2700,3.3100,0.4552,3.7936,3.3050,3.4800,5.2950,3.4800,3.3700,-3.1609
GRAB,67,2025-02-18,111637010.0000,37255009.8500,2.9966,5.3000,5.3600,5.3700,5.1000,5.3400,-0.3731,0.1866,5.0800,4.7850,-5.8071,5.0100,4.9000,-2.1956
BYND,67,2025-02-18,8272577.0000,2955371.4000,2.7992,4.4000,4.5000,4.7400,4.2800,4.3200,-4.0000,5.3333,4.2500,4.0800,-4.0000,4.1700,4.0200,-3.5971
UNIT,65,2025-02-20,5042944.0000,1837505.4000,2.7445,5.4200,5.6900,5.9800,5.5600,5.6200,-1.2302,5.0967,5.9200,5.7700,-2.5338,5.7400,5.9000,2.7875
LESL,63,2025-02-24,38605942.0000,9180509.2000,4.2052,1.3200,1.3300,1.3600,1.2500,1.2600,-5.2632,2.2556,1.2500,1.1000,-12.0000,1.1200,1.0250,-8.4821
GERN,61,2025-02-26,93422748.0000,17741189.2500,5.2659,1.6100,1.6000,1.8200,1.5700,1.7400,8.7500,13.7500,1.7400,1.7600,1.1494,1.8400,1.7100,-7.0652
GEVO,101,2024-12-26,25960199.0000,4485917.3000,5.7870,2.0400,2.1000,2.2400,2.0300,2.1000,0.0000,6.6667,2.1300,2.1700,1.8779,2.1800,2.0900,-4.1284
REKR,99,2024-12-30,73426047.0000,5747551.7500,12.7752,1.8600,2.0400,2.0500,1.4200,1.5600,-23.5294,0.4902,1.6900,1.7400,2.9586,1.7900,1.8300,2.2346
JBLU,81,2025-01-28,124928632.0000,21897336.9000,5.7052,6.0100,6.0000,6.2600,5.7400,6.1000,1.6667,4.3333,6.0700,6.3200,4.1186,6.4300,6.5800,2.3328
