Equity,DrawdownPct,DrawdownDuration
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
100000.0,0.0,
