timestamp,open,high,low,close,volume
2025-09-02 09:30:00,3.74,3.79,3.6101,3.67,307254.0
2025-09-02 09:31:00,3.67,3.9186,3.67,3.9186,306305.0
2025-09-02 09:32:00,3.905,4.19,3.82,4.1894,593395.0
2025-09-02 09:33:00,4.1816,4.22,4.01,4.1858,579063.0
2025-09-02 09:34:00,4.19,4.29,3.92,4.1,821256.0
2025-09-02 09:35:00,4.06,4.07,3.78,3.8,535399.0
2025-09-02 09:36:00,3.8,3.93,3.56,3.6,506008.0
2025-09-02 09:37:00,3.58,3.74,3.52,3.65,399231.0
2025-09-02 09:38:00,3.66,3.75,3.62,3.72,145409.0
2025-09-02 09:39:00,3.72,3.75,3.66,3.6701,125911.0
2025-09-02 09:40:00,3.67,3.6899,3.44,3.53,343413.0
2025-09-02 09:41:00,3.5208,3.6,3.52,3.5842,110213.0
2025-09-02 09:42:00,3.58,3.6,3.51,3.5499,92759.0
2025-09-02 09:43:00,3.54,3.6,3.51,3.6,74975.0
2025-09-02 09:44:00,3.6,3.8,3.49,3.55,246939.0
2025-09-02 09:45:00,3.5301,3.56,3.41,3.4699,197273.0
2025-09-02 09:46:00,3.46,3.5,3.4318,3.48,103775.0
2025-09-02 09:47:00,3.48,3.5,3.41,3.43,63875.0
2025-09-02 09:48:00,3.42,3.49,3.41,3.4782,75281.0
2025-09-02 09:49:00,3.46,3.53,3.46,3.48,77108.0
2025-09-02 09:50:00,3.48,3.56,3.48,3.52,67809.0
2025-09-02 09:51:00,3.52,3.56,3.26,3.36,342887.0
2025-09-02 09:52:00,3.36,3.41,3.33,3.361,109233.0
2025-09-02 09:53:00,3.3601,3.42,3.32,3.34,90217.0
2025-09-02 09:54:00,3.34,3.4499,3.34,3.43,66209.0
2025-09-02 09:55:00,3.42,3.49,3.4,3.4724,44422.0
2025-09-02 09:56:00,3.47,3.49,3.4,3.42,46597.0
2025-09-02 09:57:00,3.41,3.47,3.4,3.468,39070.0
2025-09-02 09:58:00,3.46,3.47,3.42,3.45,31361.0
2025-09-02 09:59:00,3.44,3.47,3.42,3.47,58428.0
2025-09-02 10:00:00,3.46,3.64,3.46,3.62,177793.0
2025-09-02 10:01:00,3.615,3.65,3.54,3.635,134109.0
2025-09-02 10:02:00,3.635,3.74,3.56,3.5699,185573.0
2025-09-02 10:03:00,3.5611,3.59,3.5,3.5119,70249.0
2025-09-02 10:04:00,3.51,3.53,3.5,3.5208,63562.0
2025-09-02 10:05:00,3.5293,3.58,3.5111,3.58,35070.0
2025-09-02 10:06:00,3.5899,3.69,3.5704,3.6801,127467.0
2025-09-02 10:07:00,3.69,3.76,3.66,3.75,161920.0
2025-09-02 10:08:00,3.74,3.85,3.67,3.6999,166588.0
2025-09-02 10:09:00,3.7,3.7116,3.67,3.7,43754.0
2025-09-02 10:10:00,3.69,3.6902,3.5,3.6,124006.0
2025-09-02 10:11:00,3.5919,3.67,3.59,3.6516,55032.0
2025-09-02 10:12:00,3.66,3.7,3.63,3.6665,45629.0
2025-09-02 10:13:00,3.6601,3.75,3.65,3.72,61361.0
2025-09-02 10:14:00,3.73,3.75,3.69,3.7299,44177.0
2025-09-02 10:15:00,3.725,3.74,3.54,3.6,88095.0
2025-09-02 10:16:00,3.63,3.71,3.61,3.64,36043.0
2025-09-02 10:17:00,3.63,3.66,3.54,3.57,49112.0
2025-09-02 10:18:00,3.56,3.6,3.53,3.57,46595.0
2025-09-02 10:19:00,3.53,3.56,3.51,3.5442,38910.0
2025-09-02 10:20:00,3.54,3.57,3.39,3.46,88081.0
2025-09-02 10:21:00,3.47,3.56,3.45,3.52,32653.0
2025-09-02 10:22:00,3.52,3.54,3.5,3.5201,30651.0
2025-09-02 10:23:00,3.5399,3.5399,3.52,3.5224,8698.0
2025-09-02 10:24:00,3.52,3.54,3.5,3.5,25924.0
2025-09-02 10:25:00,3.5,3.55,3.49,3.5183,17628.0
2025-09-02 10:26:00,3.51,3.58,3.51,3.56,24094.0
2025-09-02 10:27:00,3.58,3.5999,3.54,3.58,16068.0
2025-09-02 10:28:00,3.59,3.65,3.5774,3.6409,65855.0
2025-09-02 10:29:00,3.642,3.7,3.6201,3.6599,58100.0
2025-09-02 10:30:00,3.65,3.6909,3.65,3.6909,30292.0
2025-09-02 10:31:00,3.7,3.75,3.68,3.69,94677.0
2025-09-02 10:32:00,3.69,3.7299,3.56,3.64,77142.0
2025-09-02 10:33:00,3.6292,3.645,3.6,3.63,17014.0
2025-09-02 10:34:00,3.62,3.6387,3.6,3.62,14261.0
2025-09-02 10:35:00,3.62,3.7,3.6,3.665,33967.0
2025-09-02 10:36:00,3.6887,3.6887,3.63,3.63,16492.0
2025-09-02 10:37:00,3.6319,3.69,3.6319,3.6816,40440.0
2025-09-02 10:38:00,3.68,3.72,3.675,3.695,34122.0
2025-09-02 10:39:00,3.6998,3.8,3.6,3.76,174468.0
2025-09-02 10:40:00,3.7401,3.7752,3.61,3.66,84872.0
2025-09-02 10:41:00,3.66,3.73,3.64,3.7299,32711.0
2025-09-02 10:42:00,3.7109,3.72,3.69,3.71,12934.0
2025-09-02 10:43:00,3.7,3.84,3.69,3.79,121425.0
2025-09-02 10:44:00,3.8099,3.9,3.7992,3.8442,180843.0
2025-09-02 10:45:00,3.85,3.88,3.68,3.78,148922.0
2025-09-02 10:46:00,3.78,3.8,3.73,3.7999,60593.0
2025-09-02 10:47:00,3.7991,3.86,3.69,3.77,96677.0
2025-09-02 10:48:00,3.74,3.74,3.67,3.7,59877.0
2025-09-02 10:49:00,3.7,3.74,3.51,3.59,125047.0
2025-09-02 10:50:00,3.59,3.62,3.56,3.591,63138.0
2025-09-02 10:51:00,3.5999,3.65,3.5601,3.63,24332.0
2025-09-02 10:52:00,3.65,3.68,3.64,3.652,26408.0
2025-09-02 10:53:00,3.655,3.7398,3.65,3.7282,38997.0
2025-09-02 10:54:00,3.72,3.84,3.68,3.71,102286.0
2025-09-02 10:55:00,3.71,3.7188,3.66,3.7089,35038.0
2025-09-02 10:56:00,3.68,3.7097,3.6606,3.6909,14338.0
2025-09-02 10:57:00,3.69,3.69,3.66,3.69,10525.0
2025-09-02 10:58:00,3.6624,3.7297,3.6624,3.7,10946.0
2025-09-02 10:59:00,3.7007,3.71,3.61,3.6708,31719.0
2025-09-02 11:00:00,3.67,3.6793,3.6,3.63,36736.0
2025-09-02 11:01:00,3.64,3.6784,3.62,3.655,10240.0
2025-09-02 11:02:00,3.6491,3.6666,3.64,3.6666,8912.0
2025-09-02 11:03:00,3.66,3.6691,3.64,3.6403,9233.0
2025-09-02 11:04:00,3.67,3.67,3.64,3.6402,10141.0
2025-09-02 11:05:00,3.65,3.66,3.6,3.63,23121.0
2025-09-02 11:06:00,3.62,3.63,3.61,3.6199,22649.0
2025-09-02 11:07:00,3.61,3.63,3.6,3.615,16359.0
2025-09-02 11:08:00,3.61,3.62,3.53,3.56,42251.0
2025-09-02 11:09:00,3.57,3.59,3.5,3.5399,47139.0
2025-09-02 11:10:00,3.55,3.6,3.5401,3.5635,13143.0
2025-09-02 11:11:00,3.58,3.6,3.57,3.5899,7386.0
2025-09-02 11:12:00,3.58,3.6,3.55,3.58,19491.0
