symbol,date,open,high,low,close,volume,adjclose,dividends,splits
METCB,2025-01-02,9.772501945495605,9.861522674560547,9.426310539245605,9.653807640075684,25780,9.219844818115234,0.0,0.0
METCB,2025-01-03,9.460929870605469,9.717111587524414,9.277942657470703,9.574679374694824,31948,9.144274711608887,0.0,0.0
METCB,2025-01-06,9.66369915008545,9.841740608215332,9.485657691955566,9.634025573730469,28712,9.200952529907227,0.0,0.0
METCB,2025-01-07,9.703264236450195,9.717111587524414,9.386746406555176,9.455984115600586,31948,9.030914306640625,0.0,0.0
METCB,2025-01-08,9.505439758300781,9.794262886047363,9.34718132019043,9.366963386535645,23152,8.945895195007324,0.0,0.0
METCB,2025-01-10,9.396636962890625,9.396636962890625,8.921859741210938,8.941641807556152,34677,8.539692878723145,0.0,0.0
METCB,2025-01-13,9.10979175567627,9.418397903442383,8.733926773071289,9.258159637451172,65108,8.8419828414917,0.0,0.0
METCB,2025-01-14,9.386746406555176,9.386746406555176,8.842729568481445,9.030662536621094,42361,8.624711990356445,0.0,0.0
METCB,2025-01-15,9.149356842041016,9.327399253845215,9.10979175567627,9.307616233825684,15772,8.889216423034668,0.0,0.0
METCB,2025-01-16,9.34718132019043,9.34718132019043,8.97131633758545,8.97131633758545,22545,8.568034172058105,0.0,0.0
METCB,2025-01-17,9.16913890838623,9.238377571105957,8.97131633758545,9.010880470275879,26893,8.605818748474121,0.0,0.0
METCB,2025-01-21,9.16913890838623,9.574679374694824,9.030662536621094,9.564786911010742,37710,9.13482666015625,0.0,0.0
METCB,2025-01-22,9.327399253845215,9.604351997375488,9.050444602966309,9.050444602966309,21332,8.64360523223877,0.0,0.0
METCB,2025-01-23,9.000988960266113,9.159248352050781,9.000988960266113,9.10979175567627,27095,8.700284957885742,0.0,0.0
METCB,2025-01-24,9.149356842041016,9.230464935302734,9.020771980285645,9.10979175567627,18299,8.700284957885742,0.0,0.0
METCB,2025-01-27,9.070226669311523,9.1295747756958,8.911968231201172,8.97131633758545,12739,8.568034172058105,0.0,0.0
METCB,2025-01-28,9.04055404663086,9.119683265686035,8.902076721191406,8.941641807556152,8290,8.539692878723145,0.0,0.0
METCB,2025-01-29,8.918891906738281,9.0435209274292,8.813055992126465,8.852621078491211,23556,8.454673767089844,0.0,0.0
METCB,2025-01-30,8.941641807556152,8.991098403930664,8.842729568481445,8.852621078491211,13446,8.454673767089844,0.0,0.0
METCB,2025-01-31,8.892186164855957,8.923837661743164,8.644906044006348,8.714143753051758,20928,8.32242202758789,0.0,0.0
METCB,2025-02-03,8.585558891296387,8.916913986206055,8.585558891296387,8.803165435791016,27701,8.407442092895508,0.0,0.0
METCB,2025-02-04,8.892186164855957,9.149356842041016,8.818001747131348,9.060336112976074,35891,8.65305233001709,0.0,0.0
METCB,2025-02-05,8.916913986206055,9.238377571105957,8.916913986206055,9.228487014770508,21029,8.813643455505371,0.0,0.0
METCB,2025-02-06,9.238377571105957,9.268051147460938,9.060336112976074,9.1295747756958,24972,8.719178199768066,0.0,0.0
METCB,2025-02-07,9.198813438415527,9.198813438415527,8.93372917175293,9.010880470275879,10009,8.605818748474121,0.0,0.0
METCB,2025-02-10,8.961423873901367,9.20375919342041,8.947577476501465,9.090009689331055,25882,8.681391716003418,0.0,0.0
METCB,2025-02-11,9.080119132995605,9.188921928405762,8.941641807556152,9.04055404663086,20827,8.634159088134766,0.0,0.0
METCB,2025-02-12,8.911968231201172,8.991098403930664,8.832839012145996,8.832839012145996,16580,8.435781478881836,0.0,0.0
METCB,2025-02-13,8.822948455810547,9.337289810180664,8.822948455810547,9.337289810180664,16277,8.917556762695312,0.0,0.0
METCB,2025-02-14,9.258159637451172,9.258159637451172,9.034619331359863,9.04055404663086,20523,8.634159088134766,0.0,0.0
METCB,2025-02-18,8.981206893920898,8.981206893920898,8.86251163482666,8.872404098510742,39429,8.473567962646484,0.0,0.0
METCB,2025-02-19,8.813055992126465,8.976261138916016,8.743818283081055,8.892186164855957,54190,8.492461204528809,0.0,0.0
METCB,2025-02-20,8.99703311920166,9.228487014770508,8.86745834350586,9.218594551086426,26791,8.80419635772705,0.0,0.0
METCB,2025-02-21,9.307616233825684,9.307616233825684,8.753708839416504,8.813055992126465,71276,8.416887283325195,0.0,0.0
METCB,2025-02-24,8.813055992126465,9.000988960266113,8.770524024963379,8.902076721191406,22747,8.501906394958496,0.0,0.0
METCB,2025-02-25,8.921859741210938,9.139466285705566,8.773491859436035,8.951533317565918,34374,8.549139976501465,0.0,0.0
METCB,2025-02-26,8.981206893920898,9.188921928405762,8.892186164855957,9.09990119934082,43271,8.690837860107422,0.0,0.0
METCB,2025-02-27,9.09990119934082,9.228487014770508,8.822948455810547,8.872404098510742,21534,8.473567962646484,0.0,0.0
METCB,2025-02-28,8.644906044006348,8.842729568481445,8.466863632202148,8.753708839416504,52673,8.54793930053711,0.194857,0.0
