symbol,date,open,high,low,close,volume,adjclose
NOTV,2025-01-02,4.210000038146973,4.480000019073486,4.050000190734863,4.190000057220459,428500,4.190000057220459
NOTV,2025-01-03,4.25,5.139999866485596,4.210000038146973,5.03000020980835,1003200,5.03000020980835
NOTV,2025-01-06,5.179999828338623,5.670000076293945,5.010000228881836,5.400000095367432,1131500,5.400000095367432
NOTV,2025-01-07,5.53000020980835,5.659999847412109,4.940000057220459,5.059999942779541,686500,5.059999942779541
NOTV,2025-01-08,4.960000038146973,4.96999979019165,4.170000076293945,4.53000020980835,1253500,4.53000020980835
NOTV,2025-01-10,4.409999847412109,4.659999847412109,4.25,4.369999885559082,422300,4.369999885559082
NOTV,2025-01-13,4.230000019073486,4.420000076293945,4.059999942779541,4.21999979019165,458500,4.21999979019165
NOTV,2025-01-14,4.429999828338623,4.429999828338623,3.9800000190734863,4.21999979019165,860300,4.21999979019165
NOTV,2025-01-15,4.550000190734863,4.670000076293945,4.179999828338623,4.260000228881836,492900,4.260000228881836
NOTV,2025-01-16,4.119999885559082,4.340000152587891,3.869999885559082,4.320000171661377,1395500,4.320000171661377
NOTV,2025-01-17,4.420000076293945,4.539999961853027,4.21999979019165,4.269999980926514,328200,4.269999980926514
NOTV,2025-01-21,4.349999904632568,4.610000133514404,4.210000038146973,4.559999942779541,336600,4.559999942779541
NOTV,2025-01-22,4.559999942779541,4.590000152587891,4.28000020980835,4.409999847412109,310200,4.409999847412109
NOTV,2025-01-23,4.409999847412109,4.5,4.230000019073486,4.489999771118164,342100,4.489999771118164
NOTV,2025-01-24,4.440000057220459,4.5,4.099999904632568,4.199999809265137,384500,4.199999809265137
NOTV,2025-01-27,4.239999771118164,4.800000190734863,4.119999885559082,4.440000057220459,815300,4.440000057220459
NOTV,2025-01-28,4.510000228881836,4.599999904632568,4.340000152587891,4.570000171661377,201100,4.570000171661377
NOTV,2025-01-29,4.510000228881836,4.690000057220459,4.269999980926514,4.389999866485596,407900,4.389999866485596
NOTV,2025-01-30,4.480000019073486,4.539999961853027,4.360000133514404,4.460000038146973,291200,4.460000038146973
NOTV,2025-01-31,4.46999979019165,4.5,4.070000171661377,4.28000020980835,453100,4.28000020980835
NOTV,2025-02-03,4.039999961853027,4.510000228881836,4.039999961853027,4.429999828338623,471600,4.429999828338623
NOTV,2025-02-04,4.5,4.800000190734863,4.320000171661377,4.5,1029600,4.5
NOTV,2025-02-05,4.5,4.5,4.090000152587891,4.179999828338623,813400,4.179999828338623
NOTV,2025-02-06,4.349999904632568,4.349999904632568,3.859999895095825,3.9200000762939453,1700800,3.9200000762939453
NOTV,2025-02-07,3.9100000858306885,3.950000047683716,3.5,3.509999990463257,1096800,3.509999990463257
NOTV,2025-02-10,3.7899999618530273,4.239999771118164,3.7300000190734863,4.099999904632568,1293200,4.099999904632568
NOTV,2025-02-11,4.110000133514404,4.110000133514404,3.7100000381469727,3.809999942779541,790100,3.809999942779541
NOTV,2025-02-12,3.75,3.880000114440918,3.6700000762939453,3.740000009536743,514500,3.740000009536743
NOTV,2025-02-13,3.8399999141693115,3.8399999141693115,3.5799999237060547,3.740000009536743,521000,3.740000009536743
NOTV,2025-02-14,3.7100000381469727,3.9200000762939453,3.680000066757202,3.7799999713897705,612900,3.7799999713897705
NOTV,2025-02-18,3.8499999046325684,4.059999942779541,3.7699999809265137,3.8399999141693115,529900,3.8399999141693115
NOTV,2025-02-19,3.799999952316284,4.070000171661377,3.5799999237060547,3.9000000953674316,697200,3.9000000953674316
NOTV,2025-02-20,3.9000000953674316,4.510000228881836,3.9000000953674316,4.25,884500,4.25
NOTV,2025-02-21,4.25,4.400000095367432,3.9000000953674316,4.059999942779541,521700,4.059999942779541
NOTV,2025-02-24,4.099999904632568,4.289999961853027,3.740000009536743,4.050000190734863,710700,4.050000190734863
NOTV,2025-02-25,4.03000020980835,4.150000095367432,3.619999885559082,3.7799999713897705,527900,3.7799999713897705
NOTV,2025-02-26,3.7899999618530273,3.9800000190734863,3.7799999713897705,3.819999933242798,244500,3.819999933242798
