symbol,date,open,high,low,close,volume,adjclose,dividends
JOUT,2025-01-02,33.38999938964844,34.04999923706055,32.68000030517578,32.81999969482422,50100,31.727231979370117,0.0
JOUT,2025-01-03,32.81999969482422,34.290000915527344,32.2400016784668,34.25,67200,33.109619140625,0.0
JOUT,2025-01-06,34.650001525878906,35.72999954223633,34.650001525878906,35.599998474121094,41500,34.41466522216797,0.0
JOUT,2025-01-07,35.70000076293945,36.0,34.66999816894531,34.97999954223633,52200,33.815311431884766,0.0
JOUT,2025-01-08,34.900001525878906,34.900001525878906,33.13999938964844,34.36000061035156,37000,33.21595764160156,0.0
JOUT,2025-01-10,33.58000183105469,33.58000183105469,32.54999923706055,33.220001220703125,29500,32.42533493041992,0.33
JOUT,2025-01-13,32.959999084472656,33.47999954223633,32.20000076293945,32.939998626708984,31500,32.15203094482422,0.0
JOUT,2025-01-14,33.349998474121094,33.47999954223633,32.5099983215332,33.18000030517578,30300,32.38629150390625,0.0
JOUT,2025-01-15,33.75,33.75,33.189998626708984,33.59000015258789,21400,32.78648376464844,0.0
JOUT,2025-01-16,33.599998474121094,33.7400016784668,32.38999938964844,33.36000061035156,47000,32.561988830566406,0.0
JOUT,2025-01-17,33.43000030517578,33.5,32.150001525878906,32.959999084472656,56300,32.17155456542969,0.0
JOUT,2025-01-21,33.5,33.90999984741211,32.77000045776367,33.7599983215332,43900,32.952415466308594,0.0
JOUT,2025-01-22,33.900001525878906,33.900001525878906,33.06999969482422,33.2599983215332,38300,32.46437454223633,0.0
JOUT,2025-01-23,32.970001220703125,33.22999954223633,32.400001525878906,33.15999984741211,37500,32.36676788330078,0.0
JOUT,2025-01-24,33.15999984741211,33.43000030517578,32.70000076293945,32.91999816894531,25200,32.13250732421875,0.0
JOUT,2025-01-27,32.93000030517578,34.279998779296875,32.880001068115234,33.900001525878906,40000,33.08906936645508,0.0
JOUT,2025-01-28,33.90999984741211,33.90999984741211,32.209999084472656,32.38999938964844,33900,31.615188598632812,0.0
JOUT,2025-01-29,32.15999984741211,32.84000015258789,32.119998931884766,32.380001068115234,36600,31.60542869567871,0.0
JOUT,2025-01-30,32.79999923706055,33.16999816894531,32.7599983215332,32.93000030517578,22900,32.14227294921875,0.0
JOUT,2025-01-31,33.189998626708984,33.189998626708984,32.11000061035156,32.400001525878906,32800,31.624950408935547,0.0
JOUT,2025-02-03,30.799999237060547,32.0,29.3700008392334,29.489999771118164,132500,28.784561157226562,0.0
JOUT,2025-02-04,29.360000610351562,29.760000228881836,28.190000534057617,28.799999237060547,92000,28.111066818237305,0.0
JOUT,2025-02-05,28.809999465942383,29.559999465942383,28.149999618530273,28.700000762939453,95200,28.013460159301758,0.0
JOUT,2025-02-06,29.079999923706055,29.540000915527344,28.799999237060547,29.420000076293945,62300,28.71623420715332,0.0
JOUT,2025-02-07,29.43000030517578,29.579999923706055,28.920000076293945,28.950000762939453,56500,28.257478713989258,0.0
JOUT,2025-02-10,29.149999618530273,29.489999771118164,28.809999465942383,29.270000457763672,43800,28.569822311401367,0.0
JOUT,2025-02-11,29.209999084472656,29.559999465942383,29.09000015258789,29.1299991607666,54900,28.433170318603516,0.0
JOUT,2025-02-12,28.649999618530273,29.110000610351562,28.489999771118164,28.969999313354492,32900,28.277000427246094,0.0
JOUT,2025-02-13,29.09000015258789,29.739999771118164,28.799999237060547,29.719999313354492,56100,29.009057998657227,0.0
JOUT,2025-02-14,29.719999313354492,30.25,29.639999389648438,30.229999542236328,22500,29.506858825683594,0.0
JOUT,2025-02-18,30.280000686645508,30.59000015258789,29.809999465942383,29.809999465942383,34900,29.096904754638672,0.0
JOUT,2025-02-19,30.229999542236328,30.229999542236328,28.979999542236328,28.979999542236328,30100,28.286760330200195,0.0
JOUT,2025-02-20,28.8799991607666,28.8799991607666,28.1299991607666,28.350000381469727,42100,27.671831130981445,0.0
JOUT,2025-02-21,28.65999984741211,29.0,27.81999969482422,27.850000381469727,42400,27.183792114257812,0.0
JOUT,2025-02-24,28.100000381469727,28.100000381469727,27.299999237060547,27.540000915527344,34100,26.881208419799805,0.0
JOUT,2025-02-25,27.540000915527344,28.40999984741211,27.40999984741211,28.200000762939453,28700,27.525419235229492,0.0
JOUT,2025-02-26,28.459999084472656,28.459999084472656,27.239999771118164,27.520000457763672,42200,26.861684799194336,0.0
JOUT,2025-02-27,27.290000915527344,27.5,27.100000381469727,27.270000457763672,33800,26.617666244506836,0.0
JOUT,2025-02-28,27.290000915527344,27.469999313354492,26.6200008392334,26.899999618530273,47200,26.25651741027832,0.0
JOUT,2025-03-03,26.940000534057617,27.06999969482422,25.950000762939453,25.950000762939453,74900,25.329242706298828,0.0
JOUT,2025-03-04,25.579999923706055,26.170000076293945,25.18000030517578,25.829999923706055,61700,25.212112426757812,0.0
JOUT,2025-03-05,25.989999771118164,26.450000762939453,25.329999923706055,25.829999923706055,51800,25.212112426757812,0.0
JOUT,2025-03-06,25.5,27.190000534057617,25.420000076293945,26.979999542236328,105400,26.33460235595703,0.0
JOUT,2025-03-07,27.3799991607666,27.940000534057617,26.3700008392334,27.200000762939453,77700,26.549341201782227,0.0
JOUT,2025-03-10,27.100000381469727,27.530000686645508,26.3700008392334,26.43000030517578,64600,25.797760009765625,0.0
JOUT,2025-03-11,26.43000030517578,27.06999969482422,25.610000610351562,25.799999237060547,49400,25.182828903198242,0.0
JOUT,2025-03-12,26.219999313354492,26.979999542236328,25.170000076293945,25.780000686645508,43000,25.16330909729004,0.0
JOUT,2025-03-13,25.81999969482422,25.81999969482422,24.860000610351562,24.860000610351562,27600,24.265317916870117,0.0
JOUT,2025-03-14,24.950000762939453,25.149999618530273,24.739999771118164,25.049999237060547,50300,24.45077133178711,0.0
JOUT,2025-03-17,24.920000076293945,25.770000457763672,24.920000076293945,25.229999542236328,52500,24.62646484375,0.0
JOUT,2025-03-18,25.149999618530273,25.329999923706055,24.8799991607666,25.200000762939453,71400,24.597183227539062,0.0
JOUT,2025-03-19,25.440000534057617,25.739999771118164,25.229999542236328,25.360000610351562,44100,24.753355026245117,0.0
JOUT,2025-03-20,25.200000762939453,25.739999771118164,24.559999465942383,24.770000457763672,61700,24.177471160888672,0.0
JOUT,2025-03-21,24.540000915527344,25.059999465942383,24.15999984741211,24.790000915527344,114100,24.196992874145508,0.0
