symbol,date,open,high,low,close,volume,adjclose
CXDO,2025-01-02,5.260000228881836,5.650000095367432,5.210999965667725,5.53000020980835,160100,5.53000020980835
CXDO,2025-01-03,5.599999904632568,5.800000190734863,5.53000020980835,5.760000228881836,184500,5.760000228881836
CXDO,2025-01-06,5.860000133514404,6.010000228881836,5.73199987411499,5.809999942779541,195100,5.809999942779541
CXDO,2025-01-07,5.889999866485596,5.889999866485596,5.539999961853027,5.699999809265137,111800,5.699999809265137
CXDO,2025-01-08,5.670000076293945,5.670000076293945,5.199999809265137,5.380000114440918,151400,5.380000114440918
CXDO,2025-01-10,5.309999942779541,5.320000171661377,5.081999778747559,5.269999980926514,145100,5.269999980926514
CXDO,2025-01-13,5.159999847412109,5.199999809265137,5.070000171661377,5.130000114440918,88300,5.130000114440918
CXDO,2025-01-14,5.199999809265137,5.315999984741211,5.050000190734863,5.170000076293945,138900,5.170000076293945
CXDO,2025-01-15,5.179999828338623,5.5,5.179999828338623,5.329999923706055,100500,5.329999923706055
CXDO,2025-01-16,5.369999885559082,5.400000095367432,5.260000228881836,5.300000190734863,44900,5.300000190734863
CXDO,2025-01-17,5.400000095367432,5.449999809265137,5.28000020980835,5.349999904632568,99000,5.349999904632568
CXDO,2025-01-21,5.460000038146973,5.635000228881836,5.400000095367432,5.559999942779541,121300,5.559999942779541
CXDO,2025-01-22,5.610000133514404,5.730000019073486,5.505000114440918,5.650000095367432,135300,5.650000095367432
CXDO,2025-01-23,5.650000095367432,5.800000190734863,5.579999923706055,5.769999980926514,62900,5.769999980926514
CXDO,2025-01-24,5.769999980926514,5.940000057220459,5.630000114440918,5.670000076293945,129900,5.670000076293945
CXDO,2025-01-27,5.489999771118164,5.699999809265137,5.409999847412109,5.579999923706055,151600,5.579999923706055
CXDO,2025-01-28,5.619999885559082,5.889999866485596,5.460000038146973,5.889999866485596,136100,5.889999866485596
CXDO,2025-01-29,5.900000095367432,6.0,5.730000019073486,5.840000152587891,155900,5.840000152587891
CXDO,2025-01-30,5.900000095367432,6.0,5.71999979019165,5.760000228881836,122600,5.760000228881836
CXDO,2025-01-31,5.769999980926514,5.789999961853027,5.576000213623047,5.769999980926514,125400,5.769999980926514
CXDO,2025-02-03,5.599999904632568,5.849999904632568,5.508999824523926,5.730000019073486,154400,5.730000019073486
CXDO,2025-02-04,5.760000228881836,6.0,5.699999809265137,5.989999771118164,119600,5.989999771118164
CXDO,2025-02-05,6.0,6.010000228881836,5.880000114440918,5.989999771118164,96300,5.989999771118164
CXDO,2025-02-06,5.954999923706055,6.0,5.889999866485596,5.980000019073486,115900,5.980000019073486
