symbol,date,open,high,low,close,volume,adjclose,splits
EKSO,2025-01-02,9.300000190734863,9.84000015258789,9.149999618530273,9.345000267028809,13027,9.345000267028809,0.0
EKSO,2025-01-03,9.449999809265137,12.149999618530273,9.449999809265137,10.949999809265137,190047,10.949999809265137,0.0
EKSO,2025-01-06,14.970000267028809,14.970000267028809,10.364999771118164,11.550000190734863,2668007,11.550000190734863,0.0
EKSO,2025-01-07,12.0,14.324999809265137,11.25,12.449999809265137,347133,12.449999809265137,0.0
EKSO,2025-01-08,12.75,12.899999618530273,10.5,10.5,170227,10.5,0.0
EKSO,2025-01-10,10.454999923706055,12.345000267028809,9.75,11.835000038146973,90653,11.835000038146973,0.0
EKSO,2025-01-13,11.699999809265137,11.699999809265137,10.350000381469727,10.680000305175781,71040,10.680000305175781,0.0
EKSO,2025-01-14,11.039999961853027,11.100000381469727,10.050000190734863,10.40999984741211,43840,10.40999984741211,0.0
EKSO,2025-01-15,10.470000267028809,10.949999809265137,9.3149995803833,9.75,59507,9.75,0.0
EKSO,2025-01-16,9.375,10.425000190734863,9.375,10.364999771118164,32660,10.364999771118164,0.0
EKSO,2025-01-17,10.125,10.454999923706055,9.585000038146973,9.779999732971191,40273,9.779999732971191,0.0
EKSO,2025-01-21,9.704999923706055,9.75,8.71500015258789,9.494999885559082,73167,9.494999885559082,0.0
EKSO,2025-01-22,9.449999809265137,10.350000381469727,9.449999809265137,9.645000457763672,19827,9.645000457763672,0.0
EKSO,2025-01-23,9.449999809265137,10.050000190734863,9.28499984741211,9.734999656677246,32047,9.734999656677246,0.0
EKSO,2025-01-24,9.734999656677246,9.989999771118164,9.449999809265137,9.65999984741211,14127,9.65999984741211,0.0
EKSO,2025-01-27,9.600000381469727,10.0649995803833,9.149999618530273,9.404999732971191,21340,9.404999732971191,0.0
EKSO,2025-01-28,9.149999618530273,10.050000190734863,8.789999961853027,9.614999771118164,52353,9.614999771118164,0.0
EKSO,2025-01-29,9.149999618530273,9.449999809265137,8.895000457763672,9.300000190734863,18940,9.300000190734863,0.0
EKSO,2025-01-30,9.300000190734863,9.449999809265137,8.579999923706055,8.6850004196167,32453,8.6850004196167,0.0
EKSO,2025-01-31,8.699999809265137,9.149999618530273,7.949999809265137,8.069999694824219,36700,8.069999694824219,0.0
EKSO,2025-02-03,7.800000190734863,7.949999809265137,7.065000057220459,7.875,47320,7.875,0.0
EKSO,2025-02-04,8.25,8.550000190734863,7.949999809265137,8.25,19307,8.25,0.0
EKSO,2025-02-05,8.25,8.53499984741211,7.965000152587891,8.25,14727,8.25,0.0
EKSO,2025-02-06,8.399999618530273,8.399999618530273,7.800000190734863,8.114999771118164,11600,8.114999771118164,0.0
EKSO,2025-02-07,7.949999809265137,8.204999923706055,7.559999942779541,7.875,15947,7.875,0.0
EKSO,2025-02-10,7.934999942779541,8.6850004196167,7.514999866485596,8.625,27353,8.625,0.0
EKSO,2025-02-11,8.699999809265137,9.0,8.100000381469727,8.640000343322754,17680,8.640000343322754,0.0
EKSO,2025-02-12,8.444999694824219,8.550000190734863,8.114999771118164,8.324999809265137,9487,8.324999809265137,0.0
EKSO,2025-02-13,8.399999618530273,8.625,8.114999771118164,8.609999656677246,12893,8.609999656677246,0.0
EKSO,2025-02-14,8.550000190734863,9.09000015258789,8.279999732971191,8.550000190734863,15533,8.550000190734863,0.0
EKSO,2025-02-18,8.850000381469727,9.0,8.699999809265137,8.925000190734863,34747,8.925000190734863,0.0
EKSO,2025-02-19,9.0,9.0,8.595000267028809,8.850000381469727,5920,8.850000381469727,0.0
EKSO,2025-02-20,8.579999923706055,8.699999809265137,8.265000343322754,8.414999961853027,9700,8.414999961853027,0.0
EKSO,2025-02-21,8.625,8.625,8.100000381469727,8.220000267028809,6407,8.220000267028809,0.0
EKSO,2025-02-24,8.25,8.25,7.664999961853027,7.994999885559082,13260,7.994999885559082,0.0
EKSO,2025-02-25,7.934999942779541,7.934999942779541,7.5,7.710000038146973,12387,7.710000038146973,0.0
EKSO,2025-02-26,8.085000038146973,8.25,7.875,7.949999809265137,7587,7.949999809265137,0.0
EKSO,2025-02-27,8.460000038146973,8.460000038146973,7.710000038146973,7.755000114440918,8860,7.755000114440918,0.0
EKSO,2025-02-28,7.800000190734863,7.949999809265137,7.545000076293945,7.875,6833,7.875,0.0
EKSO,2025-03-03,7.949999809265137,8.25,7.215000152587891,7.230000019073486,18900,7.230000019073486,0.0
EKSO,2025-03-04,7.050000190734863,7.275000095367432,5.534999847412109,7.139999866485596,30187,7.139999866485596,0.0
EKSO,2025-03-05,7.079999923706055,7.349999904632568,6.449999809265137,6.570000171661377,20973,6.570000171661377,0.0
EKSO,2025-03-06,6.449999809265137,6.449999809265137,5.894999980926514,6.045000076293945,34500,6.045000076293945,0.0
EKSO,2025-03-07,5.985000133514404,6.090000152587891,5.775000095367432,5.789999961853027,22187,5.789999961853027,0.0
EKSO,2025-03-10,5.804999828338623,5.804999828338623,5.159999847412109,5.25,31153,5.25,0.0
EKSO,2025-03-11,5.25,5.699999809265137,5.25,5.699999809265137,24020,5.699999809265137,0.0
EKSO,2025-03-12,5.730000019073486,6.105000019073486,5.730000019073486,6.074999809265137,17047,6.074999809265137,0.0
EKSO,2025-03-13,6.0,7.139999866485596,5.925000190734863,6.900000095367432,25667,6.900000095367432,0.0
EKSO,2025-03-14,6.690000057220459,6.690000057220459,6.150000095367432,6.360000133514404,13167,6.360000133514404,0.0
EKSO,2025-03-17,6.494999885559082,7.050000190734863,6.449999809265137,6.465000152587891,12207,6.465000152587891,0.0
EKSO,2025-03-18,6.300000190734863,6.614999771118164,6.300000190734863,6.449999809265137,2300,6.449999809265137,0.0
EKSO,2025-03-19,6.974999904632568,6.974999904632568,6.449999809265137,6.735000133514404,11700,6.735000133514404,0.0
EKSO,2025-03-20,6.75,7.050000190734863,6.195000171661377,6.75,5647,6.75,0.0
EKSO,2025-03-21,6.75,7.5,6.675000190734863,7.5,10780,7.5,0.0
EKSO,2025-03-24,7.5,7.5,7.034999847412109,7.335000038146973,8740,7.335000038146973,0.0
EKSO,2025-03-25,7.275000095367432,7.349999904632568,6.300000190734863,6.78000020980835,22367,6.78000020980835,0.0
EKSO,2025-03-26,6.75,6.824999809265137,6.510000228881836,6.735000133514404,4313,6.735000133514404,0.0
EKSO,2025-03-27,6.78000020980835,6.78000020980835,6.375,6.585000038146973,2847,6.585000038146973,0.0
EKSO,2025-03-28,6.599999904632568,6.75,6.164999961853027,6.554999828338623,5820,6.554999828338623,0.0
EKSO,2025-03-31,6.554999828338623,6.599999904632568,6.0,6.045000076293945,10133,6.045000076293945,0.0
EKSO,2025-04-01,6.03000020980835,6.449999809265137,6.0,6.090000152587891,2167,6.090000152587891,0.0
EKSO,2025-04-02,6.0,6.525000095367432,5.985000133514404,6.224999904632568,5967,6.224999904632568,0.0
EKSO,2025-04-03,6.150000095367432,6.824999809265137,6.014999866485596,6.284999847412109,8660,6.284999847412109,0.0
EKSO,2025-04-04,6.119999885559082,6.269999980926514,5.65500020980835,5.670000076293945,12820,5.670000076293945,0.0
EKSO,2025-04-07,5.460000038146973,6.0,5.159999847412109,5.804999828338623,17453,5.804999828338623,0.0
EKSO,2025-04-08,5.894999980926514,6.150000095367432,5.474999904632568,5.670000076293945,3013,5.670000076293945,0.0
EKSO,2025-04-09,5.699999809265137,6.0,5.264999866485596,5.954999923706055,11220,5.954999923706055,0.0
EKSO,2025-04-10,6.105000019073486,6.105000019073486,5.400000095367432,5.414999961853027,3153,5.414999961853027,0.0
EKSO,2025-04-11,5.59499979019165,5.985000133514404,5.25,5.474999904632568,12193,5.474999904632568,0.0
EKSO,2025-04-14,5.309999942779541,5.699999809265137,5.28000020980835,5.670000076293945,5713,5.670000076293945,0.0
EKSO,2025-04-15,5.849999904632568,6.150000095367432,5.699999809265137,5.954999923706055,7107,5.954999923706055,0.0
EKSO,2025-04-16,5.849999904632568,6.300000190734863,5.699999809265137,6.210000038146973,4753,6.210000038146973,0.0
EKSO,2025-04-17,6.300000190734863,6.300000190734863,5.985000133514404,6.179999828338623,2267,6.179999828338623,0.0
EKSO,2025-04-21,6.300000190734863,6.434999942779541,6.014999866485596,6.119999885559082,4553,6.119999885559082,0.0
EKSO,2025-04-22,6.300000190734863,6.449999809265137,5.775000095367432,6.045000076293945,7060,6.045000076293945,0.0
EKSO,2025-04-23,6.300000190734863,6.389999866485596,5.925000190734863,6.300000190734863,5220,6.300000190734863,0.0
EKSO,2025-04-24,6.224999904632568,6.690000057220459,5.925000190734863,6.449999809265137,9040,6.449999809265137,0.0
EKSO,2025-04-25,6.494999885559082,6.75,6.375,6.630000114440918,5127,6.630000114440918,0.0
EKSO,2025-04-28,6.630000114440918,7.695000171661377,6.630000114440918,7.619999885559082,40427,7.619999885559082,0.0
EKSO,2025-04-29,7.679999828338623,7.695000171661377,7.199999809265137,7.364999771118164,9767,7.364999771118164,0.0
EKSO,2025-04-30,7.050000190734863,7.5,6.840000152587891,7.110000133514404,9627,7.110000133514404,0.0
EKSO,2025-05-01,7.050000190734863,7.5,6.974999904632568,7.260000228881836,5213,7.260000228881836,0.0
EKSO,2025-05-02,7.5,7.5,7.125,7.244999885559082,4607,7.244999885559082,0.0
EKSO,2025-05-05,7.454999923706055,7.46999979019165,6.735000133514404,7.139999866485596,14007,7.139999866485596,0.0
EKSO,2025-05-06,6.090000152587891,7.034999847412109,5.670000076293945,6.494999885559082,17333,6.494999885559082,0.0
EKSO,2025-05-07,6.525000095367432,6.675000190734863,6.119999885559082,6.585000038146973,6227,6.585000038146973,0.0
EKSO,2025-05-08,6.570000171661377,6.570000171661377,6.164999961853027,6.195000171661377,7853,6.195000171661377,0.0
EKSO,2025-05-09,6.449999809265137,6.449999809265137,6.255000114440918,6.40500020980835,2273,6.40500020980835,0.0
EKSO,2025-05-12,6.420000076293945,6.659999847412109,6.300000190734863,6.449999809265137,5233,6.449999809265137,0.0
EKSO,2025-05-13,6.900000095367432,7.949999809265137,6.360000133514404,6.704999923706055,71040,6.704999923706055,0.0
EKSO,2025-05-14,6.960000038146973,7.605000019073486,6.224999904632568,6.78000020980835,43673,6.78000020980835,0.0
EKSO,2025-05-15,9.510000228881836,9.75,5.849999904632568,6.0,6608360,6.0,0.0
EKSO,2025-05-16,6.449999809265137,6.449999809265137,5.460000038146973,5.610000133514404,299133,5.610000133514404,0.0
EKSO,2025-05-19,5.699999809265137,5.699999809265137,4.800000190734863,4.965000152587891,456613,4.965000152587891,0.0
EKSO,2025-05-20,3.930000066757202,4.409999847412109,3.674999952316284,4.364999771118164,284707,4.364999771118164,0.0
EKSO,2025-05-21,4.199999809265137,4.335000038146973,3.75,3.7799999713897705,114333,3.7799999713897705,0.0
EKSO,2025-05-22,3.4649999141693115,4.215000152587891,3.4649999141693115,4.184999942779541,125533,4.184999942779541,0.0
EKSO,2025-05-23,3.990000009536743,4.409999847412109,3.990000009536743,4.199999809265137,57553,4.199999809265137,0.0
EKSO,2025-05-27,4.199999809265137,4.650000095367432,3.990000009536743,4.440000057220459,95307,4.440000057220459,0.0
EKSO,2025-05-28,4.5,4.934999942779541,4.335000038146973,4.5,101787,4.5,0.0
EKSO,2025-05-29,4.514999866485596,4.650000095367432,4.244999885559082,4.545000076293945,67553,4.545000076293945,0.0
EKSO,2025-05-30,4.454999923706055,4.545000076293945,4.199999809265137,4.53000020980835,52027,4.53000020980835,0.0
EKSO,2025-06-02,4.360000133514404,4.989999771118164,4.039999961853027,4.670000076293945,123000,4.670000076293945,0.06666666666666667
EKSO,2025-06-03,4.739999771118164,4.800000190734863,4.300000190734863,4.409999847412109,68100,4.409999847412109,0.0
EKSO,2025-06-04,4.289999961853027,4.75,4.179999828338623,4.360000133514404,154900,4.360000133514404,0.0
EKSO,2025-06-05,4.369999885559082,4.491000175476074,4.119999885559082,4.309999942779541,48900,4.309999942779541,0.0
EKSO,2025-06-06,4.289999961853027,4.53000020980835,4.260000228881836,4.269999980926514,36500,4.269999980926514,0.0
EKSO,2025-06-09,4.309999942779541,4.429999828338623,4.159999847412109,4.309999942779541,30800,4.309999942779541,0.0
EKSO,2025-06-10,4.230000019073486,4.374000072479248,4.159999847412109,4.170000076293945,41100,4.170000076293945,0.0
EKSO,2025-06-11,4.195000171661377,4.420000076293945,4.150000095367432,4.230000019073486,38900,4.230000019073486,0.0
EKSO,2025-06-12,4.190000057220459,4.190000057220459,3.811000108718872,3.865000009536743,77300,3.865000009536743,0.0
