symbol,date,open,high,low,close,volume,adjclose
SSM,2025-01-02,3.75,4.875,3.75,4.349999904632568,523,4.349999904632568
SSM,2025-01-03,3.825000047683716,9.0,3.825000047683716,7.125,12112,7.125
SSM,2025-01-06,5.0,11.0,5.0,8.0,19800,8.0
SSM,2025-01-07,7.989999771118164,10.0,7.349999904632568,9.774999618530273,22400,9.774999618530273
SSM,2025-01-08,9.75,10.850000381469727,7.349999904632568,10.0,17700,10.0
SSM,2025-01-10,9.380000114440918,12.25,9.380000114440918,9.399999618530273,15600,9.399999618530273
SSM,2025-01-13,11.0,15.0,11.0,14.989999771118164,19600,14.989999771118164
SSM,2025-01-14,14.0,14.979999542236328,14.0,14.5,2800,14.5
SSM,2025-01-15,12.5,17.47599983215332,12.5,17.47599983215332,6000,17.47599983215332
SSM,2025-01-16,13.5,18.0,13.5,15.5,2900,15.5
SSM,2025-01-17,13.510000228881836,17.0,13.5,15.25,2600,15.25
SSM,2025-01-21,13.0,15.699999809265137,13.0,13.600000381469727,3800,13.600000381469727
SSM,2025-01-22,14.5,14.75,14.5,14.5,4900,14.5
SSM,2025-01-23,13.0,14.600000381469727,13.0,13.0,5100,13.0
SSM,2025-01-24,13.0,13.899999618530273,11.039999961853027,13.0,5500,13.0
SSM,2025-01-27,10.119999885559082,11.899999618530273,10.119999885559082,11.899999618530273,1400,11.899999618530273
SSM,2025-01-28,11.949999809265137,13.0,10.5,13.0,7200,13.0
SSM,2025-01-29,13.0,14.5,13.0,14.5,9000,14.5
SSM,2025-01-30,13.762999534606934,15.265000343322754,13.762999534606934,15.25,18100,15.25
SSM,2025-01-31,14.75,15.25,14.5,15.25,2100,15.25
SSM,2025-02-03,15.25,15.25,14.5,15.125,2800,15.125
SSM,2025-02-04,15.010000228881836,15.010000228881836,15.0,15.0,800,15.0
SSM,2025-02-05,15.0,15.0,15.0,15.0,900,15.0
SSM,2025-02-06,14.0,15.0,12.010000228881836,12.5,4400,12.5
SSM,2025-02-07,11.0,11.0,11.0,11.0,900,11.0
SSM,2025-02-10,12.390000343322754,12.390000343322754,11.0,12.0,1200,12.0
SSM,2025-02-11,10.25,10.25,9.0,9.0,1200,9.0
SSM,2025-02-12,9.0,9.0,7.050000190734863,7.550000190734863,1500,7.550000190734863
SSM,2025-02-13,8.649999618530273,8.649999618530273,7.050000190734863,7.050000190734863,1900,7.050000190734863
SSM,2025-02-14,7.300000190734863,7.300000190734863,7.050000190734863,7.050000190734863,900,7.050000190734863
SSM,2025-02-18,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,700,7.050000190734863
SSM,2025-02-19,7.050000190734863,8.5,7.050000190734863,7.050000190734863,900,7.050000190734863
SSM,2025-02-20,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,400,7.050000190734863
SSM,2025-02-21,7.099999904632568,7.099999904632568,7.099999904632568,7.099999904632568,500,7.099999904632568
SSM,2025-02-24,7.079999923706055,7.079999923706055,7.050000190734863,7.050000190734863,500,7.050000190734863
SSM,2025-02-25,8.0,8.0,8.0,8.0,1100,8.0
SSM,2025-02-26,7.050000190734863,7.90500020980835,7.0,7.050000190734863,2200,7.050000190734863
SSM,2025-02-27,7.050000190734863,7.050000190734863,7.050000190734863,7.050000190734863,0,7.050000190734863
SSM,2025-02-28,7.050000190734863,7.119999885559082,6.849999904632568,7.119999885559082,1700,7.119999885559082
SSM,2025-03-03,6.913000106811523,6.920000076293945,6.913000106811523,6.920000076293945,700,6.920000076293945
SSM,2025-03-04,6.949999809265137,7.0,6.800000190734863,6.800000190734863,1200,6.800000190734863
