symbol,date,open,high,low,close,volume,adjclose,dividends
BBCP,2025-01-02,6.699999809265137,6.889999866485596,6.599999904632568,6.630000114440918,65500,5.874013900756836,0.0
BBCP,2025-01-03,6.670000076293945,6.869999885559082,6.625,6.800000190734863,52100,6.024629592895508,0.0
BBCP,2025-01-06,6.800000190734863,6.849999904632568,6.610000133514404,6.619999885559082,40100,5.865153789520264,0.0
BBCP,2025-01-07,6.630000114440918,6.675000190734863,6.480000019073486,6.639999866485596,58500,5.88287353515625,0.0
BBCP,2025-01-08,6.659999847412109,6.775000095367432,6.460000038146973,6.510000228881836,86300,5.767696857452393,0.0
BBCP,2025-01-10,7.269999980926514,7.843999862670898,7.010000228881836,7.400000095367432,223800,6.556214809417725,0.0
BBCP,2025-01-13,7.519999980926514,7.889999866485596,7.360000133514404,7.849999904632568,301700,6.9549031257629395,0.0
BBCP,2025-01-14,7.989999771118164,8.1899995803833,7.610000133514404,8.050000190734863,260600,7.13209867477417,0.0
BBCP,2025-01-15,8.369999885559082,8.904999732971191,8.130000114440918,8.869999885559082,272600,7.858597755432129,0.0
BBCP,2025-01-16,9.449999809265137,9.678000450134277,8.930000305175781,8.970000267028809,570800,7.947195529937744,0.0
BBCP,2025-01-17,9.130000114440918,9.154999732971191,8.75,8.789999961853027,261600,7.7877197265625,0.0
BBCP,2025-01-21,8.729999542236328,9.109999656677246,8.579999923706055,8.979999542236328,348000,7.9560546875,0.0
BBCP,2025-01-22,8.949999809265137,9.237000465393066,8.875,9.039999961853027,369300,8.0092134475708,0.0
BBCP,2025-01-23,9.170000076293945,9.279999732971191,8.729999542236328,8.770000457763672,802400,7.770000457763672,0.0
BBCP,2025-01-24,7.889999866485596,8.319999694824219,7.809999942779541,8.3100004196167,430900,8.3100004196167,1.0
BBCP,2025-01-27,7.989999771118164,8.35099983215332,7.789999961853027,8.09000015258789,354100,8.09000015258789,0.0
BBCP,2025-01-28,8.270000457763672,8.404999732971191,8.130000114440918,8.34000015258789,340800,8.34000015258789,0.0
BBCP,2025-01-29,8.34000015258789,8.34000015258789,8.029999732971191,8.170000076293945,200300,8.170000076293945,0.0
BBCP,2025-01-30,8.369999885559082,8.369999885559082,8.170000076293945,8.229999542236328,185800,8.229999542236328,0.0
BBCP,2025-01-31,8.279999732971191,8.489999771118164,8.25,8.460000038146973,315100,8.460000038146973,0.0
BBCP,2025-02-03,8.3100004196167,8.600000381469727,8.180000305175781,8.319999694824219,246400,8.319999694824219,0.0
BBCP,2025-02-04,8.319999694824219,8.399999618530273,8.229999542236328,8.380000114440918,139800,8.380000114440918,0.0
BBCP,2025-02-05,8.300000190734863,8.319999694824219,7.7829999923706055,7.820000171661377,248400,7.820000171661377,0.0
BBCP,2025-02-06,7.829999923706055,7.949999809265137,7.635000228881836,7.849999904632568,267500,7.849999904632568,0.0
BBCP,2025-02-07,7.849999904632568,8.053999900817871,7.599999904632568,7.639999866485596,156500,7.639999866485596,0.0
BBCP,2025-02-10,7.769999980926514,7.849999904632568,7.369999885559082,7.639999866485596,202500,7.639999866485596,0.0
BBCP,2025-02-11,7.679999828338623,7.800000190734863,7.539999961853027,7.590000152587891,116600,7.590000152587891,0.0
BBCP,2025-02-12,7.28000020980835,7.494999885559082,7.03000020980835,7.28000020980835,178900,7.28000020980835,0.0
BBCP,2025-02-13,7.25,7.304999828338623,7.074999809265137,7.150000095367432,137200,7.150000095367432,0.0
BBCP,2025-02-14,7.21999979019165,7.243000030517578,7.034999847412109,7.130000114440918,149300,7.130000114440918,0.0
BBCP,2025-02-18,7.03000020980835,7.235000133514404,7.03000020980835,7.130000114440918,181000,7.130000114440918,0.0
BBCP,2025-02-19,7.130000114440918,7.1579999923706055,7.03000020980835,7.079999923706055,97300,7.079999923706055,0.0
BBCP,2025-02-20,7.059999942779541,7.085000038146973,6.940000057220459,7.050000190734863,136700,7.050000190734863,0.0
BBCP,2025-02-21,7.130000114440918,7.130000114440918,6.630000114440918,6.650000095367432,112900,6.650000095367432,0.0
BBCP,2025-02-24,6.699999809265137,6.699999809265137,6.539999961853027,6.550000190734863,103600,6.550000190734863,0.0
BBCP,2025-02-25,6.619999885559082,6.679999828338623,6.440000057220459,6.53000020980835,236900,6.53000020980835,0.0
BBCP,2025-02-26,6.550000190734863,6.767000198364258,6.550000190734863,6.710000038146973,163200,6.710000038146973,0.0
BBCP,2025-02-27,6.690000057220459,6.739999771118164,6.53000020980835,6.579999923706055,113700,6.579999923706055,0.0
BBCP,2025-02-28,6.550000190734863,6.605000019073486,6.420000076293945,6.539999961853027,137500,6.539999961853027,0.0
BBCP,2025-03-03,6.599999904632568,6.619999885559082,6.309999942779541,6.380000114440918,150500,6.380000114440918,0.0
BBCP,2025-03-04,6.260000228881836,6.349999904632568,6.159999847412109,6.179999828338623,141700,6.179999828338623,0.0
BBCP,2025-03-05,6.199999809265137,6.409999847412109,6.190000057220459,6.260000228881836,109100,6.260000228881836,0.0
BBCP,2025-03-06,6.179999828338623,6.360000133514404,6.159999847412109,6.289999961853027,89600,6.289999961853027,0.0
BBCP,2025-03-07,6.289999961853027,6.334000110626221,6.150000095367432,6.190000057220459,78900,6.190000057220459,0.0
BBCP,2025-03-10,6.130000114440918,6.179999828338623,5.900000095367432,5.954999923706055,114500,5.954999923706055,0.0
