symbol,date,open,high,low,close,volume,adjclose
EVLV,2025-01-02,4.03000020980835,4.210000038146973,3.819999933242798,3.9700000286102295,1745600,3.9700000286102295
EVLV,2025-01-03,4.0,4.065000057220459,3.9000000953674316,3.9700000286102295,886100,3.9700000286102295
EVLV,2025-01-06,3.9019999504089355,4.010000228881836,3.6600000858306885,3.6600000858306885,2095600,3.6600000858306885
EVLV,2025-01-07,3.7100000381469727,3.7200000286102295,3.4700000286102295,3.509999990463257,1922300,3.509999990463257
EVLV,2025-01-08,3.4200000762939453,3.4700000286102295,3.2049999237060547,3.25,1996000,3.25
EVLV,2025-01-10,3.200000047683716,3.2200000286102295,3.075000047683716,3.0899999141693115,1879200,3.0899999141693115
EVLV,2025-01-13,3.0299999713897705,3.1549999713897705,2.9800000190734863,3.0899999141693115,2214400,3.0899999141693115
EVLV,2025-01-14,3.119999885559082,3.240000009536743,3.119999885559082,3.140000104904175,1391100,3.140000104904175
EVLV,2025-01-15,3.25,3.3499999046325684,3.0899999141693115,3.109999895095825,1058300,3.109999895095825
EVLV,2025-01-16,3.119999885559082,3.180000066757202,3.069999933242798,3.069999933242798,1024000,3.069999933242798
EVLV,2025-01-17,3.130000114440918,3.2100000381469727,3.0799999237060547,3.190000057220459,1424200,3.190000057220459
EVLV,2025-01-21,3.259999990463257,3.3299999237060547,3.2139999866485596,3.25,948700,3.25
EVLV,2025-01-22,3.240000009536743,3.319999933242798,3.200000047683716,3.2200000286102295,886000,3.2200000286102295
EVLV,2025-01-23,3.7799999713897705,3.9700000286102295,3.5799999237060547,3.950000047683716,5968900,3.950000047683716
EVLV,2025-01-24,4.0,4.300000190734863,3.9100000858306885,4.159999847412109,3227900,4.159999847412109
EVLV,2025-01-27,4.079999923706055,4.255000114440918,3.9200000762939453,4.010000228881836,2266400,4.010000228881836
EVLV,2025-01-28,3.990000009536743,4.099999904632568,3.8550000190734863,3.9600000381469727,1222600,3.9600000381469727
EVLV,2025-01-29,3.9700000286102295,4.0,3.7799999713897705,3.890000104904175,1193000,3.890000104904175
EVLV,2025-01-30,3.950000047683716,4.070000171661377,3.884999990463257,4.0,1127600,4.0
EVLV,2025-01-31,4.019999980926514,4.230000019073486,3.9600000381469727,4.010000228881836,2024000,4.010000228881836
EVLV,2025-02-03,3.869999885559082,3.994999885559082,3.75,3.9700000286102295,1819200,3.9700000286102295
EVLV,2025-02-04,4.0,4.284999847412109,3.9700000286102295,4.230000019073486,1261900,4.230000019073486
EVLV,2025-02-05,4.25,4.28000020980835,4.139999866485596,4.239999771118164,810200,4.239999771118164
EVLV,2025-02-06,4.25,4.270999908447266,4.099999904632568,4.159999847412109,691300,4.159999847412109
EVLV,2025-02-07,4.170000076293945,4.230000019073486,3.9700000286102295,4.039999961853027,851200,4.039999961853027
EVLV,2025-02-10,4.050000190734863,4.099999904632568,3.9100000858306885,3.990000009536743,1106500,3.990000009536743
EVLV,2025-02-11,3.940000057220459,4.03000020980835,3.819999933242798,3.9200000762939453,669500,3.9200000762939453
EVLV,2025-02-12,3.8499999046325684,3.944999933242798,3.799999952316284,3.9200000762939453,713700,3.9200000762939453
EVLV,2025-02-13,3.950000047683716,4.038000106811523,3.875,4.019999980926514,962800,4.019999980926514
EVLV,2025-02-14,4.119999885559082,4.199999809265137,3.934999942779541,4.019999980926514,1101100,4.019999980926514
EVLV,2025-02-18,4.010000228881836,4.150000095367432,3.9000000953674316,3.9800000190734863,1399400,3.9800000190734863
EVLV,2025-02-19,3.9800000190734863,4.03000020980835,3.884999990463257,3.9200000762939453,762100,3.9200000762939453
EVLV,2025-02-20,3.880000114440918,3.940000057220459,3.7850000858306885,3.8299999237060547,698200,3.8299999237060547
EVLV,2025-02-21,3.930000066757202,3.930000066757202,3.5799999237060547,3.5899999141693115,1033600,3.5899999141693115
EVLV,2025-02-24,3.5999999046325684,3.619999885559082,3.380000114440918,3.5199999809265137,1179600,3.5199999809265137
EVLV,2025-02-25,3.5299999713897705,3.5999999046325684,3.375,3.4600000381469727,1253200,3.4600000381469727
EVLV,2025-02-26,3.450000047683716,3.569999933242798,3.450000047683716,3.4800000190734863,647400,3.4800000190734863
EVLV,2025-02-27,3.509999990463257,3.5999999046325684,3.4000000953674316,3.4100000858306885,820300,3.4100000858306885
EVLV,2025-02-28,3.380000114440918,3.559999942779541,3.3499999046325684,3.5399999618530273,914500,3.5399999618530273
EVLV,2025-03-03,3.4600000381469727,3.5399999618530273,3.115000009536743,3.299999952316284,3510300,3.299999952316284
EVLV,2025-03-04,3.25,3.4000000953674316,3.200000047683716,3.315000057220459,1942800,3.315000057220459
EVLV,2025-03-05,3.299999952316284,3.380000114440918,3.259999990463257,3.359999895095825,816200,3.359999895095825
EVLV,2025-03-06,3.299999952316284,3.365000009536743,3.190000057220459,3.259999990463257,1273000,3.259999990463257
EVLV,2025-03-07,3.240000009536743,3.25,3.049999952316284,3.1700000762939453,1329700,3.1700000762939453
EVLV,2025-03-10,3.069999933242798,3.140000104904175,2.9200000762939453,3.009999990463257,1417300,3.009999990463257
EVLV,2025-03-11,3.0399999618530273,3.0999999046325684,2.950000047683716,3.0399999618530273,1448200,3.0399999618530273
EVLV,2025-03-12,3.0999999046325684,3.2049999237060547,3.059999942779541,3.1600000858306885,848500,3.1600000858306885
EVLV,2025-03-13,3.1600000858306885,3.200000047683716,3.0,3.009999990463257,736500,3.009999990463257
EVLV,2025-03-14,3.0999999046325684,3.1600000858306885,3.0350000858306885,3.1600000858306885,769000,3.1600000858306885
EVLV,2025-03-17,3.109999895095825,3.2300000190734863,3.109999895095825,3.180000066757202,587800,3.180000066757202
EVLV,2025-03-18,3.140000104904175,3.1500000953674316,2.990000009536743,3.0,1011100,3.0
EVLV,2025-03-19,3.009999990463257,3.140000104904175,3.0,3.0899999141693115,613600,3.0899999141693115
EVLV,2025-03-20,3.0399999618530273,3.174999952316284,3.0399999618530273,3.109999895095825,465600,3.109999895095825
EVLV,2025-03-21,3.0299999713897705,3.0899999141693115,3.0,3.069999933242798,860500,3.069999933242798
EVLV,2025-03-24,3.119999885559082,3.174999952316284,3.059999942779541,3.1500000953674316,1060800,3.1500000953674316
EVLV,2025-03-25,3.1500000953674316,3.180000066757202,2.984999895095825,3.0899999141693115,692900,3.0899999141693115
