symbol,date,open,high,low,close,volume,adjclose
VHC,2025-01-02,7.710000038146973,7.710000038146973,7.079999923706055,7.150000095367432,10700,7.150000095367432
VHC,2025-01-03,7.190000057220459,7.320000171661377,7.070000171661377,7.119999885559082,34800,7.119999885559082
VHC,2025-01-06,7.230000019073486,7.230000019073486,6.650000095367432,6.800000190734863,13600,6.800000190734863
VHC,2025-01-07,6.800000190734863,7.510000228881836,6.550000190734863,7.320000171661377,24100,7.320000171661377
VHC,2025-01-08,7.349999904632568,7.349999904632568,6.690000057220459,7.099999904632568,15200,7.099999904632568
VHC,2025-01-10,7.0,7.639999866485596,7.0,7.510000228881836,13700,7.510000228881836
VHC,2025-01-13,7.420000076293945,7.880000114440918,6.760000228881836,7.230000019073486,13700,7.230000019073486
VHC,2025-01-14,7.199999809265137,7.75,7.139999866485596,7.679999828338623,9500,7.679999828338623
VHC,2025-01-15,7.699999809265137,8.729999542236328,7.699999809265137,8.329999923706055,15100,8.329999923706055
VHC,2025-01-16,8.3100004196167,9.25,8.3100004196167,9.079999923706055,44300,9.079999923706055
VHC,2025-01-17,9.069999694824219,9.6899995803833,9.039999961853027,9.279999732971191,23600,9.279999732971191
VHC,2025-01-21,9.289999961853027,9.350000381469727,9.079999923706055,9.079999923706055,24800,9.079999923706055
VHC,2025-01-22,9.0,9.15999984741211,8.6899995803833,8.890000343322754,5500,8.890000343322754
VHC,2025-01-23,8.789999961853027,9.180000305175781,8.760000228881836,8.920000076293945,9900,8.920000076293945
VHC,2025-01-24,8.920000076293945,9.390000343322754,8.699999809265137,9.319999694824219,7800,9.319999694824219
VHC,2025-01-27,9.0,9.119999885559082,8.5,8.850000381469727,15400,8.850000381469727
VHC,2025-01-28,8.75,8.920000076293945,8.75,8.920000076293945,6600,8.920000076293945
VHC,2025-01-29,9.0,9.220000267028809,9.0,9.119999885559082,1200,9.119999885559082
VHC,2025-01-30,8.720000267028809,9.020000457763672,8.720000267028809,8.899999618530273,3400,8.899999618530273
VHC,2025-01-31,8.779999732971191,9.0,8.5,8.75,7400,8.75
