ticker,fecha_senal,entrada_fecha,precio_entrada,salida_fecha,precio_salida,resultado_pct,razon_salida,tamano_posicion,ganancia_neta,capital_despues,resultado_%
USAR,2025-08-08,2025-08-09,16.81,2025-08-19,15.2971,-0.09,Stop Loss,78,-118.01,11823.2,-9.0
URGN,2025-08-08,2025-08-09,17.48,2025-09-08,19.539,0.117792,Trailing Stop,75,154.42,11977.62,11.7792
GSAT,2025-08-11,2025-08-12,28.56,2025-08-19,25.9896,-0.09,Stop Loss,46,-118.24,11859.38,-9.0
DOMO,2025-08-11,2025-08-12,14.3,2025-08-28,16.092,0.125315,Trailing Stop,92,164.86,12024.25,12.531500000000001
OPRX,2025-08-11,2025-08-12,16.31,2025-09-24,18.41,0.128755,Salida por tiempo (30 días),81,170.1,12194.35,12.8755
VOR,2025-08-12,2025-08-13,41.4,2025-08-25,45.18,0.091304,Trailing Stop,32,120.96,12315.31,9.1304
LENZ,2025-08-12,2025-08-13,36.75,2025-09-25,40.03,0.089252,Salida por tiempo (30 días),37,121.36,12436.67,8.9252
DGXX,2025-08-13,2025-08-14,2.57,2025-08-15,2.3387,-0.09,Stop Loss,537,-124.21,12312.46,-9.0
AMPG,2025-08-13,2025-08-14,3.59,2025-08-15,3.2669,-0.09,Stop Loss,381,-123.1,12189.36,-9.0
SRTA,2025-08-13,2025-08-14,4.26,2025-09-08,3.8766,-0.09,Stop Loss,317,-121.54,12067.82,-9.0
IMRX,2025-08-13,2025-08-14,3.18,2025-08-18,3.555,0.117925,Trailing Stop,421,157.87,12225.69,11.7925
SKYT,2025-08-13,2025-08-14,12.02,2025-08-19,10.9382,-0.09,Stop Loss,113,-122.24,12103.45,-9.0
ONDS,2025-08-13,2025-08-14,3.5,2025-08-15,3.807,0.087714,Trailing Stop,384,117.89,12221.34,8.7714
CYRX,2025-08-13,2025-08-14,8.8,2025-09-26,9.2,0.045455,Salida por tiempo (30 días),154,61.6,12282.94,4.5455000000000005
ABVE,2025-08-13,2025-08-14,2.02,2025-08-15,1.8382,-0.09,Stop Loss,675,-122.71,12160.22,-9.0
ABCL,2025-08-13,2025-08-14,4.42,2025-08-20,4.0222,-0.09,Stop Loss,305,-121.33,12038.89,-9.0
HYFT,2025-08-13,2025-08-14,2.02,2025-08-18,2.448,0.211881,Trailing Stop,662,283.34,12322.23,21.188100000000002
ABAT,2025-08-13,2025-08-14,2.47,2025-08-20,2.2477,-0.09,Stop Loss,554,-123.15,12199.08,-9.0
BGLC,2025-08-13,2025-08-14,5.5,2025-09-05,5.005,-0.09,Stop Loss,246,-121.77,12077.31,-9.0
RGTI,2025-08-13,2025-08-14,16.75,2025-08-19,15.2425,-0.09,Stop Loss,80,-120.6,11956.71,-9.0
MGRM,2025-08-13,2025-08-14,5.33,2025-09-26,5.91,0.108818,Salida por tiempo (30 días),249,144.42,12101.13,10.8818
ELWS,2025-08-13,2025-08-14,3.72,2025-08-15,3.3852,-0.09,Stop Loss,361,-120.86,11980.26,-9.0
KPLT,2025-08-13,2025-08-14,12.57,2025-08-20,14.283,0.136277,Trailing Stop,105,179.87,12160.13,13.6277
SCPH,2025-08-13,2025-08-14,4.75,2025-09-26,5.65,0.189474,Salida por tiempo (30 días),284,255.6,12415.73,18.947400000000002
NB,2025-08-13,2025-08-14,4.67,2025-08-18,4.2497,-0.09,Stop Loss,295,-123.99,12291.74,-9.0
VVOS,2025-08-13,2025-08-14,4.5,2025-08-15,4.095,-0.09,Stop Loss,303,-122.72,12169.03,-9.0
MOB,2025-08-13,2025-08-14,4.06,2025-08-20,3.6946,-0.09,Stop Loss,333,-121.68,12047.35,-9.0
SUIG,2025-08-13,2025-08-14,6.56,2025-08-19,5.9696,-0.09,Stop Loss,204,-120.44,11926.91,-9.0
TAOX,2025-08-13,2025-08-14,9.1,2025-08-15,8.281,-0.09,Stop Loss,145,-118.76,11808.15,-9.0
TDUP,2025-08-13,2025-08-14,10.3,2025-09-24,9.373,-0.09,Stop Loss,127,-117.73,11690.42,-9.0
RFIL,2025-08-13,2025-08-14,7.17,2025-08-20,6.5247,-0.09,Stop Loss,181,-116.8,11573.62,-9.0
SPCB,2025-08-13,2025-08-14,10.96,2025-08-15,9.9736,-0.09,Stop Loss,117,-115.41,11458.21,-9.0
RGTIW,2025-08-13,2025-08-14,25.64,2025-10-03,28.45,0.109594,Salida por tiempo (30 días),49,137.69,11595.9,10.9594
SLDP,2025-08-13,2025-08-14,4.6,2025-08-19,4.186,-0.09,Stop Loss,280,-115.92,11479.98,-9.0
TRON,2025-08-13,2025-08-14,6.93,2025-08-19,6.3063,-0.09,Stop Loss,184,-114.76,11365.22,-9.0
INVZ,2025-08-13,2025-08-14,1.525,2025-08-19,1.647,0.08,Trailing Stop,828,101.02,11466.24,8.0
PROK,2025-08-13,2025-08-14,2.25,2025-09-11,2.7,0.2,Trailing Stop,566,254.7,11720.94,20.0
DPRO,2025-08-13,2025-08-14,4.5,2025-08-18,4.095,-0.09,Stop Loss,289,-117.05,11603.89,-9.0
QNCX,2025-08-14,2025-08-15,1.68,2025-08-28,1.5288,-0.09,Stop Loss,767,-115.97,11487.92,-9.0
HOVR,2025-08-14,2025-08-15,1.62,2025-08-20,1.4742,-0.09,Stop Loss,787,-114.74,11373.18,-9.0
OCC,2025-08-14,2025-08-15,5.1,2025-08-25,5.688,0.115294,Trailing Stop,247,145.24,11518.41,11.529399999999999
ASPI,2025-08-14,2025-08-15,10.88,2025-08-18,9.9008,-0.09,Stop Loss,117,-114.57,11403.85,-9.0
ATON,2025-08-14,2025-08-15,8.78,2025-08-19,7.9898,-0.09,Stop Loss,144,-113.79,11290.06,-9.0
FFAI,2025-08-14,2025-08-15,2.965,2025-08-18,2.6981,-0.09,Stop Loss,423,-112.88,11177.18,-9.0
SIGA,2025-08-14,2025-08-15,8.6,2025-09-29,8.96,0.04186,Salida por tiempo (30 días),144,51.84,11229.02,4.186
SIFY,2025-08-14,2025-08-15,8.52,2025-08-20,7.7532,-0.09,Stop Loss,146,-111.95,11117.07,-9.0
TOI,2025-08-14,2025-08-15,3.695,2025-08-26,3.3624,-0.09,Stop Loss,334,-111.07,11006.0,-9.0
CGTX,2025-08-14,2025-08-15,1.67,2025-08-18,1.5197,-0.09,Stop Loss,732,-110.02,10895.98,-9.0
CBIO,2025-08-14,2025-08-15,14.19,2025-09-08,12.9129,-0.09,Stop Loss,85,-108.55,10787.42,-9.0
ZENA,2025-08-15,2025-08-16,4.8,2025-08-20,4.368,-0.09,Stop Loss,249,-107.57,10679.86,-9.0
SNES,2025-08-15,2025-08-16,4.75,2025-09-25,4.3225,-0.09,Stop Loss,249,-106.45,10573.41,-9.0
LZ,2025-08-15,2025-08-16,10.69,2025-09-30,10.38,-0.028999,Salida por tiempo (30 días),109,-33.79,10539.62,-2.8999
MBOT,2025-08-15,2025-08-16,3.11,2025-08-21,3.366,0.082315,Trailing Stop,376,96.26,10635.87,8.2315
ELVA,2025-08-15,2025-08-16,4.71,2025-08-26,5.256,0.115924,Trailing Stop,250,136.5,10772.37,11.5924
SWIN,2025-08-15,2025-08-16,4.53,2025-08-19,4.1223,-0.09,Stop Loss,264,-107.63,10664.74,-9.0
OPEN,2025-08-15,2025-08-16,3.29,2025-08-19,3.69,0.121581,Trailing Stop,360,144.0,10808.74,12.1581
VTYX,2025-08-15,2025-08-16,2.83,2025-08-19,2.5753,-0.09,Stop Loss,424,-107.99,10700.75,-9.0
SGMT,2025-08-15,2025-08-16,7.7,2025-08-19,7.007,-0.09,Stop Loss,154,-106.72,10594.03,-9.0
HYPR,2025-08-15,2025-08-16,1.39,2025-08-19,1.2649,-0.09,Stop Loss,846,-105.83,10488.19,-9.0
CLLS,2025-08-15,2025-08-16,2.89,2025-08-26,2.6299,-0.09,Stop Loss,403,-104.82,10383.37,-9.0
ARQ,2025-08-15,2025-08-16,7.35,2025-09-18,6.6885,-0.09,Stop Loss,156,-103.19,10280.18,-9.0
ABTC,2025-08-15,2025-08-16,6.25,2025-08-20,5.6875,-0.09,Stop Loss,182,-102.38,10177.8,-9.0
OSS,2025-08-15,2025-08-16,5.08,2025-08-29,5.94,0.169291,Trailing Stop,222,190.92,10368.72,16.9291
ETHZ,2025-08-18,2025-08-19,6.75,2025-08-20,6.1425,-0.09,Stop Loss,170,-103.27,10265.45,-9.0
MNMD,2025-08-18,2025-08-19,9.74,2025-08-29,8.8634,-0.09,Stop Loss,117,-102.56,10162.89,-9.0
SSSS,2025-08-18,2025-08-19,8.52,2025-10-01,9.1,0.068075,Salida por tiempo (30 días),132,76.56,10239.45,6.807499999999999
ILPT,2025-08-18,2025-08-19,5.8,2025-10-01,5.55,-0.043103,Salida por tiempo (30 días),196,-49.0,10190.45,-4.3103
HSAI,2025-08-18,2025-08-19,26.1,2025-08-21,23.751,-0.09,Stop Loss,43,-101.01,10089.44,-9.0
WIMI,2025-08-18,2025-08-19,3.73,2025-09-17,4.356,0.167828,Trailing Stop,300,187.8,10277.24,16.7828
PGEN,2025-08-18,2025-08-19,2.95,2025-08-21,3.51,0.189831,Trailing Stop,387,216.72,10493.96,18.9831
AMLX,2025-08-18,2025-08-19,7.97,2025-09-10,11.158,0.4,Take Profit,146,465.45,10959.41,40.0
GALT,2025-08-19,2025-08-20,3.75,2025-09-11,5.25,0.4,Take Profit,324,486.0,11445.41,40.0
PBYI,2025-08-19,2025-08-20,5.08,2025-09-08,4.6228,-0.09,Stop Loss,250,-114.3,11331.11,-9.0
FOSL,2025-08-19,2025-08-20,3.18,2025-08-21,2.8938,-0.09,Stop Loss,395,-113.05,11218.06,-9.0
RIOT,2025-08-19,2025-08-20,11.845,2025-09-04,13.014,0.098691,Trailing Stop,105,122.74,11340.8,9.8691
DLO,2025-08-19,2025-08-20,14.61,2025-09-04,13.2951,-0.09,Stop Loss,86,-113.08,11227.72,-9.0
CPSH,2025-08-19,2025-08-20,3.26,2025-09-23,3.897,0.195399,Trailing Stop,382,243.33,11471.06,19.5399
EM,2025-08-20,2025-08-21,1.34,2025-10-03,1.33,-0.007463,Salida por tiempo (30 días),951,-9.51,11461.55,-0.7463
MNY,2025-08-20,2025-08-21,1.8,2025-09-05,1.638,-0.09,Stop Loss,707,-114.53,11347.01,-9.0
SBLX,2025-08-21,2025-08-22,6.6,2025-08-25,7.335,0.111364,Trailing Stop,191,140.38,11487.4,11.1364
EVLV,2025-08-21,2025-08-22,7.85,2025-10-03,7.46,-0.049682,Salida por tiempo (30 días),162,-63.18,11424.22,-4.9681999999999995
SPAI,2025-08-21,2025-08-22,5.12,2025-08-25,6.3,0.230469,Trailing Stop,247,291.46,11715.68,23.0469
WULF,2025-08-21,2025-08-22,9.27,2025-09-15,10.107,0.090291,Trailing Stop,140,117.18,11832.86,9.0291
ARRY,2025-08-22,2025-08-23,9.14,2025-09-09,8.3174,-0.09,Stop Loss,143,-117.63,11715.22,-9.0
GCT,2025-08-22,2025-08-23,29.54,2025-08-26,26.8814,-0.09,Stop Loss,44,-116.98,11598.25,-9.0
XNET,2025-08-22,2025-08-23,7.41,2025-08-26,6.7431,-0.09,Stop Loss,173,-115.37,11482.87,-9.0
OCUL,2025-08-22,2025-08-23,12.3,2025-10-01,11.193,-0.09,Stop Loss,103,-114.02,11368.85,-9.0
RRGB,2025-08-25,2025-08-26,6.5,2025-10-03,7.12,0.095385,Salida por tiempo (30 días),194,120.28,11489.13,9.538499999999999
FTEK,2025-08-25,2025-08-26,2.79,2025-09-11,3.078,0.103226,Trailing Stop,457,131.62,11620.75,10.3226
IMAB,2025-08-25,2025-08-26,4.95,2025-08-27,4.5045,-0.09,Stop Loss,260,-115.83,11504.92,-9.0
KOD,2025-08-25,2025-08-26,9.55,2025-08-29,8.6905,-0.09,Stop Loss,133,-114.31,11390.6,-9.0
OMEX,2025-08-25,2025-08-26,1.62,2025-08-28,1.971,0.216667,Trailing Stop,781,274.13,11664.74,21.6667
SY,2025-08-25,2025-08-26,4.08,2025-09-02,3.7128,-0.09,Stop Loss,317,-116.4,11548.33,-9.0
LINK,2025-08-25,2025-08-26,9.13,2025-08-27,8.3083,-0.09,Stop Loss,140,-115.04,11433.29,-9.0
