ticker,fecha_senal,entrada_fecha,precio_entrada,salida_fecha,precio_salida,resultado_pct,razon_salida,tamano_posicion,ganancia_neta,capital_despues,resultado_%
PVLA,2025-08-04,2025-08-05,37.26,2025-08-14,42.75,0.147343,Trailing Stop,29,159.21,10159.21,14.734300000000001
BNC,2025-08-04,2025-08-05,18.57,2025-08-06,20.16,0.085622,Trailing Stop,60,95.4,10254.61,8.5622
TRS,2025-08-04,2025-08-05,35.24,2025-09-17,39.12,0.110102,Salida por tiempo (30 días),32,124.16,10378.77,11.010200000000001
INBX,2025-08-04,2025-08-05,21.88,2025-09-12,27.207,0.243464,Trailing Stop,52,277.0,10655.77,24.346400000000003
ALNT,2025-08-04,2025-08-05,40.05,2025-08-07,43.398,0.083596,Trailing Stop,29,97.09,10752.87,8.3596
SEDG,2025-08-04,2025-08-05,25.88,2025-08-07,23.5508,-0.09,Stop Loss,46,-107.14,10645.72,-9.0
KNSA,2025-08-04,2025-08-05,33.01,2025-09-17,35.43,0.073311,Salida por tiempo (30 días),35,84.7,10730.42,7.3311
NKTR,2025-08-04,2025-08-05,23.01,2025-08-20,25.398,0.103781,Trailing Stop,51,121.79,10852.21,10.3781
GEOS,2025-08-04,2025-08-05,17.8,2025-08-07,16.198,-0.09,Stop Loss,67,-107.33,10744.88,-9.0
GOGO,2025-08-04,2025-08-05,16.11,2025-08-07,14.6601,-0.09,Stop Loss,74,-107.29,10637.58,-9.0
TNXP,2025-08-04,2025-08-05,44.3,2025-08-12,55.08,0.243341,Trailing Stop,26,280.28,10917.86,24.3341
NEON,2025-08-04,2025-08-05,21.3,2025-08-26,24.255,0.138732,Trailing Stop,56,165.48,11083.34,13.873199999999999
EYE,2025-08-04,2025-08-05,25.11,2025-08-08,22.8501,-0.09,Stop Loss,49,-110.74,10972.61,-9.0
SMMT,2025-08-04,2025-08-05,29.05,2025-08-12,26.4355,-0.09,Stop Loss,41,-107.19,10865.41,-9.0
IPX,2025-08-04,2025-08-05,40.02,2025-09-09,44.514,0.112294,Trailing Stop,30,134.82,11000.23,11.2294
IREN,2025-08-04,2025-08-05,16.39,2025-08-12,17.856,0.089445,Trailing Stop,74,108.48,11108.72,8.9445
SUPX,2025-08-04,2025-08-05,22.82,2025-08-07,25.8939,0.134702,Trailing Stop,54,165.99,11274.71,13.470199999999998
PPTA,2025-08-04,2025-08-05,16.64,2025-09-17,16.99,0.021034,Salida por tiempo (30 días),75,26.25,11300.96,2.1034
TSAT,2025-08-04,2025-08-05,24.0,2025-08-07,21.84,-0.09,Stop Loss,52,-112.32,11188.64,-9.0
SOFI,2025-08-04,2025-08-05,22.0,2025-09-02,23.9445,0.088386,Trailing Stop,56,108.89,11297.53,8.838600000000001
MGNI,2025-08-04,2025-08-05,22.86,2025-08-07,20.8026,-0.09,Stop Loss,54,-111.1,11186.43,-9.0
FEIM,2025-08-04,2025-08-05,27.67,2025-09-12,31.356,0.133213,Trailing Stop,44,162.18,11348.62,13.321299999999999
PPIH,2025-08-04,2025-08-05,25.0,2025-08-22,27.648,0.10592,Trailing Stop,50,132.4,11481.02,10.592
ATRO,2025-08-04,2025-08-05,35.87,2025-08-07,32.6417,-0.09,Stop Loss,35,-112.99,11368.03,-9.0
OUST,2025-08-04,2025-08-05,24.23,2025-08-08,29.655,0.223896,Trailing Stop,52,282.1,11650.13,22.3896
PGY,2025-08-04,2025-08-05,33.215,2025-08-07,30.2257,-0.09,Stop Loss,38,-113.6,11536.53,-9.0
AEHR,2025-08-04,2025-08-05,19.1,2025-08-11,17.381,-0.09,Stop Loss,67,-115.17,11421.36,-9.0
METC,2025-08-04,2025-08-05,21.85,2025-08-06,19.8835,-0.09,Stop Loss,58,-114.06,11307.3,-9.0
BWMN,2025-08-04,2025-08-05,34.0,2025-09-17,41.24,0.212941,Salida por tiempo (30 días),36,260.64,11567.94,21.2941
TONX,2025-08-05,2025-08-06,19.82,2025-08-08,18.0362,-0.09,Stop Loss,64,-114.16,11453.78,-9.0
ARQQ,2025-08-05,2025-08-06,36.16,2025-08-07,32.9056,-0.09,Stop Loss,35,-113.9,11339.87,-9.0
ATAT,2025-08-05,2025-08-06,33.5,2025-09-18,39.47,0.178209,Salida por tiempo (30 días),37,220.89,11560.76,17.8209
QUBT,2025-08-06,2025-08-07,15.99,2025-08-20,14.5509,-0.09,Stop Loss,80,-115.13,11445.63,-9.0
TSSI,2025-08-06,2025-08-07,23.0,2025-08-08,20.93,-0.09,Stop Loss,55,-113.85,11331.78,-9.0
ACMR,2025-08-06,2025-08-07,25.85,2025-08-22,28.665,0.108897,Trailing Stop,48,135.12,11466.9,10.8897
HUT,2025-08-06,2025-08-07,21.16,2025-08-08,19.2556,-0.09,Stop Loss,60,-114.26,11352.64,-9.0
QNTM,2025-08-07,2025-08-08,27.81,2025-08-11,25.3071,-0.09,Stop Loss,45,-112.63,11240.01,-9.0
ISSC,2025-08-07,2025-08-08,16.91,2025-08-14,15.3881,-0.09,Stop Loss,73,-111.1,11128.91,-9.0
PRCH,2025-08-07,2025-08-08,15.16,2025-09-12,17.298,0.141029,Trailing Stop,81,173.18,11302.09,14.102899999999998
LASR,2025-08-07,2025-08-08,27.0,2025-09-22,31.55,0.168518,Salida por tiempo (30 días),46,209.3,11511.39,16.8518
EXTR,2025-08-07,2025-08-08,20.19,2025-09-22,22.22,0.100545,Salida por tiempo (30 días),63,127.89,11639.28,10.054499999999999
LQDA,2025-08-08,2025-08-09,19.91,2025-08-12,22.347,0.122401,Trailing Stop,64,155.97,11795.25,12.2401
NNE,2025-08-08,2025-08-09,35.16,2025-08-18,31.9956,-0.09,Stop Loss,37,-117.08,11678.16,-9.0
GRPN,2025-08-08,2025-08-09,32.88,2025-08-13,29.9208,-0.09,Stop Loss,39,-115.41,11562.76,-9.0
VSAT,2025-08-08,2025-08-09,25.6,2025-09-03,30.465,0.190039,Trailing Stop,50,243.25,11806.01,19.0039
ASMB,2025-08-08,2025-08-09,24.33,2025-09-11,22.1403,-0.09,Stop Loss,53,-116.05,11689.95,-9.0
FGNX,2025-08-08,2025-08-09,19.2,2025-08-12,22.95,0.195312,Trailing Stop,67,251.25,11941.2,19.531200000000002
