"Ticker"	"Sector"	"Nombre"	"%Var"	"bars"	"Último"	"Volumen"	"Spread"	"Inserción"	"Anterior"	"Apertura"
"GCTK"	"Health Care"	"GLUCOTRACK INC."	"+0,38%"	"17"	"0,1333(c)"	"969.034"	""	"19:41:23"	"0,1328"	"0,1314"
"NVNI"	"Technology"	"NVNI GROUP LTD."	"-1,68%"	"17"	"0,4040(c)"	"3.486k"	""	"19:41:23"	"0,4109"	"0,4180"
"KIDZ"	"Consumer Discret."	"CLASSOVER HOLDINGS INC."	"-8,55%"	"16"	"3,10(c)"	"902.951"	""	"19:41:23"	"3,39"	"3,47"
"FRGT"	"Industrials"	"FREIGHT TECHNOLOGIES INC."	"-3,76%"	"15"	"0,6703(c)"	"708.508"	""	"19:41:29"	"0,6965"	"0,6999"
"ARDX"	"Health Care"	"ARDELYX INC."	"+0,25%"	"15"	"3,97(c)"	"2.574k"	""	"19:41:23"	"3,96"	"3,97"
"NITO"	"Basic Materials"	"N2OFF INC."	"+0,93%"	"14"	"0,2826(c)"	"2.421k"	""	"19:41:29"	"0,2800"	"0,2800"
"IBRX"	"Health Care"	"IMMUNITYBIO INC."	"-5,60%"	"14"	"2,53(c)"	"6.288k"	""	"19:41:29"	"2,68"	"2,76"
"EVGO"	"Technology"	"EVGO INC."	"+4,07%"	"13"	"3,84(c)"	"4.957k"	""	"19:41:23"	"3,69"	"3,69"
"OPK"	"Health Care"	"OPKO HEALTH INC."	"-0,79%"	"13"	"1,26(c)"	"2.184k"	""	"19:41:29"	"1,27"	"1,26"
"MYGN"	"Health Care"	"MYRIAD GENETICS INC."	"-0,51%"	"12"	"3,91(c)"	"1.613k"	""	"19:41:29"	"3,93"	"4,00"
"CLOV"	"Health Care"	"CLOVER HEALTH INVESTMENTS"	"-2,74%"	"12"	"3,19(c)"	"7.538k"	""	"19:41:23"	"3,28"	"3,47"
"HNST"	"Consumer Discret."	"THE HONEST CO."	"-1,02%"	"11"	"4,85(c)"	"1.830k"	""	"19:41:23"	"4,90"	"5,00"
"FLNC"	"Utilities"	"FLUENCE ENERGY INC."	"-1,01%"	"11"	"4,88(c)"	"3.316k"	""	"19:41:23"	"4,93"	"4,98"
"APPS"	"Technology"	"DIGITAL TURBINE INC."	"-1,58%"	"11"	"4,36(c)"	"2.284k"	""	"19:41:23"	"4,43"	"4,42"
"AKBA"	"Health Care"	"AKEBIA THERAPEUTICS INC."	"+1,06%"	"11"	"2,86(c)"	"3.114k"	""	"19:41:23"	"2,83"	"2,83"
"NXTT"	"Technology"	"NEXT TECHNOLOGY HOLDING INC."	"-12,60%"	"10"	"2,15(c)"	"999.818"	""	"19:41:23"	"2,46"	"2,46"
"DNUT"	"Consumer Staples"	"KRISPY KREME INC."	"-1,36%"	"10"	"2,91(c)"	"2.768k"	""	"19:41:23"	"2,95"	"3,04"
"BTBT"	"Financials"	"BIT DIGITAL INC. ORD."	"-1,96%"	"10"	"2,50(c)"	"17,1M"	""	"19:41:23"	"2,55"	"2,54"
"DCGO"	"Health Care"	"DOCGO INC."	"+0,00%"	"10"	"1,34(c)"	"709.722"	""	"19:41:23"	"1,34"	"1,37"
"NVVE"	"Industrials"	"NUVVE HOLDING CORP."	"-5,34%"	"10"	"0,9180(c)"	"874.912"	""	"19:41:23"	"0,9698"	"0,9700"
"IOVA"	"Health Care"	"IOVANCE BIOTHERAPEUTICS INC."	"+1,71%"	"10"	"1,78(c)"	"7.862k"	""	"19:41:23"	"1,75"	"1,82"

