"Ticker"	"Sector"	"Nombre"	"%Var"	"bars"	"Último"	"Volumen"	"Spread"	"Inserción"	"Anterior"	"Apertura"
"VERV"	"Health Care"	"VERVE THERAPEUTICS INC."	"-0,46%"	"28"	"4,36(c)"	"1.385k"	""	"19:41:57"	"4,38"	"4,44"
"CRML"	"Basic Materials"	"CRITICAL METALS"	"-1,92%"	"28"	"1,53(c)"	"2.309k"	""	"19:41:57"	"1,56"	"1,60"
"RZLV"	"Technology"	"REZOLVE AI PLC"	"-3,65%"	"27"	"2,11(c)"	"3.022k"	""	"19:41:57"	"2,19"	"2,28"
"IOTR"	"Telecommunications"	"IOTHREE LTD."	"+2,09%"	"26"	"0,5089(c)"	"1.300k"	""	"19:41:57"	"0,4985"	"0,5199"
"CGC"	"Health Care"	"CANOPY GROWTH CORP."	"-5,18%"	"26"	"1,83(c)"	"8.154k"	""	"19:41:57"	"1,93"	"1,96"
"ALEC"	"Health Care"	"ALECTOR INC."	"-5,34%"	"23"	"1,24(c)"	"954.836"	""	"19:41:57"	"1,31"	"1,33"
"OPEN"	"Real Estate"	"OPENDOOR TECHNOLOGIES INC"	"+0,10%"	"22"	"0,6807(c)"	"94,1M"	""	"19:41:57"	"0,6800"	"0,6891"
"JYD"	"Energie"	"JAYUD GLOBAL LOGISTICS"	"-6,51%"	"22"	"0,2557(c)"	"2.723k"	""	"19:41:57"	"0,2735"	"0,2619"
"TMC"	"Basic Materials"	"TMC THE METALS CO."	"+7,44%"	"21"	"4,62(c)"	"11,4M"	""	"19:41:57"	"4,30"	"4,31"
"PET"	"Consumer Discret."	"WAG! GROUP CO."	"+2,45%"	"21"	"0,1422(c)"	"792.768"	""	"19:41:57"	"0,1388"	"0,1382"

