"Ticker"	"Sector"	"Nombre"	"%Var"	"bars"	"Último"	"Volumen"	"Spread"	"Inserción"	"Anterior"	"Apertura"
"CAN"	"Technology"	"CANAAN INC. ADS"	"-9,38%"	"45"	"0,6336(c)"	"33,4M"	""	"19:43:00"	"0,6992"	"0,7001"
"IRWD"	"Health Care"	"IRONWOOD PHARMACEUTICALS INC."	"-8,68%"	"44"	"0,5663(c)"	"5.064k"	""	"19:43:00"	"0,6201"	"0,6201"
"MLGO"	"Technology"	"MICROALGO INC."	"-14,75%"	"43"	"1,85(c)"	"118M"	""	"19:43:00"	"2,17"	"2,59"

