"Ticker"	"Sector"	"Nombre"	"%Var"	"bars"	"Último"	"Volumen"	"Spread"	"Inserción"	"Anterior"	"Apertura"
"CLNE"	"Energie"	"CLEAN ENERGY FUELS"	"+0,54%"	"9"	"1,87(c)"	"3.141k"	""	"13:37:19"	"1,86"	"1,80"
"PSEC"	"Financials"	"PROSPECT CAPITAL"	"-1,47%"	"9"	"3,34(c)"	"4.817k"	""	"13:37:19"	"3,39"	"3,41"
"FTRE"	"Health Care"	"FORTREA HOLDINGS INC."	"-4,25%"	"9"	"4,06(c)"	"2.425k"	""	"13:37:19"	"4,24"	"4,25"
"CTMX"	"Health Care"	"CYTTHERAPEUTICS INC."	"+4,69%"	"9"	"2,23(c)"	"3.095k"	""	"13:37:19"	"2,13"	"2,15"
"PSNY"	"Consumer Discret."	"POLESTAR AUTOMOTIVE HOLDING UK"	"+0,88%"	"9"	"1,14(c)"	"3.027k"	""	"13:37:19"	"1,13"	"1,13"
"RAY"	"Consumer Discret."	"RAYTECH HOLDING LTD."	"-4,74%"	"9"	"2,21(c)"	"2.964k"	""	"13:37:24"	"2,32"	"2,30"
"GRYP"	"Technology"	"GRYPHON DIGITAL MINING INC"	"-3,79%"	"9"	"1,27(c)"	"7.208k"	""	"13:37:24"	"1,32"	"1,30"
"BTCS"	"Financials"	"BTCS INC."	"-5,61%"	"9"	"2,86(c)"	"1.394k"	""	"13:37:24"	"3,03"	"3,30"
"INDI"	"Technology"	"INDIE SEMICONDUCTOR INC."	"+0,00%"	"9"	"2,42(c)"	"1.490k"	""	"13:37:24"	"2,42"	"2,43"
"TAOP"	"Technology"	"TAOPING INC."	"+3,76%"	"9"	"0,2870(c)"	"2.595k"	""	"13:37:19"	"0,2766"	"0,2700"
"HUMA"	"Health Care"	"HUMACYTE INC."	"+5,42%"	"8"	"2,53(c)"	"3.779k"	""	"13:37:24"	"2,40"	"2,43"
"MVST"	"Industrials"	"MICROVAST HOLDINGS INC."	"+12,11%"	"8"	"3,98(c)"	"14,5M"	""	"13:37:19"	"3,55"	"3,55"
"ABCL"	"Health Care"	"ABCELLERA BIOLOGICS INC."	"-1,50%"	"8"	"1,97(c)"	"1.725k"	""	"13:37:19"	"2,00"	"2,00"
"MVIS"	"Industrials"	"MICROVISION INC."	"-1,83%"	"8"	"1,07(c)"	"2.311k"	""	"13:37:24"	"1,09"	"1,10"
"VFF"	"Consumer Discret."	"VILLAGE FARMS INTERNATIONAL"	"+2,48%"	"8"	"1,24(c)"	"1.501k"	""	"13:37:19"	"1,21"	"1,23"
"INVZ"	"Consumer Discret."	"INNOVIZ TECHNOLOGIES"	"-3,60%"	"7"	"0,8660(c)"	"2.409k"	""	"13:37:19"	"0,8983"	"0,9473"
"RR"	"Industrials"	"RICHTECH ROBOTICS INC."	"-4,76%"	"7"	"2,20(c)"	"7.064k"	""	"13:37:19"	"2,31"	"2,34"
"IXHL"	"Health Care"	"INCANNEX HEALTHCARE INC."	"+7,77%"	"7"	"0,2177(c)"	"27,4M"	""	"13:37:19"	"0,2020"	"0,2163"
"ABSI"	"Health Care"	"ABSCI CORP."	"+0,00%"	"7"	"2,66(c)"	"2.031k"	""	"13:37:24"	"2,66"	"2,74"
"SHLS"	"Technology"	"SHOALS TECHNOLOGIES GROUP INC."	"+0,44%"	"6"	"4,59(c)"	"4.218k"	""	"13:37:19"	"4,57"	"4,52"
"LAB"	"Health Care"	"STANDARD BIOTOOLS INC."	"-3,45%"	"6"	"0,9216(c)"	"2.592k"	""	"13:37:19"	"0,9545"	"1,04"
"BTM"	"Financials"	"BITCOIN DEPOT INC."	"-4,84%"	"6"	"3,34(c)"	"3.206k"	""	"13:37:19"	"3,51"	"3,50"
"CLIK"	"Industrials"	"CLICK HOLDINGS LTD."	"-4,70%"	"6"	"0,6290(c)"	"1.713k"	""	"13:37:19"	"0,6600"	"0,6533"
"LAZR"	"Consumer Discret."	"LUMINAR TECHNOLOGIES INC."	"-6,92%"	"6"	"3,63(c)"	"2.432k"	""	"13:37:19"	"3,90"	"3,80"
"GTI"	"Industrials"	"GRAPHJET TECHNOLOGY"	"+8,72%"	"6"	"0,1970(c)"	"9.705k"	""	"13:37:24"	"0,1812"	"0,1750"
"BMGL"	"Health Care"	"BASEL MEDICAL GROUP LTD"	"+16,10%"	"6"	"1,37(c)"	"1.563k"	""	"13:37:19"	"1,18"	"1,26"
"RENB"	"Health Care"	"RENOVARO INC."	"-1,98%"	"6"	"0,3268(c)"	"1.662k"	""	"13:37:19"	"0,3334"	"0,3202"
"ABP"	"Health Care"	"ABPRO HOLDINGS INC"	"-7,83%"	"6"	"0,2120(c)"	"2.598k"	""	"13:37:24"	"0,2300"	"0,2256"
"NFE"	"Utilities"	"NEW FORTRESS ENERGY INC."	"-1,07%"	"6"	"2,78(c)"	"6.175k"	""	"13:37:19"	"2,81"	"2,89"
"PTLE"	"Energie"	"PTL LTD"	"-4,86%"	"5"	"1,37(c)"	"3.967k"	""	"13:37:19"	"1,44"	"1,44"
"URGN"	"Health Care"	"UROGEN PHARMA"	"+2,70%"	"5"	"4,19(c)"	"2.339k"	""	"13:37:19"	"4,08"	"4,07"
"OCGN"	"Health Care"	"OCUGEN INC."	"+1,85%"	"5"	"0,9308(c)"	"10M"	""	"13:37:19"	"0,9139"	"0,9195"
"BLDP"	"Industrials"	"BALLARD POWER SYSTEMS INC."	"+4,65%"	"5"	"1,35(c)"	"9.039k"	""	"13:37:19"	"1,29"	"1,39"
"VSTE"	"Industrials"	"VAST RENEWABLES LTD."	"-19,07%"	"5"	"0,1320(c)"	"4.762k"	""	"13:37:24"	"0,1631"	"0,1706"
"FAAS"	"Technology"	"DIGIASIA"	"+27,39%"	"4"	"0,6576(c)"	"51,2M"	""	"13:37:19"	"0,5162"	"0,5045"
"MRSN"	"Health Care"	"MERSANA THERAPEUTICS INC."	"-9,67%"	"4"	"0,3523(c)"	"3.136k"	""	"13:37:24"	"0,3900"	"0,3897"
"PRME"	"Health Care"	"PRIME MEDICINE INC."	"+4,88%"	"4"	"1,29(c)"	"2.005k"	""	"13:37:24"	"1,23"	"1,29"
"MULN"	"Technology"	"MULLEN AUTOMOTIVE INC."	"-3,31%"	"4"	"0,1605(c)"	"32,6M"	""	"13:37:24"	"0,1660"	"0,1800"
"APLT"	"Health Care"	"APPLIED THERAPEUTICS INC."	"-0,02%"	"4"	"0,4099(c)"	"1.901k"	""	"13:37:19"	"0,4100"	"0,4002"
"WOOF"	"Consumer Discret."	"PETCO HEALTH AND WELLNESS CO."	"-1,63%"	"3"	"3,63(c)"	"2.824k"	""	"13:37:19"	"3,69"	"3,57"
"QSI"	"Industrials"	"QUANTUM-SI INC."	"+11,49%"	"3"	"1,94(c)"	"31,6M"	""	"13:37:24"	"1,74"	"1,79"
"XTIA"	"Technology"	"XTI AEROSPACE INC."	"-1,61%"	"3"	"1,83(c)"	"911.308"	""	"13:37:19"	"1,86"	"1,89"
