ticker,category,snapshots,persistence_pct
CDT,New Low,1,0.3144654088050315
CDT,Top Losers,41,12.89308176100629
CENN,New Low,9,2.8301886792452833
CENX,New High,1,0.3144654088050315
CETX,Top Gainers,23,7.232704402515723
CETX,Top Losers,8,2.515723270440252
CGEN,Insider Selling,1,0.3144654088050315
CHCI,Overbought,1,0.3144654088050315
CHR,New Low,10,3.1446540880503147
CHR,Top Losers,19,5.9748427672955975
CHWY,Insider Selling,3,0.9433962264150944
CLDX,New High,1,0.3144654088050315
CLGN,New Low,4,1.257861635220126
CLIK,Top Gainers,4,1.257861635220126
CLIK,Top Losers,46,14.465408805031446
CLIR,Top Gainers,9,2.8301886792452833
CLIR,Top Losers,3,0.9433962264150944
CLMT,New High,25,7.861635220125786
CLST,New High,6,1.8867924528301887
CMBM,Top Losers,26,8.176100628930817
CMCT,Oversold,7,2.20125786163522
CMTV,Insider Buying,10,3.1446540880503147
CNCK,Top Gainers,1,0.3144654088050315
CNXC,Top Losers,12,3.7735849056603774
COCO,Insider Selling,1,0.3144654088050315
COCP,Overbought,1,0.3144654088050315
COCP,Top Gainers,24,7.547169811320755
COCP,Unusual Volume,26,8.176100628930817
CORT,Top Gainers,3,0.9433962264150944
CRC,Insider Selling,1,0.3144654088050315
CRCL,Insider Selling,2,0.628930817610063
CREG,Most Active,49,15.40880503144654
CREG,Top Gainers,50,15.723270440251572
CREG,Unusual Volume,50,15.723270440251572
CSHR,New Low,2,0.628930817610063
CSHR,Top Losers,12,3.7735849056603774
CTOS,Insider Selling,6,1.8867924528301887
CTRN,Insider Selling,5,1.5723270440251573
CTSO,New Low,4,1.257861635220126
CUE,Top Gainers,38,11.949685534591195
CVGI,New High,1,0.3144654088050315
CVV,Top Gainers,19,5.9748427672955975
CVV,Unusual Volume,6,1.8867924528301887
CYAB,New Low,24,7.547169811320755
CYAB,Top Losers,47,14.779874213836477
CYCN,Overbought,13,4.088050314465408
CYCN,Top Gainers,10,3.1446540880503147
CYCN,Top Losers,8,2.515723270440252
CYCU,Unusual Volume,8,2.515723270440252
DAR,New High,1,0.3144654088050315
DERM,Top Losers,8,2.515723270440252
DKI,Top Gainers,17,5.345911949685535
DLPN,Insider Buying,5,1.5723270440251573
DRCT,New Low,44,13.836477987421384
DRI,Insider Selling,3,0.9433962264150944
DRS,Insider Selling,3,0.9433962264150944
