timestamp,open,high,low,close,volume
2023-12-22 06:00:00,2.87,3.05,2.6424,2.98,249616
2023-12-26 06:00:00,3.03,3.04,2.72,3.04,197649
2023-12-27 06:00:00,3.03,3.03,2.83,2.89,70508
2023-12-28 06:00:00,2.82,2.8776,2.66,2.76,124430
2023-12-29 06:00:00,2.63,2.786,2.55,2.75,224912
2024-01-02 06:00:00,2.7,2.7127,2.466,2.64,142370
2024-01-03 06:00:00,2.58,2.8,2.53,2.79,95028
2024-01-04 06:00:00,2.8,2.86,2.6666,2.77,187728
2024-01-05 06:00:00,2.75,2.85,2.631,2.75,153535
2024-01-08 06:00:00,2.82,3.9212,2.801,3.86,954564
2024-01-09 06:00:00,4.0,4.73,3.85,4.48,942698
2024-01-10 06:00:00,4.56,4.63,3.74,4.23,605208
2024-01-11 06:00:00,4.18,4.18,3.65,3.81,259671
2024-01-12 06:00:00,3.81,3.87,3.33,3.66,601902
2024-01-16 06:00:00,3.61,3.6587,3.14,3.33,431414
2024-01-17 06:00:00,3.21,3.8,3.21,3.66,179495
2024-01-18 06:00:00,3.75,3.75,3.18,3.26,311833
2024-01-19 06:00:00,3.21,3.3499,2.985,3.24,352222
2024-01-22 06:00:00,3.17,3.46,3.1635,3.35,178155
2024-01-23 06:00:00,3.36,3.63,3.28,3.53,110685
2024-01-24 06:00:00,3.51,3.74,3.32,3.37,387765
2024-01-25 06:00:00,3.39,3.4,2.85,3.0,610671
2024-01-26 06:00:00,3.0,3.49,2.9801,3.42,188772
2024-01-29 06:00:00,3.45,4.14,3.26,4.06,744683
2024-01-30 06:00:00,4.09,4.09,3.69,3.77,285092
2024-01-31 06:00:00,3.75,4.0136,3.68,3.85,135228
2024-02-01 06:00:00,3.85,4.09,3.7501,3.88,123449
2024-02-02 06:00:00,3.85,3.89,3.62,3.84,115323
2024-02-05 06:00:00,3.85,4.13,3.63,3.74,130106
2024-02-06 06:00:00,3.74,3.89,3.73,3.79,85358
2024-02-07 06:00:00,3.74,3.79,3.66,3.74,116578
2024-02-08 06:00:00,3.73,3.94,3.6773,3.87,114097
2024-02-09 06:00:00,3.89,3.97,3.77,3.9,101649
2024-02-12 06:00:00,3.93,4.23,3.86,4.18,189752
2024-02-13 06:00:00,4.08,4.2838,3.9,4.0,96866
2024-02-14 06:00:00,4.0,4.6,3.901,4.42,178520
2024-02-15 06:00:00,4.47,4.62,4.3446,4.45,95867
2024-02-16 06:00:00,4.45,5.25,4.3716,5.05,351203
2024-02-20 06:00:00,5.1,5.5888,4.92,5.24,289529
2024-02-21 06:00:00,4.94,7.11,4.612,6.95,747831
2024-02-22 06:00:00,7.0,8.2699,6.79,8.205,545578
2024-02-23 06:00:00,8.18,8.2,7.16,7.88,384437
2024-02-26 06:00:00,7.74,8.7995,7.56,8.13,314831
2024-02-27 06:00:00,8.22,8.59,7.97,8.06,135921
2024-02-28 06:00:00,7.95,8.1772,7.7,7.75,156252
2024-02-29 06:00:00,7.79,8.23,7.59,8.15,89046
2024-03-01 06:00:00,8.13,8.78,7.9689,8.52,109422
2024-03-04 06:00:00,8.57,9.0,8.26,8.96,174758
2024-03-05 06:00:00,8.83,9.24,8.62,8.73,216446
2024-03-06 06:00:00,8.83,8.8469,7.87,8.05,201875
2024-03-07 06:00:00,8.74,8.74,7.96,8.21,148256
2024-03-08 06:00:00,8.19,8.51,8.13,8.39,110036
2024-03-11 05:00:00,8.39,9.99,8.16,9.28,278054
2024-03-12 05:00:00,9.28,10.22,8.74,10.195,285153
2024-03-13 05:00:00,10.23,11.3,10.23,10.7,222176
2024-03-14 05:00:00,10.82,11.11,9.64,10.87,253541
2024-03-15 05:00:00,10.76,12.24,10.76,12.01,301293
2024-03-18 05:00:00,12.02,12.02,9.55,9.66,336507
2024-03-19 05:00:00,9.42,9.43,7.72,8.42,353211
2024-03-20 05:00:00,8.36,8.58,8.0329,8.51,286757
2024-03-21 05:00:00,8.64,9.587,8.37,9.18,276150
2024-03-22 05:00:00,9.18,9.18,8.38,8.61,174301
2024-03-25 05:00:00,8.6,8.9199,8.1,8.48,194173
2024-03-26 05:00:00,8.49,9.0768,8.295,8.74,123466
2024-03-27 05:00:00,8.71,9.62,8.4931,9.46,124801
2024-03-28 05:00:00,9.46,9.8504,9.095,9.13,116532
2024-04-01 06:00:00,9.1,9.15,8.65,9.03,130834
2024-04-02 06:00:00,9.0,9.47,8.53,9.33,79040
2024-04-03 06:00:00,9.26,9.66,9.105,9.45,77153
2024-04-04 06:00:00,9.56,9.56,8.96,9.05,80670
2024-04-05 06:00:00,9.13,9.99,9.08,9.99,159385
2024-04-08 06:00:00,10.03,11.26,9.77,10.44,169272
2024-04-09 06:00:00,10.45,11.08,10.13,10.84,151522
2024-04-10 06:00:00,10.16,12.05,10.16,11.56,218450
2024-04-11 06:00:00,11.59,11.67,10.8,11.19,164657
2024-04-12 06:00:00,11.1,11.25,9.34,9.62,184474
2024-04-15 06:00:00,9.78,10.0464,9.2,9.88,190201
2024-04-16 06:00:00,9.66,9.91,9.44,9.61,98237
2024-04-17 06:00:00,9.67,9.8,9.09,9.2,171348
2024-04-18 06:00:00,9.07,9.62,8.6328,9.57,156304
2024-04-19 06:00:00,9.57,9.69,9.33,9.64,111826
2024-04-22 06:00:00,9.86,10.67,9.6,10.39,131713
2024-04-23 06:00:00,10.23,12.57,10.1825,12.0,254693
2024-04-24 06:00:00,12.01,12.57,11.5742,11.82,182412
2024-04-25 06:00:00,11.57,11.61,10.97,11.17,104399
2024-04-26 06:00:00,11.21,11.56,10.8,11.08,148889
2024-04-29 06:00:00,10.98,11.57,10.7,11.0,241091
