timestamp,open,high,low,close,volume
2025-09-10 09:30:00,8.24,8.4207,7.51,7.8,176579
2025-09-10 09:31:00,7.75,7.7999,7.12,7.12,112575
2025-09-10 09:36:00,6.9,6.9,6.25,6.51,112485
2025-09-10 09:37:00,6.49,7.43,6.21,7.43,280379
2025-09-10 09:38:00,7.43,7.58,7.1,7.58,86206
2025-09-10 09:48:00,7.99,7.99,7.23,7.57,122339
2025-09-10 09:49:00,7.51,7.8389,6.73,7.058,176876
2025-09-10 09:50:00,7.0654,7.64,6.8201,7.52,103648
2025-09-10 09:51:00,7.6266,7.98,7.46,7.935,129728
2025-09-10 09:52:00,7.8901,7.96,6.65,6.7206,215160
2025-09-10 09:53:00,6.78,7.4499,6.65,7.3,95991
2025-09-10 09:54:00,7.22,7.34,6.87,7.05,61706
2025-09-10 09:55:00,7.03,7.1504,6.95,7.0138,39346
2025-09-10 09:56:00,7.01,7.73,6.978172,7.34,87337
2025-09-10 09:57:00,7.5,7.89,7.3,7.5706,125437
2025-09-10 09:58:00,7.685,7.8,7.34,7.35,62969
2025-09-10 09:59:00,7.3,7.76,7.3,7.56,106169
2025-09-10 10:00:00,7.565,7.64,7.4,7.4476,50242
2025-09-10 10:01:00,7.435,7.4699,7.2,7.3,39585
2025-09-10 10:02:00,7.22,7.3999,6.75,6.79,83369
2025-09-10 10:03:00,6.85,7.4,6.7,7.17,136366
2025-09-10 10:04:00,7.02,7.36,7.02,7.1,44016
2025-09-10 10:05:00,7.16,7.34,7.05,7.17,43864
2025-09-10 10:06:00,7.2101,7.35,7.15,7.174,40108
2025-09-10 10:07:00,7.15,7.15,6.651,6.7893,92756
2025-09-10 10:08:00,6.78,7.09,6.76,6.97,75170
2025-09-10 10:09:00,6.96,7.019,6.7,6.785,41837
2025-09-10 10:10:00,6.7225,6.8535,6.2,6.495,109809
2025-09-10 10:11:00,6.4411,6.98,6.4411,6.85,81620
2025-09-10 10:12:00,6.7018,6.7799,6.37,6.37,39475
2025-09-10 10:13:00,6.3701,6.6,6.14,6.345,90266
2025-09-10 10:14:00,6.34,6.41,5.89,6.2,125343
2025-09-10 10:15:00,6.199,6.3,6.09,6.16,40503
2025-09-10 10:16:00,6.16,6.244,5.68,5.945,114620
2025-09-10 10:17:00,5.93,5.9738,5.48,5.5,117807
2025-09-10 10:18:00,5.6224,5.79,5.5201,5.72,73468
2025-09-10 10:19:00,5.75,5.9,5.7,5.85,61547
2025-09-10 10:20:00,5.855,5.9,5.74,5.845,34660
2025-09-10 10:21:00,5.825,6.0,5.76,5.94,60398
2025-09-10 10:22:00,5.9389,6.1019,5.86,6.02,64122
2025-09-10 10:23:00,6.02,6.15,6.02,6.125,61346
2025-09-10 10:24:00,6.125,6.125,5.82,5.889,40532
2025-09-10 10:25:00,5.86,6.0,5.8301,5.8952,25387
2025-09-10 10:26:00,5.945,5.9989,5.37,5.6,117939
2025-09-10 10:27:00,5.5561,5.6801,5.528,5.5609,36537
2025-09-10 10:28:00,5.56,5.65,5.4101,5.65,49133
2025-09-10 10:29:00,5.65,5.77,5.57,5.77,27510
2025-09-10 10:30:00,5.77,5.845,5.56,5.57,30395
2025-09-10 10:31:00,5.5941,5.69,5.5,5.51,30756
2025-09-10 10:32:00,5.5332,5.78,5.5332,5.76,47124
2025-09-10 10:33:00,5.76,5.78,5.5305,5.56,34827
2025-09-10 10:34:00,5.6,5.6,5.05,5.15,136365
2025-09-10 10:35:00,5.16,5.2899,4.88,5.0,142664
2025-09-10 10:36:00,5.0,5.01,4.69,4.725,158188
2025-09-10 10:37:00,4.74,4.99,4.69,4.832,94087
2025-09-10 10:38:00,4.8382,5.01,4.8306,4.91,52446
2025-09-10 10:39:00,4.89,4.89,4.71,4.8212,71273
2025-09-10 10:40:00,4.8,4.9079,4.37,4.69,134626
2025-09-10 10:41:00,4.69,4.8,4.65,4.76,63929
2025-09-10 10:42:00,4.7894,5.0,4.7,4.9899,78934
2025-09-10 10:43:00,4.8852,4.99,4.8165,4.83,56116
2025-09-10 10:44:00,4.83,4.94,4.779,4.92,24325
2025-09-10 10:45:00,4.96,5.0983,4.9,5.04,59334
2025-09-10 10:46:00,5.0622,5.1,4.91,5.0496,32739
2025-09-10 10:47:00,5.04,5.0994,4.92,5.0,23915
2025-09-10 10:48:00,5.01,5.12,5.01,5.04,22765
2025-09-10 10:49:00,5.05,5.07,4.8,4.82,34539
2025-09-10 10:50:00,4.85,4.9799,4.69,4.94,27774
2025-09-10 10:51:00,4.9701,5.18,4.925,5.165,50255
2025-09-10 10:52:00,5.15,5.3986,5.06,5.36,46604
2025-09-10 10:53:00,5.336,5.39,5.2473,5.25,55782
2025-09-10 10:54:00,5.25,5.3,5.2001,5.28,22262
2025-09-10 10:55:00,5.23,5.2632,5.0701,5.0701,29307
2025-09-10 10:56:00,5.07,5.11,4.95,5.05,45097
2025-09-10 10:57:00,5.0687,5.08,5.0,5.04,14957
2025-09-10 10:58:00,5.06,5.23,5.04,5.05,12532
2025-09-10 10:59:00,5.05,5.18,5.04,5.09,12423
2025-09-10 11:00:00,5.09,5.15,5.035864,5.041,20489
2025-09-10 11:01:00,5.04,5.055,4.8131,4.86,32341
2025-09-10 11:02:00,4.86,5.0,4.85,4.94,14267
2025-09-10 11:03:00,4.945,4.945,4.88,4.92,15250
2025-09-10 11:04:00,4.9331,4.94,4.8606,4.91,16598
2025-09-10 11:05:00,4.89,4.92,4.87,4.88,10783
2025-09-10 11:06:00,4.89,4.93,4.84,4.87,21131
2025-09-10 11:07:00,4.87,4.92,4.74,4.8036,22091
2025-09-10 11:08:00,4.8,4.8499,4.73,4.74,13347
2025-09-10 11:09:00,4.7452,4.9,4.7401,4.9,9200
2025-09-10 11:10:00,4.9,5.0314,4.9,5.01,35198
2025-09-10 11:11:00,5.0,5.1,4.9404,4.96,24244
2025-09-10 11:12:00,4.953,4.996,4.85,4.85,14400
2025-09-10 11:13:00,4.92,4.9984,4.8536,4.8823,5110
2025-09-10 11:14:00,4.9,4.96,4.9,4.92,4143
2025-09-10 11:15:00,4.94,5.0,4.81,4.81,16773
2025-09-10 11:16:00,4.82,4.87,4.44,4.5822,108995
2025-09-10 11:17:00,4.69,4.7869,4.6,4.72,10473
2025-09-10 11:18:00,4.6798,4.84,4.63,4.775,26064
2025-09-10 11:19:00,4.75,4.775,4.72,4.72,6405
2025-09-10 11:20:00,4.7499,4.8,4.74,4.755,5821
2025-09-10 11:21:00,4.73,4.78,4.73,4.75,6469
2025-09-10 11:22:00,4.75,4.7599,4.7,4.72,4772
2025-09-10 11:23:00,4.73,4.7996,4.7,4.7996,6031
2025-09-10 11:24:00,4.78,4.84,4.7306,4.83,9104
2025-09-10 11:25:00,4.78,4.87,4.77,4.7999,10219
2025-09-10 11:26:00,4.78,4.8467,4.78,4.8348,6105
2025-09-10 11:27:00,4.82,4.9,4.812,4.9,11927
2025-09-10 11:28:00,4.86,4.9,4.8,4.9,12888
2025-09-10 11:29:00,4.88,4.99,4.8,4.95,15365
2025-09-10 11:30:00,4.98,4.9999,4.9001,4.95,5359
2025-09-10 11:31:00,4.96,4.96,4.9,4.906,6298
2025-09-10 11:32:00,4.91,4.92,4.8,4.85,13233
