symbol,scan_date,catalyst_type,catalyst_strength,gap_percentage,volume_ratio,quality_score,intraday_return,overnight_return,max_return_3d,close_price,volume,float_shares,short_ratio,short_percent,is_runner
ABAT,2025-10-20,TECHNICAL,0,0.30824742268041244,1.50276,80.54416,0.11720697246132565,-0.04092256355895371,0.04761907465063339,6.71999979019165,51049700.0,125612065.0,0.71,0.0979,False
ABAT,2025-10-21,OTHER,1,-0.06473214285714281,1.02971,14.98281759315476,-0.0535299081209916,-0.05245896718476979,0.07049185440957514,6.099999904632568,21525900.0,125612065.0,0.71,0.0979,False
ABAT,2025-10-22,TECHNICAL,0,-0.03278688524590152,1.67982,83.37712,0.02768163349554871,0.001683459923964543,0.0993266240579757,5.940000057220459,16879200.0,125612065.0,0.71,0.0979,False
ABAT,2025-10-24,TECHNICAL,0,0.06585409252669036,1.57919,81.76704000000001,0.04000000331712806,-0.0033444784051375933,0.004849465778920274,5.980000019073486,15997100.0,125612065.0,0.71,0.0979,False
ABAT,2025-11-07,ESG_SUSTAINABILITY,1,0.13550135501355026,0.60705,13.888498125711385,0.230555540470429,0.04875848498388064,0.05869079886157546,4.429999828338623,15696600.0,125612065.0,0.71,0.0979,False
ABCL,2025-11-07,FDA,8,-0.17328918322295808,0.5074,43.15199148794074,0.02894740391966423,0.06649615978410375,0.07161124430775655,3.9100000858306885,13529900.0,203251491.0,10.97,0.2359,False
ABEO,2025-11-12,EARNINGS,4,0.24940047961630696,0.51437,30.4012856768352,0.09050768839356306,-0.00809715817605349,-0.006072916894909821,4.940000057220459,12351900.0,40971920.0,5.71,0.2674,False
ADVM,2025-10-24,OTHER,2,0.09581339712918663,0.50264,17.8256458362263,-0.07814264851020518,-0.004914000020385666,0.052825470929395414,4.070000171661377,13615200.0,12584377.0,0.93,0.0416,False
AIIO,2025-11-21,OTHER,2,0.2821794871794871,2.0,29.164100017076215,-0.07500000186264512,0.06891891674197793,0.12162158461362498,0.7400000095367432,54135300.0,157212201.0,1.63,0.0428,False
AIRS,2025-11-07,OTHER,2,-0.44613918017159204,0.55446,16.32997397521449,-0.16164387319789852,-0.017973800446762143,0.09411768372450344,6.119999885559082,8781500.0,11616342.0,4.32,0.35599998,False
AKBA,2025-10-29,TECHNICAL,0,-0.24595469255663424,1.53026,80.98415999999999,-0.027777860562003345,-0.004761900436850977,0.10476192314338335,2.0999999046325684,25769800.0,260021522.0,6.17,0.1346,False
AKBA,2025-11-10,OTHER,2,-0.15686274509803924,0.50785,22.02374493542348,-0.03468211637417439,0.005988018395350124,0.1317365474633226,1.6699999570846558,16762300.0,260021522.0,6.17,0.1346,False
ALEC,2025-10-22,OTHER,1,-0.514018691588785,2.0,20.403728497935056,0.04545458064028705,0.0,0.04347821901915338,1.6100000143051147,48992900.0,78243050.0,1.12,0.0615,False
ALTO,2025-11-06,EARNINGS,8,0.3105172413793104,0.96524,45.855590709247295,-0.07189543553075795,0.014084577986089954,0.3028169575723212,1.4199999570846558,25214000.0,69260227.0,0.44,0.0135,True
