Ticker,precio,stop,stop_pct,shares,riesgo_$,target_2:1,target_3:1,potencial_2:1_$,Burst%,Volumen,Momentum10,Criterios
MRVL,79.48,77.6,2.37,10,18.8,83.24,85.12,37.6,-0.16,4257606,7.1,5/7
NKE,65.4,63.33,3.17,9,18.63,69.54,71.61,37.26,-0.32,21356188,4.31,5/7
SBUX,97.49,94.9,2.66,7,18.13,102.67,105.26,36.26,1.76,4201115,1.48,5/7
SBUX,97.49,94.9,2.66,7,18.13,102.67,105.26,36.26,1.76,4201115,1.48,5/7
SOFI,19.02,18.51,2.68,39,19.89,20.04,20.55,39.78,-1.45,60672793,-2.26,5/7
INTC,44.11,42.88,2.79,16,19.68,46.57,47.8,39.36,-1.14,73839102,-8.56,5/7
