timestamp,open,high,low,close,volume
2025-09-12 09:30:00,5.49,5.49,5.3,5.4597,140682
2025-09-12 09:31:00,5.42,5.46,5.24,5.3319,84059
2025-09-12 09:32:00,5.315,5.39,5.16,5.24,98323
2025-09-12 09:33:00,5.2414,5.27,5.2019,5.2691,27107
2025-09-12 09:34:00,5.2698,5.33,5.23,5.2306,51574
2025-09-12 09:35:00,5.25,5.25,4.95,5.0001,176494
2025-09-12 09:36:00,5.0,5.02,4.92,4.97,70918
2025-09-12 09:37:00,4.96,5.09,4.949,5.0326,62382
2025-09-12 09:38:00,5.0318,5.07,4.97,5.0,36659
2025-09-12 09:39:00,5.0,5.04,4.98,5.0035,24994
2025-09-12 09:40:00,4.98,5.0201,4.9508,4.99,31092
2025-09-12 09:41:00,4.99,5.05,4.96,5.03,48122
2025-09-12 09:42:00,5.05,5.09,5.01,5.05,41908
2025-09-12 09:43:00,5.05,5.21,5.0149,5.1816,68853
2025-09-12 09:44:00,5.1999,5.23,5.14,5.15,74759
2025-09-12 09:45:00,5.135,5.15,4.9,5.0,116337
2025-09-12 09:46:00,5.0,5.0891,4.96,4.985,41462
2025-09-12 09:47:00,4.9718,5.0381,4.97,4.97,18055
2025-09-12 09:48:00,4.98,5.01,4.9,4.9318,44537
2025-09-12 09:49:00,4.955,4.9695,4.81,4.919,66967
2025-09-12 09:50:00,4.8802,4.91,4.81,4.865,29999
2025-09-12 09:51:00,4.865,4.865,4.76,4.7605,46281
2025-09-12 09:52:00,4.78,4.83,4.7605,4.82,26495
2025-09-12 09:53:00,4.8205,4.84,4.74,4.74,33329
2025-09-12 09:54:00,4.74,4.83,4.74,4.8,29205
2025-09-12 09:55:00,4.8,4.87,4.8,4.8423,31294
2025-09-12 09:56:00,4.84,4.91,4.8109,4.886,31032
2025-09-12 09:57:00,4.8717,5.04,4.8717,5.01,67142
2025-09-12 09:58:00,5.0,5.09,4.98,5.0,89118
2025-09-12 09:59:00,4.9974,5.02,4.92,4.93,29340
2025-09-12 10:00:00,4.92,4.93,4.895,4.92,14350
2025-09-12 10:01:00,4.91,4.9699,4.91,4.94,6646
2025-09-12 10:02:00,4.97,5.0499,4.94,5.0499,26813
2025-09-12 10:03:00,5.04,5.04,4.985,5.01,20191
2025-09-12 10:04:00,4.9975,4.9997,4.92,4.92,17017
2025-09-12 10:05:00,4.97,5.0,4.9101,4.95,8013
2025-09-12 10:06:00,4.96,5.02,4.96,5.0182,14491
