timestamp,open,high,low,close,volume
2025-09-09 09:30:00,2.665,2.69,2.65,2.685,165019.0
2025-09-09 09:31:00,2.685,2.685,2.6644,2.685,47656.0
2025-09-09 09:32:00,2.6835,2.7,2.6801,2.6985,41299.0
2025-09-09 09:33:00,2.695,2.7,2.675,2.68,82910.0
2025-09-09 09:34:00,2.675,2.69,2.675,2.689,65967.0
2025-09-09 09:35:00,2.685,2.69,2.68,2.6889,83111.0
2025-09-09 09:36:00,2.68,2.71,2.68,2.7,102906.0
2025-09-09 09:37:00,2.705,2.71,2.695,2.6952,32028.0
2025-09-09 09:38:00,2.695,2.7,2.69,2.69,65584.0
2025-09-09 09:39:00,2.69,2.6987,2.68,2.6893,25985.0
2025-09-09 09:40:00,2.6889,2.6889,2.68,2.6889,17073.0
2025-09-09 09:41:00,2.6898,2.71,2.6898,2.7,129399.0
2025-09-09 09:42:00,2.71,2.71,2.7,2.705,62389.0
2025-09-09 09:43:00,2.705,2.7199,2.705,2.715,39643.0
2025-09-09 09:44:00,2.715,2.72,2.7102,2.72,13912.0
2025-09-09 09:45:00,2.72,2.72,2.71,2.715,30266.0
2025-09-09 09:46:00,2.72,2.7395,2.72,2.7395,142986.0
2025-09-09 09:47:00,2.74,2.74,2.715,2.715,158011.0
2025-09-09 09:48:00,2.72,2.73,2.71,2.7292,65740.0
2025-09-09 09:49:00,2.7201,2.73,2.72,2.72,17570.0
2025-09-09 09:50:00,2.73,2.73,2.71,2.715,31234.0
2025-09-09 09:51:00,2.715,2.7156,2.71,2.71,9824.0
2025-09-09 09:52:00,2.71,2.7297,2.71,2.725,98454.0
2025-09-09 09:53:00,2.72,2.72,2.71,2.715,39672.0
2025-09-09 09:54:00,2.71,2.7191,2.71,2.7103,14039.0
2025-09-09 09:55:00,2.72,2.7385,2.71,2.735,110860.0
2025-09-09 09:56:00,2.7399,2.75,2.73,2.745,186778.0
2025-09-09 09:57:00,2.745,2.7481,2.7301,2.745,98558.0
2025-09-09 09:58:00,2.7401,2.745,2.7303,2.74,126367.0
2025-09-09 09:59:00,2.7386,2.76,2.7352,2.755,235658.0
2025-09-09 10:00:00,2.755,2.77,2.75,2.765,188758.0
2025-09-09 10:01:00,2.76,2.7699,2.7512,2.755,27042.0
2025-09-09 10:02:00,2.755,2.7575,2.75,2.755,19856.0
2025-09-09 10:03:00,2.7511,2.77,2.745,2.7619,116193.0
2025-09-09 10:04:00,2.76,2.7651,2.755,2.765,53164.0
2025-09-09 10:05:00,2.7612,2.78,2.76,2.7701,130545.0
2025-09-09 10:06:00,2.78,2.78,2.76,2.7606,55620.0
2025-09-09 10:07:00,2.7601,2.77,2.76,2.77,74872.0
2025-09-09 10:08:00,2.7779,2.79,2.7701,2.785,142840.0
2025-09-09 10:09:00,2.7865,2.79,2.7835,2.79,61266.0
2025-09-09 10:10:00,2.79,2.82,2.78,2.815,263494.0
2025-09-09 10:11:00,2.815,2.8204,2.81,2.81,117150.0
2025-09-09 10:12:00,2.82,2.82,2.7919,2.7999,81756.0
2025-09-09 10:13:00,2.795,2.8,2.7928,2.8,11770.0
2025-09-09 10:14:00,2.79,2.8115,2.79,2.8101,154286.0
2025-09-09 10:15:00,2.815,2.82,2.81,2.82,30880.0
2025-09-09 10:16:00,2.815,2.82,2.81,2.815,41811.0
2025-09-09 10:17:00,2.82,2.82,2.81,2.815,44197.0
2025-09-09 10:18:00,2.815,2.83,2.81,2.825,126913.0
