ticker,date,time,open,high,low,close,volume,downloaded_at
AHMA,2026-06-09,09:30:00,2.8002,3.25,2.51,3.25,1054823,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:31:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:32:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:33:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:34:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:35:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:36:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:37:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:38:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:39:00,3.25,3.25,3.25,3.25,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:40:00,3.58,4.3,3.49,4.3,801742,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:41:00,4.3,4.3,4.3,4.3,17203,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:42:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:43:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:44:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:45:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:46:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:47:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:48:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:49:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:50:00,4.3,4.3,4.3,4.3,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:51:00,4.65,5.09,3.72,3.72,1540143,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:52:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:53:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:54:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:55:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:56:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:57:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:58:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,09:59:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:00:00,3.72,3.72,3.72,3.72,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:01:00,3.15,3.5,2.52,2.52,979791,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:02:00,2.52,2.52,2.52,2.52,13717,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:03:00,2.52,2.52,2.52,2.52,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:04:00,2.52,2.52,2.52,2.52,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:05:00,2.52,2.52,2.52,2.52,0,2026-07-08T04:58:53.884310+00:00
AHMA,2026-06-09,10:06:00,2.52,2.52,2.52,2.52,0,2026-07-08T04:58:53.884310+00:00
