Ticker
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
TSLA
AVGO
ORCL
CSCO
ADBE
CRM
ACN
IBM
INTC
AMD
QCOM
TXN
AMAT
LRCX
KLAC
MU
MRVL
ADI
MCHP
NXPI
ON
MPWR
SWKS
QRVO
ENTG
NOW
INTU
WDAY
PANW
CRWD
ZS
DDOG
NET
SNOW
PLTR
MDB
TEAM
HUBS
ZM
DOCU
VEEV
ANET
FTNT
CHKP
S
PATH
UI
ESTC
CFLT
NFLX
BKNG
ABNB
EBAY
ETSY
MELI
SE
CPNG
DASH
UBER
LYFT
RBLX
U
HOOD
COIN
SOFI
AFRM
UPST
LC
NU
PAGS
STNE
WISH
CLOV
GILD
AMGN
VRTX
REGN
BIIB
MRNA
BNTX
ILMN
ALXN
BMRN
INCY
TECH
SGEN
NBIX
ALNY
IONS
RGEN
EXAS
NVTA
PACB
TWST
CDNA
FATE
BLUE
COST
PEP
MDLZ
KHC
MNST
KDP
WBA
DLTR
ROST
LULU
SBUX
CMG
DPZ
YUM
QSR
WING
ULTA
ORLY
AZO
AAP
TSCO
CHWY
PETQ
WOOF
HON
UNP
CAT
DE
MMM
GE
BA
LMT
RTX
NOC
GD
LHX
TDG
CTAS
FAST
VRSK
EXPD
SMCI
ARM
RDDT
IONQ
RGTI
RBRK
APP
DT
FROG
AI
C3AI
SOUN
BBAI
BARK
FUBO
DKNG
PENN
RSI
GENI
FLUT
BALY
MGM
LVS
WYNN
QQQ
QQQM
SPY
IWM
DIA
VTI
VOO
VEA
VWO
TLT
IEF
SHY
GLD
SLV
USO
UNG
SOXL
SOXS
TQQQ
SQQQ
UPRO
SPXU
FNGU
FNGD
